Accession no. 	 Gene symbol 	 Function 	 Fold difference in geometric means 	 F testP 	Expression
X02751	HSNRASR	Oncogene	33.99	5.13E-5 	 Up-regulated 
U20350	CXCR1	Chemokine receptor	13.7	1.52E-5 	 Up-regulated 
Y14737	IGHG3	Immunity	13.54	1.5E-5 	 Up-regulated 
D50640	PDE3B	Metabolism	12.32	.00015 	 Up-regulated 
AI142565	RNASE6	Metabolism	11.74	1.07E-5 	 Up-regulated 
AB013382	DUSP6	Signaling	10.38	1.56E-9 	 Up-regulated 
S71326	BGPc	Adhesion	8.63	9.96E-6 	 Up-regulated 
AF070641	LOC221810	Unknown	7.91	 .000606 	 Up-regulated 
AI660656	IGJ	Immunity	6.82	 .000303 	 Up-regulated 
X81438	AMPH	Synaptic vesicle protein	6.5	 .000643 	 Up-regulated 
AB018278	KIAA0735	Unknown	6.46	1.65E-5 	 Up-regulated 
AB020499	MD1	Immunity	5.71	 .000147 	 Up-regulated 
AF022797	KCNN4	KCa channel	5.66	 .000768 	 Up-regulated 
AF016004	GPM6B	Neural development	5.63	 .000355 	 Up-regulated 
U04343	CD86	Immunity	5	 .000496 	 Up-regulated 
D50918	KIAA0128	Unknown	5.34	 .000156 	 Up-regulated 
AL040446	OSBPLIA	Metabolism	4.89	 .000869 	 Up-regulated 
X16354	BGP	Adhesion	4.66	 .000353 	 Up-regulated 
AL023653	XPNPEP2	Metabolism	4.44	 .000166 	 Up-regulated 
S68805	GATM	Metabolism	4.37	.00067 	 Up-regulated 
M31315	Coagulation factor XII	Coagulation	4.37	 .000814 	 Up-regulated 
M55067	CGD	Metabolism	4.34	.00046 	 Up-regulated 
AL021786	ITM2A	Osteogenesis	11.15	2.52E-6 	 Down-regulated 
AB018343	KIAA0800	Unknown	7.09	 .000323 	 Down-regulated 
D88308	SLC27A2	Metabolism	6.67	8.65E-5 	 Down-regulated 
U59209	UGT2B17	Metabolism	6.24	 .000432 	 Down-regulated 
L01664	CLC	Metabolism	6	6.58E-5 	 Down-regulated 
AB000897	PCDHGA12	Adhesion	5.59	 .000701 	 Down-regulated 
AF043938	M-RAS	Signaling	5.57	 .000129 	 Down-regulated 
AW024467 	HSPF2	Signaling	5.56	 .000669 	 Down-regulated 
U45975	PIB5PA	Signaling	5.49	5.25E-6 	 Down-regulated 
AF029900	ADAM21	ECM	5.01	 .000675 	 Down-regulated 
L19314	HES1	Transcription	4.93	.00033 	 Down-regulated 
AB007869	KIAA0409	Unknown	4.85	 .000948 	 Down-regulated 
AA584202	c-ERB-3	Signaling	4.66	.00051 	 Down-regulated 
X70340	TGFA	Signaling	4.6	 .000802 	 Down-regulated 
U94346	CAPN5	Signaling	4.38	 .000276 	 Down-regulated 
L13436	NPR2	Metabolism	4.31	 .000944 	 Down-regulated 
AF052497	EST	Unknown	4.31	 .000658	 Down-regulated 
