Gene symbol	Description	Accession no.	SAM score	Fold change	Function
ACVR2	Activin type II receptor	NM_001616	8.47	160.93	NA
PEA15	Phosphoprotein enriched in astrocytes 15	NM_003768	3.51	2.42	Apoptosis
TNFRSF10C	Decoy receptor 1 (DcR1)	NM_003841	2.94	3.08	Apoptosis
DUSP2	Dual specificity phosphatase 2/PAC1	NM_004418	4.06	9.96	Apoptosis
NR4A1	NAK1 DNA binding protein	NM_002135	4.68	2.52	Apoptosis
CyCS	Cytochrome c	NM_018947	2.76	2.14	Apoptosis
SGK	Serine/threonine protein kinase sgk	NM_005627	2.52	1.72	Apoptosis
JARID1C	SMC (mouse) homolog, X chromosome (SMCX)	NM_004187	4.47	1.69	Regulation of transcription
JUN	V-jun avian sarcoma virus 17 oncogene homolog (JUN)	NM_002228	3.76	5.26	Regulation of transcription
JUND	Jun D proto-oncogene	NM_005354	6.42	2.82	Regulation of transcription
FOSB	FBJ murine osteosarcoma viral oncogene homolog B	NM_006732	3.26	5.82	Regulation of transcription
KIAA0551	TRAF2 and NCK interacting kinase	AB011123	3.97	1.64	Regulation of transcription
TBX2	T-box 2	NM_005994	3.37	1.85	Regulation of transcription
ATF3	Activating transcription factor 3	NM_001674	2.64	2.95	Regulation of transcription
EGR1	Early growth response 1 (EGR1)	NM_001964	2.44	2.41	Regulation of transcription
VGLL1	TONDU (TONDU)/vestigial like 1 (Drosophila)	NM_016267	2.4	2.31	Regulation of transcription
JUNB	Jun B proto-oncogene	NM_002229	2.4	1.79	Regulation of transcription
CEBPA	CCAAT/enhancer binding protein (C/EBP), ?	NM_004364	2.39	2.42	Regulation of transcription
MSX1	Msh (Drosophila) homeo box homolog 1	NM_002448	2.62	1.88	Regulation of transcription
HCA58	Hepatocellular carcinoma-associated antigen 58	AF220416	2.43	2.15	Regulation of transcription
RELA	V-rel avian reticuloendotheliosis viral oncogene homolog A	L19067	2.36	1.7	Regulation of transcription
IRF1	Interferon regulatory factor 1	NM_002198	2.23	1.61	Regulation of transcription
TLE3	Transducin-like enhancer protein 3/KIAA1547 protein	NM_005078	3.15	1.96	Regulation of transcription
RHOB	Ras homolog gene family, member B	NM_004040	3.86	3.91	Cell growth and/or maintenance
CYR61	Cysteine-rich, angiogenic inducer, 61	NM_001554	6.21	6.5	Cell growth and/or maintenance
GPC1	Glypican 1	NM_002081	6.21	2.1	Cell growth and/or maintenance
