Genbank ID	Gene Title	5 h FC±SEM	8 Days FC±SEM	1.5 mos FC± SEM	6 mos FC ± SEM
AF357006	Lysyl oxidase-like 1	N.C.	N.C.	-3.8 ± 0.6	-1.7 ± 0.4
BB554226	Latent transforming growth factor beta binding protein 4	N.C.	N.C.	N.C.	-1.5 ± 0.4
NM_007993	Fibrillin 1	N.C.	N.C.	-1.8 ± 0.4	N.C.
BB229377	Elastin	N.C.	-2.0 ± 0.4	N.C.	N.C.
NM_021359	Integrin beta 6	N.C.	N.C.	-2.3 ± 0.4	-1.8 ± 0.4
AI596237	Lysosomal acid lipase 1	-1.6 ± 0.4	N.C.	N.C.	N.C.
BM233698	Colony stimulating factor 1 (macrophage)	-1.9 ± 0.4	N.C.	N.C.	N.C.
BB371842	Platelet derived growth factor, alpha	-1.8 ± 0.4	N.C.	N.C.	N.C.
AF185285	Toll-like Receptor 4	-2.2 ± 0.4	N.C.	N.C.	N.C.
BC011437	interleukin 1 beta	N.C.	-1.9 ± 0.4	N.C.	N.C.
