Acc. no.	Gene symbol	Gene name	FC	T meta	N meta	T other	N other	PDAC	Ca.	PM	Expression
NM_000393	COL5A2	collagen, type V, alpha 2	7.21						X		Upregulated
NM_004425	ECM1	extracellular matrix protein 1	4.38						X		Upregulated
NM_004772	C5orf13	chromosome 5 open reading frame 13	4.29								Upregulated
NM_001932	MPP3	membrane protein, palmitoylated 3	4.17						X		Upregulated
AF200348	D2S448	Melanoma associated gene	4.14								Upregulated
BC004376	ANXA8	annexin A8	3.73								Upregulated
NM_004898	CLOCK	clock homolog (mouse)	3.66								Upregulated
NM_006097	MYL9	myosin, light polypeptide 9, regulatory	3.43								Upregulated
AK056875	LOC91316		3.39								Upregulated
NM_000599	IGFBP5	insulin-like growth factor binding protein 5	3.34						X		Upregulated
NM_004335	BST2	bone marrow stromal cell antigen 2	3.29						X		Upregulated
NM_000304	PMP22	peripheral myelin protein 22	3.16						X		Upregulated
XM_371541	KIAA1641	KIAA1641 protein	3.1								Upregulated
NM_000063	C2	complement component 2	3.01								Upregulated
NM_000396	CTSK	cathepsin K (pycnodysostosis)	2.99								Upregulated
NM_000100	CSTB	cystatin B (stefin B)	2.99						X	X	Upregulated
NM_000138	FBN1	fibrillin 1	2.95						X		Upregulated
NM_002053	GBP1	guanylate binding protein 1	2.89								Upregulated
NM_004723	ARHGEF2	rho/rac guanine nucleotide exchange factor 2	2.79								Upregulated
NM_004146	NDUFB7	NADH dehydrogenase 1 beta subcomplex, 7	2.79						X		Upregulated
NM_002901	RCN1	reticulocalbin 1	2.73								Upregulated
NM_002444	MSN	Moesin	2.73						X	X	Upregulated
NM_005165	ALDOC	aldolase C, fructose-bisphosphate	2.71								Upregulated
NM_004447	EPS8	epidermal growth factor receptor pathway substrate 8	2.64						X		Upregulated
NM_001288	CLIC1	chloride intracellular channel 1	2.6						X		Upregulated
NM_001730	KLF5	Kruppel-like factor 5 (intestinal)	2.51						X		Upregulated
NM_003516	HIST2H2AA	histone 2, H2aa	2.5								Upregulated
NM_002290	LAMA4	laminin, alpha 4	2.48						X		Upregulated
NM_001735	C5	complement component 5	0.41						X		Downregulated
NM_005504	BCAT1	branched chain aminotransferase 1, cytosolic	0.41						X		Downregulated
NM_006751	SSFA2	sperm specific antigen 2	0.39								Downregulated
NM_005576	LOXL1	lysyl oxidase-like 1	0.37						X		Downregulated
BC044862			0.35								Downregulated
NM_005952	MT1X	metallothionein 1X	0.35								Downregulated
NM_000689	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	0.34						X		Downregulated
NM_015684	ATP5S	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s	0.3								Downregulated
NM_033200	BC002942	hypothetical protein BC002942	0.3								Downregulated
BG986717		Transcribed sequences	0.29								Downregulated
NM_001979	EPHX2	epoxide hydrolase 2, cytoplasmic	0.28								Downregulated
NM_000128	F11	coagulation factor XI	0.24								Downregulated
NM_000101	CYBA	cytochrome b-245, alpha polypeptide	0.02						X		Downregulated
