Function	Fisher ratio	Accession no.	Gene name	Abbreviation	Location	Expression
Cell adhesion and motility/extracellular matrix	4.731	L19711	Dystroglycan 1	DAG1	3p21	72 genes upregulated in HBV-HCC from patients without LC
Cell adhesion and motility/extracellular matrix	3.589	L36531	Integrin, alpha 8	ITGA8	10p12.32	72 genes upregulated in HBV-HCC from patients without LC
Cell adhesion and motility/extracellular matrix	3.104	M21812	(Clone PWHLC2-24) myosin light chain 2	HUMMLC2B		72 genes upregulated in HBV-HCC from patients without LC
Cell adhesion and motility/extracellular matrix	3.074	L20815	Corneodesmosin	CDSN	6p21.3	72 genes upregulated in HBV-HCC from patients without LC
Cell adhesion and motility/extracellular matrix	2.441	L34060	Cadherin 8, type 2	CDH8	16q22.1	72 genes upregulated in HBV-HCC from patients without LC
Cell adhesion and motility/extracellular matrix	2.294	X73113	Myosin binding protein C, fast type	MYBPC2	19q13.33	72 genes upregulated in HBV-HCC from patients without LC
Cell proliferation/apoptosis	3.937	D86962	Growth factor receptor-bound protein 10	GRB10	7p12–p11.2	72 genes upregulated in HBV-HCC from patients without LC
Cell proliferation/apoptosis	2.62	X61615	Leukemia inhibitory factor receptor	LIFR	5p13–p12	72 genes upregulated in HBV-HCC from patients without LC
Cell proliferation/apoptosis	2.221	HG3543-HT3739	Insulin-like growth factor 2	IGF2	11p15.5	72 genes upregulated in HBV-HCC from patients without LC
DNA bininding/DNA modification	3.682	X78627	Translin	TSN	2q21.1	72 genes upregulated in HBV-HCC from patients without LC
DNA bininding/DNA modification	3.21	U50315	Human enhancer of zeste homolog 1	EZH1	17q21.1–q21.3	72 genes upregulated in HBV-HCC from patients without LC
DNA bininding/DNA modification	3.167	M11353	H3 histone, family 3A	H3F3A	1q41	72 genes upregulated in HBV-HCC from patients without LC
DNA bininding/DNA modification	2.49	HG3454-HT3647	Zinc finger protein 121 (clone ZHC32)	ZNF121	19p	72 genes upregulated in HBV-HCC from patients without LC
DNA bininding/DNA modification	2.473	X05855	H3 histone, family 3A	H3F3A	1q41	72 genes upregulated in HBV-HCC from patients without LC
DNA bininding/DNA modification	2.282	HG4332-HT4602	Zinc finger protein 77 (pT1)	ZNF77	19p	72 genes upregulated in HBV-HCC from patients without LC
DNA bininding/DNA modification	2.211	L13848	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 9	DDX9	1q25	72 genes upregulated in HBV-HCC from patients without LC
Immune system	5.294	M33680	CD81 antigen	CD81	11p15.5	72 genes upregulated in HBV-HCC from patients without LC
Immune system	5.022	M65134	Complement component C5	C5	9q32–q34	72 genes upregulated in HBV-HCC from patients without LC
Immune system	3.91	M28879	Granzyme B	GZMB	14q11.2	72 genes upregulated in HBV-HCC from patients without LC
