Genbank accession no.	Gene symbol	Gene title	Treatment BP	Treatment 1649a	Treatment DBP
NM_000499	CYP1A1	Cytochrome P450, family 1, subfamily A, polypeptide 1	4.7 ± 0.28	0.6 ± 0.21	?0.7 ± 0.63
NM_001924	GADD45A	Growth arrest and DNA-damage-inducible, ?	3.1 ± 0.00	1.1 ± 0.91	3.0 ± 0.21
NM_015516	E2IG4	Hypothetical protein, estradiol-induced	2.3 ± 0.35	0.5 ± 0.14	0.3 ± 0.00
NM_000104	CYP1B1	Cytochrome P450, family 1, subfamily B, polypeptide 1	2.5 ± 0.28	1.8 ± 0.07	?0.2 ± 0.21
NM_002083	GPX2	Glutathione peroxidase 2	2.1 ± 0.14	0.7 ± 0.07	0.6 ± 0.21
NM_001353	AKR1C1	Aldo-keto reductase family 1, member C1	1.7 ± 0.07	0.1 ± 0.00	0.2 ± 0.00
U05598	AKR1C2	Aldo-keto reductase family 1, member C2	1.6 ± 0.07	?0.2 ± 0.07	0.0 ± 0.00
NM_000463	UGT1A10	UDP glycosyltransferase 1 family, polypeptide A10	1.7 ± 0.14	0.6 ± 0.14	0.5 ± 0.07
NM_015869	PPARG	Peroxisome proliferative activated receptor, ?	1.7 ± 0.21	1.2 ± 0.14	0.9 ± 0.07
NM_000389	CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1.5 ± 0.00	0.2 ± 0.14	1.5 ± 0.28
NM_000120	EPHX1	Epoxide hydrolase 1	1.4 ± 0.07	?0.1 ± 0.14	0.3 ± 0.07
U19599	BAX	BCL2-associated X protein	1.3 ± 0.00	?0.4 ± 0.77	0.6 ± 0.35
X06399	CYP2B6NS	Cytochrome P450, family 2, subfamily B, polypeptide 6	1.1 ± 0.14	0.4 ± 0.14	?0.3 ± 0.2
AA629050	BCL2L11NS	BCL2-like 11 (apoptosis facilitator)	1.3 ± 0.21	1.1 ± 0.49	?0.2 ± 0.21
NM_001065	TNFRSF1A	Tumor necrosis factor receptor superfamily, member 1A	1.1 ± 0.00	0.3 ± 0.14	0.2 ± 0.14
NM_000107	DDB2	Damage-specific DNA binding protein 2	1.0 ± 0.00	0.0 ± 0.14	1.2 ± 0.21
NM_013370	OKL38	Pregnancy-induced growth inhibitor	1.0 ± 0.00	0.2 ± 0.07	0.0 ± 0.14
NM_000903	NQO1	NADPH dehydrogenase, quinone	2.0 ± 0.07	0.4 ± 0.07	?0.2 ± 0.28
