Category	GeneBank	Symbol	Description	Fold change	P
Cell proliferation and differentiation	NM_003316	TTC3	Tetratricopeptide repeat domain 3	>1.62	0.00063
Cell proliferation and differentiation	NM_006999	POLS	Polymerase (DNA directed) sigma	>1.53	0.01394
Cell proliferation and differentiation	AF213033	CDKN3	Cyclin-dependent kinase inhibitor 3	>1.49	0.0117
Cell proliferation and differentiation	NM_002693	POLG	Polymerase (DNA-directed) gamma	>1.47	0.01401
Cell proliferation and differentiation	BE783723	MFHAS1	Malignant fibrous histiocytoma amplified sequence 1	>1.34	0.00138
Cell proliferation and differentiation	AW157070	EGFR	Epidermal growth factor receptor	<2.01	1.50E-02
Cell proliferation and differentiation	BC000717	KHDRBS1	KH domain-containing, RNA-binding, signal	<1.53	5.90E-03
Lipid metabolism	N51263	PHCA	Phytoceramidase, alkaline	>1.76	0.03752
Lipid metabolism	NM_005502	ABCA1	ATP-binding cassette, subfamily A (ABC1), member 1	>1.58	0.00511
Lipid metabolism	NM_017784	OSPBL10	Oxysterol-binding protein-like 10	>1.47	0.02835
Lipid metabolism	NM_001645	APOC1	Apolipoprotein C-I	>1.26	0.0168
Lipid metabolism	AA628586	PPAP2B	Lipid phosphate phosphohydrolase	<2.59	2.50E-02
Lipid metabolism	AW299294	CAP350	Centrosome-associated protein 350	<2.5	1.30E-02
Lipid metabolism	NM_022763	FAD104	Factor for adipocyte differentiation-104	<1.98	9.30E-03
Lipid metabolism	NM_014576	ACF	Apobec-1 complementation factor	<1.54	1.30E-03
Lipid metabolism	AF132203	SCD	Stearoyl-CoA desaturase	<1.49	1.30E-02
Interferon signalling	AF083033	PRKRA	Protein kinase, interferon-inducible double stranded RNA dependent activator	>1.78	0.02521
Interferon signalling	AA166696	IRF2BP2	Interferon regulatory factor 2-binding protein 2	>1.56	0.04816
Interferon signalling	D86962	GRB10	Growth factor receptor-bound protein 10	>1.38	0.01294
Enzymes	AV724329	PGM2L	Phosphoglucomutase 2-like 1	>1.97	0.00375
Enzymes	AA191573	SYNJ2	Synaptojanin 2	>1.7	0.03175
Enzymes	NM_019885	CYP26B1	Cytochrome P450, family 26, subfamily B, polypeptide 1	>1.6	0.0112
Enzymes	AA127740	UP40	Ubiquitin-specific protease 40	<1.68	2.50E-02
Enzymes	AL050388	SOD2	Superoxide dismutase 2, mitochondrial	<1.59	2.40E-02
Transcription and translation control factors	AA149594	TIEG2	TGFB inducible early growth response 2	>1.9	0.02007
Transcription and translation control factors	NM_025112	MGC11349	Hypothetical protein MGC11349	>1.85	0.0474
Transcription and translation control factors	AI735639	PHF15	PHD finger protein 15	>1.69	0.0101
Transcription and translation control factors	BF001614	ANC_2H01	Zinc finger protein ANC_2H01	>1.67	0.01614
Transcription and translation control factors	AI669957	EIF2C4	Eukaryotic translation initiation factor 2C, 4	>1.62	0.03987
Transcription and translation control factors	AL038866	ZF	Zhangfei factor	>1.62	0.02095
Transcription and translation control factors	AI613483	EIF2C2	Eukaryotic translation initiation factor 2C, 2	>1.6	0.00838
Transcription and translation control factors	BE963438	RBAK	RB-associated KRAB repressor	>1.47	0.04995
Transcription and translation control factors	AV727449	PCAF	p300/CBP-associated factor	>1.44	0.04855
Transcription and translation control factors	AL039384	PHF13	PHD finger protein 13	>1.43	0.0042
Transcription and translation control factors	NM_016631	C21orf66	Chromosome 21 open reading frame 66	>1.36	0.03476
Transcription and translation control factors	AB030824	KLF5	Kruppel-like factor 5	<2.02	6.90E-03
Transcription and translation control factors	BG474429	PUM1	Pumilio homologue 1 (Drosophila) translation repressor	<1.94	2.50E-02
Transcription and translation control factors	AI375916	TCF7L2	Transcription factor 7-like 2 (T-cell specific, HMG-box)	<1.86	1.80E-02
Transcription and translation control factors	AK000847	ZNF236	Zinc finger protein 236	<1.63	1.60E-02
Transcription and translation control factors	BF675004	PABPN1	Poly(A)-binding protein, nuclear 1	<1.57	2.80E-02
Cytoskeleton	AA019977	CAMSAP1	Calmodulin-regulated spectrin-associated protein 1	>1.69	0.00406
Cytoskeleton	AK026420	DMN	Desmuslin	>1.63	0.02119
Cytoskeleton	BF223300	ENAH	Enabled homologue (Drosophila)	>1.35	0.04889
Cytoskeleton	AK022248	ACTR10	Actin-related protein 10 homologue (S. cerevisiae)	>1.3	0.01205
Cytoskeleton	NM_144573	NEXN	Nexilin (F actin-binding protein)	<1.78	9.50E-03
Cytoskeleton	AW593244	SPTBN1	Spectrin, beta, nonerythrocytic 1	<1.25	2.40E-02
Secreted proteins	AU148057	DKK3	Dickkopf homologue 3 (Xenopus laevis)	>1.78	0.0293
Secreted proteins	M83248	SPP1	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I,	>1.42	0.01505
Secreted proteins	NM_002521	NPPB	early T-lymphocyte activation 1) Natriuretic peptide precursor B	<1.93	3.70E-02
Secreted proteins	NM_001955	EDN1	Endothelin 1	<1.51	3.90E-03
Cell adhesion	AI479176	ITGA9	Integrin, alpha 9	>2.23	0.01193
Cell adhesion	BG251175	DLG1	Discs, large homologue 1 (Drosophila)	>1.56	0.02952
Cell adhesion	AB011155	DLG5	Discs, large homologue 5 (Drosophila)	>1.45	0.03286
Protein kinases	NM_006206	PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide	>2.16	0.04427
Protein kinases	AA604375	TGFBR1	Transforming growth factor, beta receptor I	>1.83	0.03074
Protein kinases	NM_003010	MAP2K4	Mitogen-activated protein kinase kinase 4	>1.64	0.00475
Protein kinases	NM_012424	RPS6KC1	Ribosomal protein S6 kinase, 52-kDa, polypeptide 1	>1.59	0.0135
Protein kinases	NM_001105	ACVR1	Activin A receptor, type I	>1.58	0.03095
Protein kinases	NM_000142	FGFR3	Fibroblast growth factor receptor 3	>1.46	0.0268
Protein kinases	NM_024960	PANK2	Pantothenate kinase 2	>1.46	0.01407
Protein kinases	NM_004834	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4	>1.39	0.03428
