GenBank ID	Symbol	Gene name	Function
AA916826	APP	Amyloid beta (A4) precursor protein (protease nexin-II, Alzheimers disease)	Genes involved in signal transduction pathway
L20688	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	Genes involved in signal transduction pathway
L36645	EPHA4	EphA4	Genes involved in signal transduction pathway
J03260	GNAZ	Guanine nucleotide-binding protein (G protein), alpha z polypeptide	Genes involved in signal transduction pathway
AA574178	KAI1	Kangai 1	Genes involved in signal transduction pathway
AA458825	MTIF2	Mitochondrial translational initiation factor 2	Genes involved in signal transduction pathway
M80482	PACE4	Paired basic amino-acid cleaving system 4	Genes involved in signal transduction pathway
M16750	PIM1	Pim oncogene	Genes involved in signal transduction pathway
X62006	PTB	Polypyrimidine tract-binding protein (heterogeneous nuclear ribonucleoprotein I)	Genes involved in signal transduction pathway
AA346311	RAI3	Retinoic acid-induced 3	Genes involved in signal transduction pathway
S45545	RCV1	Recoverin	Genes involved in signal transduction pathway
D38583	S100A11	S100 calcium-binding protein A11 (calgizzarin)	Genes involved in signal transduction pathway
AA308062	S100P	S100 calcium-binding protein P	Genes involved in signal transduction pathway
AF029082	SFN	Stratifin	Genes involved in signal transduction pathway
J03040	SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	Genes involved in signal transduction pathway
AF047002	ALY	Transcriptional coactivator	Transcriptional factors
AA905901	CRSP3	Cofactor required for Sp1 transcriptional activation, subunit 3 (130 kDa)	Transcriptional factors
L16783	FOXM1	Forkhead box M1	Transcriptional factors
AA418167	GATA3	GATA-binding protein 3	Transcriptional factors
X92518	HMGIC	High-mobility group (nonhistone chromosomal) protein isoform I-C	Transcriptional factors
M16937	HOXB7	Homeo box B7	Transcriptional factors
U24576	LMO4	LIM domain only 4	Transcriptional factors
X13293	MYBL2	v-myb avian myeloblastosis viral oncogene homolog-like 2	Transcriptional factors
X64652	RBMS1	RNA-binding motif, single-stranded interacting protein 1	Transcriptional factors
M81601	TCEA1	Transcription elongation factor A (SII), 1	Transcriptional factors
AF006086	ARPC3	Actin-related protein 2/3 complex, subunit 3 (21 kDa)	Cell adhesion and cytoskeleton
AA557142	CD2AP	CD2-associated protein	Cell adhesion and cytoskeleton
X63629	CDH3	Cadherin 3, type 1, P-cadherin (placental)	Cell adhesion and cytoskeleton
AA977821	COL1A1	Collagen, type I, alpha 1	Cell adhesion and cytoskeleton
J03464	COL1A2	Collagen, type I, alpha 2	Cell adhesion and cytoskeleton
X14420	COL3A1	Collagen, type III, alpha 1 (Ehlers–Danlos syndrome type IV, autosomal dominant)	Cell adhesion and cytoskeleton
AI140851	COL6A1	Collagen, type VI, alpha 1	Cell adhesion and cytoskeleton
U16306	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	Cell adhesion and cytoskeleton
X02761	FN1	Fibronectin 1	Cell adhesion and cytoskeleton
M15395	ITGB2	Integrin, beta 2	Cell adhesion and cytoskeleton
J00269	KRT6A	Keratin 6A	Cell adhesion and cytoskeleton
L11370	PCDH1	Protocadherin 1 (cadherin-like 1)	Cell adhesion and cytoskeleton
AA234962	PKP3	Plakophilin 3	Cell adhesion and cytoskeleton
X54941	CKS1	CDC28 protein kinase 1	Cell cycle
L16783	FOXM1	Forkhead box M1	Cell cycle
U63743	KNSL6	Kinesin-like 6 (mitotic centromere-associated kinesin)	Cell cycle
AF044588	PRC1	Protein regulator of cytokinesis 1	Cell cycle
K02581	TK1	Thymidine kinase 1, soluble	Cell cycle
