Genbank accession no.	Gene	Annotation	p53Val135/wt/HrasTG·AC/wtvs p53wt/wt/Hraswt/wt(fold)	Function
L40172	Jak3	Janus kinase 3	2.4	Signaling pathways
Y11091	Mknk1	MAPK-interacting serine/threonine kinase 1	2	Signaling pathways
AI844560	Mapbpip	Mitogen-activated protein–binding protein–interacting protein	?2.2	Signaling pathways
AB006787	Map3k5	MAPK kinase kinase 5	?2.6	Signaling pathways
AB021861	Map3k6	MAPK kinase kinase 6	?4.8	Signaling pathways
D76446	Map3k7	MAPK kinase kinase 7	?4.1	Signaling pathways
AI852629	Mapk10	MAPK 10	?4.9	Signaling pathways
AI843682	Nras	Neuroblastoma ras oncogene	2.3	Signaling pathways
M25811	Prkca	Protein kinase C, ?	?2.2	Signaling pathways
X60304	Prkcd	Protein kinase C, ?	2.2	Signaling pathways
D90242	Prkch	Protein kinase C, ?	?2.2	Signaling pathways
D11091	Prkcq	Protein kinase C, [thetas]	?2.1	Signaling pathways
Y13361	Rab7	RAB7, member RAS oncogene family	?2.6	Signaling pathways
AF035646	Rab10	RAB10, member RAS oncogene family	4.6	Signaling pathways
U91601	Rem	Rad and gem–related GTP-binding protein	2.6	Signaling pathways
AW124597	Rap1gds1	RAP1, GTP-GDP dissociation stimulator 1	2.6	Signaling pathways
X99963	Arhb	ras homologue gene family, member AB	2.5	Signaling pathways
AW121127	Arhj	ras homologue gene family, member J	?3.4	Signaling pathways
X57277	Rac1	RAS-related C3 botulinum substrate 1	3.2	Signaling pathways
AI843580	Arhgap8	Rho GTPase-activating protein 8	2.8	Signaling pathways
L14543	Sh3bp2	SH3 domain–binding protein 2	?2.1	Signaling pathways
U58886	Sh3gl2	SH3-domain GRB2-like 2	?4.4	Signaling pathways
D26186	Srms	Src-related kinase lacking COOH-terminal regulatory tyrosine and NH2-terminal myristylation sites	?2.6	Signaling pathways
AF104984	Tiaf1	Transforming growth factor-?1–induced antiapoptotic factor 1	3.3	Apoptosis and cell cycle
AF064071	Apaf1	Apoptotic protease-activating factor 1	2.3	Apoptosis and cell cycle
AF011644	Cdkap1	Cyclin-dependent kinase 2–associated protein 1	2	Apoptosis and cell cycle
L37092	Cdc2l2	Cell division cycle 2 homologue-like 2	?2.5	Apoptosis and cell cycle
AF098068	Cdc45l	Cell division cycle 45 homologue-like	?3.1	Apoptosis and cell cycle
AI849928	Ccnd1	Cyclin D1	2.8	Apoptosis and cell cycle
AF095640	Ccnt1	Cyclin T1	2	Apoptosis and cell cycle
M32490	Cyr61	Cysteine-rich protein 61	2.2	Apoptosis and cell cycle
AV104330	Dad1	Defender against cell death 1	?4.8	Apoptosis and cell cycle
X12616	Fes	Feline sarcoma oncogene	?2.9	Apoptosis and cell cycle
X54149	Gadd45b	Growth arrest and DNA damage–inducible 45?	3.8	Apoptosis and cell cycle
NM_020275	Tnfrsf10b	Tumor necrosis factor receptor superfamily, member 10b	?3.0	Apoptosis and cell cycle
AW122689	Pak2	p21 (CDKN1A)–activated kinase 2	2.3	Apoptosis and cell cycle
X67914	Pdcd1	Programmed cell death 1	2.9	Apoptosis and cell cycle
AW121136	Spec1	Small protein effector 1 of Cdc42	2.1	Apoptosis and cell cycle
AA673981	Son	Son cell proliferation protein	?2.3	Apoptosis and cell cycle
U65586	Terf1	Telomeric repeat binding factor 1	?4.0	Apoptosis and cell cycle
D83266	Vav1	vav1 oncogene	2.3	Apoptosis and cell cycle
X07414	Ercc1	Excision repair cross-complementing rodent repair deficiency, complementation group 1	2.1	Apoptosis and cell cycle
X67719	Creb1	Cyclic AMP–responsive element–binding protein 1	?5.2	Transcription
M61007	Cebpb	CCAAT/enhancer–binding protein, ?	?5.4	Transcription
M98339	Gata4	GATA-binding protein 4	?3.2	Transcription
AA684175	Gtf2h1	General transcription factor II H, polypeptide 1	2.4	Transcription
AF074882	Hdac3	Histone deacetylase 3	?3.6	Transcription
X07439	Hoxc8	Homeobox C8	?2.3	Transcription
M87802	Hoxd1	Homeobox D1	?3.7	Transcription
U58992	Madh1	MAD homologue 1 (Drosophila)	?2.2	Transcription
U79748	Madh4	MAD homologue 4 (Drosophila)	2.5	Transcription
AF087434	Nfatc1	Nuclear factor of activated T cells, cytoplasmic 1	3.3	Transcription
D85612	Nfatc3	Nuclear factor of activated T cells, cytoplasmic 3	?3.0	Transcription
AV160842	Nr1h2	Nuclear receptor subfamily 1, group H, member 2	?2.1	Transcription
D78642	Nfya	Nuclear transcription factor-Y?	3	Transcription
AF020200	Pbx3	Pre-B-cell leukemia transcription factor 3	3.1	Transcription
AI449034	Rest	RE1 silencing transcription factor	?3.1	Transcription
U36799	Rbl2	Retinoblastoma-like 2	?2.9	Transcription
X83733	Sf3a2	Splicing factor 3a, subunit 2	2.6	Transcription
X98511	Sfrs2	Splicing factor, arginine/serine-rich 2 (SC-35)	2.1	Transcription
X70298	Sox4	SRY box–containing gene 4	?2.1	Transcription
D01034	Tbp	TATA box–binding protein	2.9	Transcription
Y09974	Taf1c	TATA box–binding protein (Tbp)–associated factor, RNA polymerase I, C	2.3	Transcription
AF013282	Tbx14	T-box 14	?2.9	Transcription
AF107298	Tcf7l2	Transcription factor 7-like 2, T-cell specific, Hanks solution without glucose; high mobility group box	?2.7	Transcription
D16631	Tcfe2a	Transcription factor E2a	3.2	Transcription
AW048394	Trp53bp1	Transformation-related protein 53–binding protein 1	?5.0	Transcription
L36435	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	?2.3	Transcription
X56906	Bmp7	Bone morphogenetic protein 7	?5.8	G-protein
X71788	Blr1	Burkitts lymphoma receptor 1	3.7	G-protein
AI847897	Gkap42	Cyclic guanosine 3?,5?-monophosphate–dependent protein kinase anchoring protein	?2.3	G-protein
U32329	Ednrb	Endothelin receptor type B	?10.9	G-protein
AI841654	Gpr56	G-protein-coupled receptor 56	?3.3	G-protein
U10551	Gem	GTP-binding protein	?2.4	G-protein
U87965	Gtpbp1	GTP-binding protein 1	?2.7	G-protein
M63659	Gna12	G-protein, ?12	?4.9	G-protein
M13963	Gnai2	G-protein, ? inhibiting 2	3.5	G-protein
M55412	Gnaq	G-protein, ?q polypeptide	?2.1	G-protein
AW121438	Rgs19	Regulator of G-protein signaling 19	2.3	G-protein
U67187	Rgs2	Regulator of G-protein signaling 2	?2.9	G-protein
