Gene symbol	Location (Mb)	Cytoband	Gene name
LASP1	36529854–36581558	17q12	LIM and SH3 protein 1
RPL19	36860105–36864515	17q12	Ribosomal protein L19
PPARBP	37066388–37111066	17q12	PPAR-binding protein
PPP1R1B (DARPP32)	37283120–37289786	17q12	Protein phosphatase 1, regulatory protein phosphatase 1, regulatory (inhibitor) subunit 1B
MLN64 (STARD3)	37292846–37319201	17q12	START domain containing 3 (STARD3)
ERBB2	37355863–37384391	17q12	v-erb-b2 erythroblastic leukemia viral oncogene homologue 2, neuro
GRB7	37569442–37578773	17q12	Growth factor receptor-bound protein 7
GOSR2	44498391–44516025	17q21.32	Golgi SNAP receptor complex member 2
HOXB7	46395738–46399523	17q21.32	Homeo box B7
NDP52	46559566–46652458	17q21.32	Nuclear domain protein 52
TOM1L1	52708811–52770009	17q22	Target of myb1-like 1 (chicken)
COX11	52759961–52776713	17q22	COX11 homologue, cytochromec oxidase assembly protein (yeast)
ZNF161	55796051–55810451	17q23.2	Zinc finger protein 161
SFRS1	55825798–55829476	17q23.2	Splicing factor, arginine/serine-rich 1
FLJ20315	56175262–56237324	17q23.2	Hypothetical protein FLJ20315
RAD51C	56517886–56559615	17q23.2	RAD51 homologue C (Saccharomyces cerevisiae)
RPS6KB1	57819125–57873488	17q23.2	Ribosomal protein S6 kinase, 70 kDa, polypeptide 1
FLJ20062	61547301–61553465	17q23.3	FTSJ3 FtsJ homologue 3 (Escherichia coli)
SMARCD2	61560621–61570860	17q23.3	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily d, member 2
DKFZP586L0724	62575195–62601293	17q23.3	DKFZP586L0724 protein
KIAA0054 (HELZ)	63140494–63341040	17q24.1	Helicase with zinc finger domain
CACNG4	63387986–63454096	17q24.1	Calcium channel, voltage-dependent, ? subunit 4
PRKAR1A	66304550–66324342	17q24.2	Protein kinase, cAMP-dependent, regulatory, type I, ? (tissue-specific extinguisher 1)
FLJ20721	71117987–71318577	17q25.1	Hypothetical protein FLJ20721
KIAA0176	73068800–73087366	17q25.1	KCTD2: potassium channel tetramerization domain containing 2
SMT3H2	73161097–73176005	17q25.1	SMT3 suppressor of mif two 3 homologue 2
AD023	73259304–73264299	17q25.1	AD023 protein
GRB2	73313175–73398819	17q25.1	Growth factor receptor-bound protein 2
LLGL2	73523022–73542161	17q25.1	Lethal giant larvae homologue 2 (Drosophila)
WBP2	73818122–73827758	17q25.1	WW domain-binding protein 2
SRP68	73853819–73888378	17q25.1	Signal recognition particle 68 kDa
CDK3	73921942–73926181	17q25.1	Cyclin-dependent kinase 3
SYNGR2	75988409–75992834	17q25.3	Synaptogyrin 2
BIRC5	76124977–76135412	17q25.3	Baculoviral IAP repeat-containing 5 (survivin)
TIMP2	76623255–76641648	17q25.3	Tissue inhibitor of metalloproteinase 2
FLJ20748	77529010–77533990	17q25.3	Hypothetical protein FLJ20748
GAA	77620684–77638860	17q25.3	Lucosidase, ?; acid (Pompe disease, glycogen storage disease type II)
CD7	79074198–79076869	17q25.3	CD7 antigen (p41)
SECTM1	79165545–79178439	17q25.3	Secreted and transmembrane 1
