Gene symbol	Chromosomal location	Gene name	Cell line	Fold change
210230_at	17p13.3	Hypothetical LOC388388	MM1	-17.6
214415_at	NA	CDNA FLJ43430 fis, clone OCBBF2027661	MM1	-6.0
217490_at	NA	NA	MM1	-6.3
AAK1	2p24.3-p14	AP2 associated kinase 1	MM1	-5.5
ADRB2	5q31-q32	adrenergic, beta-2-, receptor, surface	NCI-H929	-7.48
AMY1A	1p21	amylase, alpha 1A	MM1	-5.7
ASNS	7q21.3	asparagine synthetase	MM1	-9.6
ATF3	1q32.3	activating transcription factor 3	MM1	-13.5
ATF4	22q13.1	activating transcription factor 4 (tax-responsive enhancer element B67)	MM1	-4.3
BAG3	10q25.2-q26.2	BCL2-associated athanogene 3	MM1	-5.9
C1orf24	1q25	chromosome 1 open reading frame 24	MM1	-5.0
CA2	8q22	carbonic anhydrase II	NCI-H929	-5.58
CATSPER2	15q14	cation channel, sperm associated 2	MM1	-13.5
CBS	21q22.3	cystathionine-beta-synthase	MM1	-5.9
CCPG1	15q21.1	cell cycle progression 1	MM1	-5.7
CDS1	4q21.23	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	U266	-14.2
CEACAM1	19q13.2	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	U266	-6.3
CEBPB	20q13.1	CCAAT/enhancer binding protein (C/EBP), beta	MM1	-9.0
CLGN	4q28.3-q31.1	calmegin	MM1	-6.1
CLK1	2q33	CDC-like kinase 1	MM1	-5.8
CRBN	3p26.2	cereblon	MM1	-5.7
CTAGE5	14q13.3	CTAGE family, member 5	MM1	-7.4
CTH	1p31.1	cystathionase (cystathionine gamma-lyase)	MM1	-7.9
DDAH1	1p22	dimethylarginine dimethylaminohydrolase 1	NCI-H929	-6.56
DDIT3	12q13.1-q13.2	DNA-damage-inducible transcript 3	MM1	-12.0
DDIT4	10pter-q26.12	DNA-damage-inducible transcript 4	MM1	-5.6
DKFZP564J102	4q35.1	DKFZP564J102 protein	MM1	-5.3
DNAJB1	19p13.2	DnaJ (Hsp40) homolog, subfamily B, member 1	MM1	-12.2
DNAJB4	1p31.1	DnaJ (Hsp40) homolog, subfamily B, member 4	MM1	-5.8
DNAJB9	7q31|14q24.2-q24.3	DnaJ (Hsp40) homolog, subfamily B, member 9	MM1	-13.6
DNAJC15	13q14.1	DnaJ (Hsp40) homolog, subfamily C, member 15	U266	-14.3
DSCR1L1	6p21.1-p12.3	Down syndrome critical region gene 1-like 1	U266	-4.7
E2F2	1p36	E2F transcription factor 2	U266	-4.9
EIF4EBP1	8p12	eukaryotic translation initiation factor 4E binding protein 1	MM1	-4.8
ENPP2	8q24.1	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	U266	-5.4
EPB41L2	6q23	erythrocyte membrane protein band 4.1-like 2	U266	-4.9
F2RL1	5q13	coagulation factor II (thrombin) receptor-like 1	U266	-6.5
FLJ10847	17p11.2	hypothetical protein FLJ10847	MM1, NCI-H929	-9.5, -9.3
GDF15	19p13.1-13.2	growth differentiation factor 15	MM1	-24.7
GOT1	10q24.1-q25.1	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	MM1	-5.0
GPR125	4p15.31	G protein-coupled receptor 125	NCI-H929	-11.77
HBB	11p15.5	hemoglobin, beta	U266	-5.8
HBG1	11p15.5	hemoglobin, gamma A	U266	-44.0
