Gene	Affy ID	Array fold change 10% CSE	Array fold change 25% CSE	Array fold change 1% CSE	Q-PCR fold change 10% CSE	Q-PCR fold change 25% CSE	Q-PCR fold change
IL1b	205067_at, 39402_at	1.47	-1.6	-3.87	1.52	-1.7	-4.35
IL6	205207_at	-1.27	-1.77	-3.18	-2.4	-1.02	-1.01
TNF-a	207113_s_at	1.54	1.33	-1.79	1.67	1.13	-1.37
IL10	207433_at	-1.59	-3.55	-1.93	-1.91	-6.75	-2.66
IL10RA	204912_at	-1.19	-2.14	-2.29	-1.13	-1.94	-2.15
IL8	202859_x_at, 211506_s_at	1.23	1.72	-1.08	1.68	2.25	-1.19
MCP2	214038_at	-1.23	-4.33	-9.12	-1.38	-5.47	-15.02
GCLM	236140_at	1.58	3.68	3.92	1.53	3.26	3.11
HMOX1	203665_at	1.46	3.68	3.92	1.87	5.86	6.44
MTK1	217546_at	1.73	15.46	28.18	1.09	6.79	9.36
NQO2	237870_at	1.23	1.85	2.99	1.28	1.79	2.18
SOD2	215078_at	-1.13	1.08	-2.37	-1.04	-1.34	-2.01
ADORA2B	205891_at	1.26	2.52	3.27	2.15	3.28	4.38
BAG3	217911_at	1.03	2.05	5.29	1.17	2.02	9.27
FADD	202535_at	-1.05	-1.63	-2.18	-1.13	-1.45	-2.48
FOSL2	218880_at	1.52	2.55	2.78	1.39	2.04	2.8
P2RX7	207091_at	-2.37	-3.98	-3.46	-1.85	-4.41	-2.46
