Gene symbol	Probe set	Locuslink ID	P	GO process	Chromosomal location
ZAP70	1498_at	7535	<.001	Immune response	2q12
AP3D1	36173_r_at	8943	<.001	Intracellular protein transport	19p13.3
SEMA6A	36275_at	57556	<.001	Cytoskeleton organization and biogenesis	5q23.1
CSPG2	38112_g_at	1462	<.001	Development	5q14.3
ITGA5	39753_at	3678	<.001	Integrin-mediated signaling pathway	12q11-q13
CRADD	1211_s_at	8738	<.001	Induction of apoptosis via death domain receptors	12q21.33-q23.1
AGPS	39225_at	8540	<.001	Lipid metabolism	2q31
AP3D1	36172_s_at	8943	<.001	Intracellular protein transport	19p13.3
LOC90410	41561_s_at	55977	<.001	Unknown	17q11.2
LAT	40688_at	27040	<.001	Regulation of T-cell activation	16p11.2
ACVR2	35162_s_at	92	.001	NA	2q22.2-q23.3
SOCS1	41593_at	8651	.001	Intracellular signaling cascade	16p13.13
CASP10	1326_at	843	.001	Induction of apoptosis	2q33-q34
XPC	35647_at	7508	.001	Nucleotide-excision repair	3p25
TNFRSF1B	33813_at	7133	.001	Apoptosis	Ip36.3-p36.2
TCRB	1105_s_at	6957	.001	Immune response	7q34
HPS1	38467_at	3257	.001	NA	10q23.1-q23.3
PTE1	36841_at	10005	.001	Acyl-coA metabolism	20q12-q13.1
TNFRSF1B	1583_at	7133	.001	Apoptosis	1p36.3-p36.2
CASP8	33774_at	841	.001	Apoptosis	2q33-q34
TR1P6	39341_at	7205	.001	NA	7q22
PCSK7	34361_at	9159	.001	Proteolysis and peptidolysis	11q23-q24
LCK	33238_at	3932	.001	Intracellular signaling cascade	1p34.3
CASP8	33775_s_at	841	.001	Induction of apoptosis	2q33-q34
KLRB1	35449_at	3820	.002	Cell surface receptor linked signaling	12p13.1
LRRC15	34778_at	131578	.002	NA	3q29
PHC2	36960_at	1912	.002	NA	1p34.3
MYBL1	160043_at	4603	.002	Regulation of transcription, DNA dependent	8q22
CKMT2	37592_at	1160	.002	Muscle contraction	5q13.3
RQCD1	722_at	9125	.002	Sex differentiation	2q35
RRAD	1776_at	6236	.002	GTPase activity	16q22
CNOT8	41361_at	9337	.002	Negative regulation of cell proliferation	5q31-33
OR511	31428_at	10798	.002	G-protein-coupled receptor protein signaling	11q11
GPR56	35769_at	9289	.002	Cell-cell signaling	16q13
EPM2AIP1	35209_at	9852	.002	NA	3p22.1
GRIN1	37134_f_at	2902	.002	Glutamate-signaling pathway	9q34.3
CTGF	36638_at	1490	.002	Epidermis development	6q23.1
PDE9A	33709_at	5152	.003	Signal transduction	21q22.3
IL27RA	37844_at	9466	.003	NA	19p13.11
KIAA0542	36545_s_at	9814	.003	NA	22q12.2
FGR	1780_at	2268	.003	Protein amino acid phosphorylation	1p36.2-p36.1
SPINK1	38582_at	6690	.003	NA	5q32
FLJ10803	37610_at	55744	.003	NA	7p13
E2F4	38706_at	1874	.003	Regulation of cell cycle	16q21-q22
FOXM1	41324_g_at	2305	.003	Transcription from RNA polymerase II promoter	12p13
CTSW	40718_at	1521	.003	Immune response	11q13.1
TP53BP1	1711_at	7158	.003	Transcription	15q15-q21
TTN	40795_at	7273	.003	Striated muscle contraction	2q31
BAIAP2	37760_at	10458	.003	Insulin receptor signaling pathway	17q25
ANXA11	36637_at	311	.003	Immune response	10q23
IGJ	37006_at	10569	.003	Immune response	4q21
PFAAP5	1532_g_at	10443	.004	NA	13q12-q13
HPN	37639_at	3249	.004	Proteolysis and peptidolysis	19q11-q13.2
CD200	37716_at	4345	.004	NA	3q12-q13
TCF20	33795_at	6942	.004	Regulation of transcription, DNA dependent	22q13.3
BRF1	141_s_at	2972	.004	Transcription initiation from RNA polymerase III	14q
BBC3	1700_at	27113	.004	Apoptosis	19q13.3-q13.4
KIAA0194	34221_at	22993	.004	Regulation of transcription, DNA dependent	5q33.1
CDK9	387_at	1025	.004	Regulation of cell cycle	9q34.1
CTNND1	40444_s_at	1500	.004	Cell-cell adhesion	11q11
IL32	39119_s_at	9235	.004	Immune response	16p13.3
DGKA	32716_at	1606	.004	Intracellular signaling cascade	12q13.3
PBX3	32696_at	5090	.004	Regulation of transcription, DNA dependent	9q33-q34
MLL4	38284_at	9757	.004	Regulation of transcription, DNA dependent	19q13.1
SF3B3	32753_at	23450	.004	RNA splicing	16q22.1
Unknown	34204_at	unknown	.004	Unknown	Unknown
STK39	40966_at	27347	.004	Protein amino acid phosphorylation	2q24.3
PIK4CA	40783_s_at	5297	.004	Phosphatidylinositol biosynthesis	22q11.21
ATM	1863_s_at	472	.005	DNA repair	11q22-q23
Unknown	38423_at	Unknown	.005	Unknown	17q21.2
AIP	36586_at	9049	.005	Protein folding	11q13.3
GAB1	1249_at	2549	.005	Cell proliferation	4q31.21
SLC2A1	40507_at	6513	.005	Glucose transport	1p35-p31.3
Unknown	32467_at	Unknown	.005	Unknown	Unknown
PTPN18	33453_at	537	.005	Protein amino acid dephosphorylation	2q21.1
