Unigene	Gene name	Description	Map	Av. tumor/av. Mucosa	P
Hs.546343	CLCA4	Chloride channel, calcium-activated, family member 4	1p31-p22	0.1454	6.00E-07
Hs.380135	FABP1	Fatty acid binding protein 1, liver	2p11	0.1974	<1e-7
Hs.406691	HIST1H2AJ	Histone 1, H2aj	6p22-p21.3	6.234	<1e-7
Hs.182432	HIST1H2BM	Histone 1, H2bm	6p22-p21.3	5.0377	<1e-7
Hs.518805	HMGA1	High mobility group AT-hook 1, transcript variant 5	6p21	5.3492	<1e-7
Hs.458414	IFITM1	IFN-induced transmembrane protein 1 (9-27)	11p15.5	5.7868	<1e-7
Hs.525648	IGHG1	Immunoglobulin heavy constant g 1 (G1m marker)	14q32.33	5.0495	<1e-7
Hs.204238	LCN2	Lipocalin 2 (oncogene 24p3)	9q34	5.7985	2.48E-05
Hs.272789	MS4A12	Membrane-spanning 4-domains, subfamily A, member 12	11q12	0.1534	<1e-7
Hs.202453	MYC	v-myc myelocytomatosis viral oncogene homologue (avian)	8q24.12-q24.13	5.4948	<1e-7
Hs.232165	PRV1	Polycythemia rubra vera 1	19q13.2	0.1337	<1e-7
Hs.432485	RPL36A	Ribosomal protein L36a	Xq22.1	5.8333	<1e-7
Hs.368304	RPS2	Ribosomal protein S2	16p13.3	5.9091	<1e-7
Hs.226390	RRM2	Ribonucleotide reductase M2 polypeptide	2p25-p24	5.141	<1e-7
Hs.417004	S100A11	S100 calcium binding protein A11 (calgizzarin)	1q21	5.3681	<1e-7
Hs.162585	SLC12A2	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2	5q23.3	13.2698	<1e-7
Hs.302738	SLC26A2	Solute carrier family 26 (sulfate transporter), member 2	5q31-q34	0.1748	<1e-7
