GenBank accession no.	Gene name	VIP	P value (ttest paired)
U09579	Cyclin-dependent kinase inhibitor 1 (CDKN1A);p21WAF1/CIP1	2.11	5.5778E?7
M80563	S100 calcium-binding protein A4 (calvasculin, metastasin)	1.14	0.13178
Y07604	Non-metastatic cells 4	1.11	0.0354
X14356	Fc fragment of IgG, high affinity Ia, receptor for(CD64)	1.09	0.34425
M95712	v-raf murine sarcoma viral oncogene homolog B1	1.05	0.1213
L11285	Mitogen-activated protein kinase kinase 2	1.04	0.0047
Y09305	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4	1.03	0.29491
J03909	Interferon, gamma-inducible protein 30	1.02	0.00795
U72649	BTG family, member 2	1.02	0.00154
M35663	Protein kinase, interferon-inducible double stranded RNA dependent	0.96	0.15634
M36067	Ligase I, DNA, ATP-dependent	0.95	0.01041
X62055	Protein tyrosine phosphatase, non-receptor type 6	0.95	0.00441
L20471	Basigin (OK blood group)	0.94	0.0129
L13720	Growth arrest-specific 6	0.91	0.0006277
X02308	Thymidylate synthetase	0.87	0.01228
X57398	PM5 protein	0.87	0.01195
Z30183	Tissue inhibitor of metalloproteinase 3 (TIMP3)	0.85	0.05674
L07597	Ribosomal protein S6 kinase, 90kD, polypeptide 1	0.83	0.01848
U70310	DNA repair proteon XRCC9	0.81	0.01667
X56932	Ribosomal protein L13a	0.8	0.00592
M34671	CD59 antigen p18–20	0.8	0.00107
D55696	Protease, cysteine, 1 (legumain)	0.78	0.09813
U48296	Protein tyrosine phosphatase type IVA, member 1	0.73	0.0208
M15796	Proliferating cell nuclear antigen (PCNA)	0.72	0.05624
U58048	Procollagen (type III) N-endopeptidase	0.71	0.0921
