Genesa	Genbank accession number	Chromosomal location	Description
AR	NM_000044	Xq11.2-q12	Androgen receptor
AREG	NM_001657	4q13-q21	Amphiregulin
ARHC / RhoC	NM_175744	1p13.1	Ras homolog gene family, member C
BCL2	NM_000633	18q21.3	B-cell CLL/lymphoma 2
BRCA1	NM_007294	17q21	Breast cancer 1, early onset
BRCA2	NM_000059	13q12.3	Breast cancer 2, early onset
CAV1	NM_001753	7q31.1	Caveolin 1
CCND1	NM_053056	11q13	Cyclin D1
CCNE1	NM_001238	19q12	Cyclin E1
CD44	NM_000610	11p13	CD44 antigen
CDH1	NM_004360	16q22.1	Cadherin 1 (E-cadherin)
CGA	NM_000735	6q12-q21	Glycoprotein hormones, alpha polypeptide
CGB	NM_000737	19q13.32	Chorionic gonadotropin, beta polypeptide
CP / Ceruloplasmin	NM_000096	3q23-q25	Ceruloplasmin
CXCL12	NM_000609	10q11.1	Chemokine (C-X-C motif) ligand 12
CXCR4	NM_003467	2q21	Chemokine (C-X-C motif) receptor 4
DNMT3B	NM_006892	20q11.2	DNA (cytosine-5-)-methyltransferase 3 beta
EGFR / ERBB1	NM_005228	7p12	Epidermal growth factor receptor
ERBB2	NM_004448	17q21.1	ErbB2
ERBB3	NM_001982	12q13	ErbB3
ERBB4	NM_005235	2q33.3-q34	ErbB4
ESR1 / Era	NM_000125	6q25.1	Estrogen receptor 1 (alpha)
ESR2 / Erb	NM_001437	14q	Estrogen receptor 2 (beta)
ETV4 / PEA3 / E1AF	NM_001986	17q21	Ets variant gene 4
HAS2	NM_005328	8q24.12	Hyaluronan synthase 2
HMMR / RHAMM	NM_012484	5q33.2-qter	Hyaluronan-mediated mobility receptor
KRT19	NM_002276	17q21.2	Keratin 19
MKI67	NM_002417	10q25-qter	Antigen identified by monoclonal antibody Ki-67
MYC	NM_002467	8q24.12-q24.13	c-myc oncogene
p14 / ARF	NM_058195	9p21	Alternative reading frame p14 (p14ARF)
p15 / CDKN2B	NM_004936	9p21	Cyclin-dependent kinase inhibitor 2B (p15 CDK inhibitor)
p16 / CDKN2A	NM_000077	9p21	Cyclin-dependent kinase inhibitor 2A (p16 CDK inhibitor)
PGR / PR	NM_000926	11q22-q23	Progesterone receptor
PLAU / UPA	NM_002658	10q24	Plasminogen activator, urokinase
PTGS2 / COX2	NM_000963	1q25.2-q25.3	Prostaglandin-endoperoxide synthase 2
PTTG1 / Securin	NM_004219	5q35.1	Pituitary tumor-transforming 1
RB1	NM_000321	13q14.2	Retinoblastoma 1
SERPINB2 / PAI2	NM_002575	18q21.3	Plasminogen activator inhibitor type 2
SERPINB5 / Maspin	NM_002639	18q21.3	Maspin
SERPINE1 / PAI1	NM_000602	7q21.3-q22	Plasminogen activator inhibitor type 1
SPP1 / Osteopontin	NM_000582	4q21-q25	Secreted phosphoprotein 1
SRC	NM_005417	20q12-q13	c-src oncogene
TERT	NM_003219	5p15.33	Telomerase reverse transcriptase
TFF1 / pS2	NM_003225	21q22.3	Trefoil factor 1
TIAM1	NM_003253	21q22.11	T-cell lymphoma invasion and metastasis 1
TOP2A	NM_001067	17q21-q22	Topoisomerase (DNA) II alpha 170 kDa
XLKD1 / LYVE-1	NM_006691	11p15	Extracellular link domain containing 1
