Fold change	Acession number	gene symbol	gene
2	NM_001108894	Nkd1	naked cuticle 1 homolog (Drosophila)
2	NM_001108000	C1qdc2	C1q domain containing 2
2	NM_001108667	Fktn	fukutin
2	NM_001107869	Dysf	dysferlin
2	AB006815	Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1
2	ENSRNOT00000001088	Lims1	LIM and senescent cell antigen-like domains 1
2	---	---	---
2	NM_053677	Chek2	CHK2 checkpoint homolog (S. pombe)
2	NM_017267	Timm44	translocase of inner mitochondrial membrane 44
2	NM_001108592	Snrpb2	U2 small nuclear ribonucleoprotein B
2	ENSRNOT00000026514	Smg5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)
2	XM_001062276	RGD1561785	similar to mKIAA1924 protein
2	NM_001106275	Abhd2	abhydrolase domain containing 2
2.006943497	NM_139253	Mcfd2	multiple coagulation factor deficiency 2
2.006943497	NM_001105993	Glmn	glomulin, FKBP associated protein
2.006943497	BC168248	Fam129b	family with sequence similarity 129, member B
2.006943497	ENSRNOT00000025052	Aars	alanyl-tRNA synthetase
2.006943497	NM_001106197	Arv1	ARV1 homolog (yeast)
2.006943497	NM_013177	Got2	glutamate oxaloacetate transaminase 2, mitochondrial
2.006943497	NM_212494	Cuta	cutA divalent cation tolerance homolog (E. coli)
2.006943497	NM_031793	Ppig	peptidylprolyl isomerase G
2.006943497	ENSRNOT00000015232	Ube3c	ubiquitin protein ligase E3C
2.006943497	NM_001025735	Tcea1	transcription elongation factor A (SII) 1
2.006943497	ENSRNOT00000026267	RGD1565363	similar to RIKEN cDNA 1110025L05
2.006943497	BC086564	RGD1307315	LOC362793
2.006943497	NM_198051	Trmt11	tRNA methyltransferase 11 homolog (S. cerevisiae)
2.0139111	NM_001007745	Tmem43	transmembrane protein 43
2.0139111	NM_001005538	MGC94288	similar to 4632419K20Rik protein
2.0139111	NM_001108331	Ap1s1	adaptor protein complex AP-1, sigma 1
2.0139111	NM_001107812	Metapl1	methionine aminopeptidase-like 1
2.0139111	NM_001106353	Erlin1	ER lipid raft associated 1
2.0139111	ENSRNOT00000028807	Rbm8	RNA binding motif protein 8
2.0139111	NM_001002807	Clic1	chloride intracellular channel 1
2.0139111	ENSRNOT00000000475	RGD1311294	similar to Hypothetical protein C6orf60
2.0139111	NM_053871	Srp54a	signal recognition particle 54a
2.0139111	ENSRNOT00000003145	Fam122b	family with sequence similarity 122B
2.0139111	---	---	---
2.0139111	NM_145773	Mxd3	Max dimerization protein 3
2.020902893	NM_022539	Metap2	methionine aminopeptidase 2
2.020902893	NM_139332	Tpcn1	two pore channel 1
2.020902893	ENSRNOT00000021558	Tpm3	tropomyosin 3, gamma
2.020902893	NM_012621	Pfkfb1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
2.020902893	NM_001107824	Ddx31	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 31
2.020902893	NM_001107441	RGD1563235	similar to 1700054N08Rik protein
2.020902893	NM_001107909	Map3k6	mitogen-activated protein kinase kinase kinase 6
2.020902893	---	---	---
2.020902893	NM_001107139	Pitpnm2	phosphatidylinositol transfer protein, membrane-associated 2
2.020902893	NM_001047889	Wdr75	WD repeat domain 75
2.020902893	NM_001013986	LOC305076	similar to hypothetical protein MGC29875; novel putative protein similar to YIL091C yeast hypothetical 84 kD protein from SGA1-KTR7
2.020902893	NM_031614	Txnrd1	thioredoxin reductase 1
2.020902893	NM_001107416	Papd5	PAP associated domain containing 5
2.020902893	---	---	---
2.020902893	---	---	---
2.020902893	ENSRNOT00000009121	Nav3	neuron navigator 3
2.020902893	BC098732	Ptcd3	Pentatricopeptide repeat domain 3
2.020902893	NM_022865	Gphn	gephyrin
2.020902893	ENSRNOT00000031812	Dmxl1	Dmx-like 1
2.020902893	NM_001108367	Smek2	SMEK homolog 2, suppressor of mek1 (Dictyostelium)
2.02791896	NM_001008771	Wdr77	WD repeat domain 77
2.02791896	NM_001108619	Impdh1	inosine 5-phosphate dehydrogenase 1
2.02791896	BC085824	RGD1308813	similar to adipocyte-specific protein 4
2.02791896	NM_001033063	Rpp38	ribonuclease P/MRP 38 subunit (human)
2.02791896	NM_001106668	Slc35d1	solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1
2.02791896	NM_001108489	Iqgap1	IQ motif containing GTPase activating protein 1
2.02791896	NM_053547	Rfc1	replication factor C (activator 1) 1
2.02791896	NM_001111295	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3
2.02791896	ENSRNOT00000030276	LOC685823	similar to CG9581-PA
2.02791896	NM_001080151	Ccdc21	coiled-coil domain containing 21
2.02791896	NM_001004102	ST7	suppression of tumorigenicity 7
2.02791896	NM_001111295	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3
2.02791896	NM_001014243	RGD1309888	similar to RIKEN cDNA 1500002O20
2.02791896	NM_001108994	RGD1311077	similar to RIKEN cDNA 2810485I05
2.02791896	NM_001002823	Hsn2	hereditary sensory neuropathy, type II
2.02791896	NM_001105912	Snx8	sorting nexin 8
2.02791896	NM_022683	Cul5	cullin 5
2.02791896	ENSRNOT00000043934	Snrpel	small nuclear ribonucleoprotein E-like
2.02791896	---	---	---
2.034959384	BC168226	Ttc7	tetratricopeptide repeat domain 7
2.034959384	NM_001017503	Purb	purine rich element binding protein B
2.034959384	NM_031341	Slc7a7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7
2.034959384	NM_001013193	Tial1	Tia1 cytotoxic granule-associated RNA binding protein-like 1
2.034959384	NM_001112737	Limd1	LIM domains containing 1
2.034959384	NM_053897	F2rl1	coagulation factor II (thrombin) receptor-like 1
2.034959384	NM_001006996	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
2.034959384	XM_001055676	Clpp	caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)
2.034959384	NM_001108759	Siae	sialic acid acetylesterase
2.034959384	NM_001024305	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
2.042024251	AY363227  //  AY363227	Hnrnpa3  // Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3  // heterogeneous nuclear ribonucleoprotein A3
2.042024251	NM_198132	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3
2.042024251	NM_001111295	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3
2.042024251	ENSRNOT00000037954	Ankrd26	ankyrin repeat domain 26
2.042024251	NM_001107821	Agpat2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)
2.042024251	NM_201635	Cyp24a1	cytochrome P450, subfamily 24
2.042024251	BC166469	Fam49b	family with sequence similarity 49, member B
2.042024251	ENSRNOT00000039602	LOC679469	similar to retinoblastoma-associated protein 140
2.042024251	NM_001008373	Sfrs12ip1	SFRS12-interacting protein 1
2.042024251	NM_001108098	Cpm	carboxypeptidase M
2.042024251	NM_001025735	Tcea1	transcription elongation factor A (SII) 1
2.042024251	BC160884	RGD1306730	similar to cDNA sequence BC025641
2.042024251	NM_053416	Strbp	spermatid perinuclear RNA binding protein
2.042024251	NM_001025113	Kpna5	karyopherin alpha 5 (importin alpha 6)
2.042024251	XM_001062276	RGD1561785	similar to mKIAA1924 protein
2.042024251	NM_080897	Bnip1	BCL2/adenovirus E1B 19kDa-interacting protein 1
2.042024251	---	---	---
2.042024251	---	---	---
2.042024251	XM_225253	Slc35b3	solute carrier family 35, member B3
2.049113646	---	---	---
2.049113646	NM_001126085	Lsm6	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)
2.049113646	NM_053414	Ddx1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1
2.049113646	NM_001011934	Hbs1l	Hbs1-like (S. cerevisiae)
2.049113646	NM_001109437	Dbr1	debranching enzyme homolog 1 (S. cerevisiae)
2.049113646	ENSRNOT00000003687	RGD1307222	similar to mKIAA0664 protein
2.049113646	NM_031563	Ybx1	Y box protein 1
2.049113646	XR_007615	RGD1560153	similar to RIKEN cDNA 2410004L22
2.056227653	NM_001107420	Rbmxrtl	RNA binding motif protein, X chromosome retrogene-like
2.056227653	BC088456	RGD1311458	similar to cDNA sequence BC027231; hypothetical protein MGC27931
2.056227653	ENSRNOT00000039225	Fam102b	family with sequence similarity 102, member B
2.056227653	---	---	---
2.056227653	ENSRNOT00000014780	Gars	glycyl-tRNA synthetase
2.056227653	ENSRNOT00000006050	Zbed4	zinc finger, BED domain containing 4
2.056227653	NM_001106264	Reps1	RalBP1 associated Eps domain containing protein
2.056227653	NM_001013434	Rras2	related RAS viral (r-ras) oncogene homolog 2
2.056227653	NM_001004415	Tacc2	transforming, acidic coiled-coil containing protein 2
2.056227653	ENSRNOT00000003641	RGD1564833	similar to 9630058J23Rik protein
2.056227653	BC166543	RGD1564058	similar to cDNA sequence BC056474
2.056227653	NM_022250	Qtrt1	queuine tRNA-ribosyltransferase 1
2.056227653	NM_138847	Nip7	nuclear import 7 homolog (S. cerevisiae)
2.056227653	BC081895	RGD1307509	similar to RIKEN cDNA 1700108L22
2.056227653	NM_001107682	Nmd3	NMD3 homolog (S. cerevisiae)
2.056227653	---	---	---
2.056227653	---	---	---
