Gene symbol	Gene name	Accession number	 -fold	Function
CCND1	Cyclin D1	NM_053056	2.56	Cell cycle regulators
CCND3	Cyclin D3	NM_001760	2.8	Cell cycle regulators
CDKN2A	Cyclin-dependent kinase inhibitor 2A p16)	NM_058197	2.49	Cell cycle regulators
EGR1	Early growth response 1	NM_001964	5.65	Cell cycle regulators
EGR2	Early growth response 2	NM_000399	1.97	Cell cycle regulators
p27kip1	Cyclin-dependent kinase inhibitor 1B	NM_004064	1.82	Cell cycle regulators
PCNA	Proliferating cell nuclear antigen	NM_002592	1.9	Cell cycle regulators
RFC2	Replication factor C (activator 1) 2	NM_002914	2.03	Cell cycle regulators
MCL1	Myeloid cell leukemia sequence 1	NM_021960	2.12	Antiapoptotic
FGFR1	Fibroblast growth factor receptor 1	NM_000604	2.5	Cytokines and growth factor-receptors
GCSFR	Granulocyte colony stimulating factor receptor	NM_000760	2.43	Cytokines and growth factor-receptors
TFR	Transferrin receptor (p90, CD71)	NM_001063	4.34	Cytokines and growth factor-receptors
TGFBI	Transforming growth factor, beta-induced	NM_000358	2.37	Cytokines and growth factor-receptors
RARA	Retinoic acid receptor, alpha	NM_000964	-3.01	Cytokines and growth factor-receptors
FOS	Proto-oncogene protein c-fos	NM_005252	3.99	Transcription factors
c-JUN	Human c-jun proto oncogene	NM_002228	2.03	Transcription factors
MAX	MAX protein	NM_145113	1.96	Transcription factors
SOX2	Sex determining region Y)-box 2	BC013923	2.14	Transcription factors
C-MYC	Myc proto-oncogene protein	NM_002467	-1.87	Transcription factors
KLF1	Kruppel-like factor 1	NM_006563	-2.21	Transcription factors
ALK-1	Activin receptor-like kinase 1	NM_000020	2.22	Kinases
B-RAF	B-Raf proto-oncogene serine/threonine-protein kinase	NM_004333	1.74	Kinases
PKLR	Pyruvate kinase	NM_000298	-1.92	Kinases
TK1	Thymidine kinase 1	NM_003258	-2.01	Kinases
MKP-1	MAP kinase phosphatase-1	NM_004417	2.82	Phosphatases
PP2A	Serine/threonine protein phosphatase 2A	NM_006245	2.11	Phosphatases
AMPD3	Adenosine monophosphate deaminase 3	NM_000480	2.14	Proteases
MDC9	Metalloprotease/disintegrin/cysteine-rich protein	NM_003816	1.89	Proteases
PLAU	Plasminogen activator, urokinase	NM_002658	3.83	Proteases
TIMP1	Tissue inhibitor of metalloproteinase 1	NM_003254	2.21	Proteases
UCHL3	Ubiquitin carboxyl-terminal esterase L3	NM_006002	2.07	Proteases
AKR1C4	Aldo-keto reductase family 1, member C4	NM_001818	-2.88	Proteases
AMD1	S-adenosylmethionine decarboxylase 1	NM_001634	-1.95	Proteases
CLPS	Colipase	NM_001832	2.01	Extracellular matrix proteins
COL6A1	Collagen, type VI, alpha 1	NM_001848	2.57	Extracellular matrix proteins
CTSB	Cathepsin B	NM_001908	1.89	Extracellular matrix proteins
CTSD	Cathepsin D	NM_001909	1.92	Extracellular matrix proteins
CTSL	Cathepsin L	NM_001912	1.88	Extracellular matrix proteins
ELAM-1	Endothelial leukocyte adhesion molecule 1	NM_000450	2.05	Extracellular matrix proteins
FN1	Fibronectin 1	NM_002026	2.75	Extracellular matrix proteins
HP	Haptoglobin	AK055872	2.89	Extracellular matrix proteins
LAMC1	Laminin, gamma 1 (formerly LAMB2)	NM_002293	2.27	Extracellular matrix proteins
SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	NM_003118	1.87	Extracellular matrix proteins
THBS2	Thrombospondin 2	NM_003247	2.34	Extracellular matrix proteins
HLA-DRA1	HLA class 2 histocompatibility antigen DR alpha	NM_019111	-3.75	Extracellular matrix proteins
HBA2	Hemoglobin, alpha 2	BI771544	4.66	Miscellaneous
ANP32B	Acidic (leucine-rich) nuclear phosphoprotein 32 family B	NM_006401	2.13	Miscellaneous
CD59	Membrane attack complex inhibition factor	NM_000611	1.91	Miscellaneous
MTCYB	Cytochrome B, mitochondrion	AF346991	2.46	Miscellaneous
SAT	Spermidine/spermine N1-acetyltransferase	BC008424	2.38	Miscellaneous
xxx	Clone CTD-2643I7	AC_104389	3.26	Miscellaneous
xxx	Similar to H3 histone, family 3B	XM_087240	2.73	Miscellaneous
xxx	Zinc-finger protein 300, hypothetical protein	BC035832	2.54	Miscellaneous
ZFP36L1	Zinc-finger protein 36, C3 H type-like 1	NM_004926	2.03	Miscellaneous
CTPS	CTP synthase	NM_001905	-2.16	Miscellaneous
RPS4X	Ribosomal protein S4, X-linked	NM_001007	-2.21	Miscellaneous
SMAP83	Clone SMAP83	AB019568	-1.86	Miscellaneous
STMN1	Stathmin 1/oncoprotein 18	NM_005563	-1.99	Miscellaneous
