Affymetrix ID	P-value	Gene Symbol	Genbank	RANK Survival	Location bp
222841_s_at	0.012	TIMM22	AI762874	NA	chr17:847128-852157(+)
229100_s_at	0.0057	TIMM22	H87708	NA	chr17:851588-852180(+)
202225_at	0.00318	CRK	AW612311	NA	chr17:1270737-1306262(-)
202224_at	0.0367	CRK	BF304695	NA	chr17:1270737-1306262(-)
202226_s_at	0.0197	CRK	NM_016823	NA	chr17:1273027-1306259(-)
225080_at	0.000315	MYO1C	BG251821	NA	chr17:1314145-1315196(-)
201190_s_at	0.00743	PITPNA	H15647	NA	chr17:1368033-1412822(-)
201191_at	0.012	PITPNA	H15647	NA	chr17:1368033-1412822(-)
201192_s_at	0.00661	PITPNA	NM_006224	NA	chr17:1370266-1412820(-)
222041_at	0.0176	DPH1 ; OVCA2	BG235929	NA	chr17:1893414-1893941(+)
225329_at	0.0324	LOC348262	BF338291	NA	chr17:2338652-2340800(-)
219204_s_at	0.0228	SRR	NM_021947	NA	chr17:2165599-2175303(+)
219205_at	0.0176	SRR	NM_021947	NA	chr17:2165599-2175303(+)
200816_s_at	0.0247	PAFAH1B1	NM_000430	NA	chr17:2443686-2535638(+)
218896_s_at	0.0247	HSA277841	NM_018553	NA	chr17:3661571-3675064(-)
213036_x_at	0.00101	ATP2A3	Y15724	NA	chr17:3773912-3814485(-)
207522_s_at	0.00888	ATP2A3	NM_005173	NA	chr17:3773918-3814340(-)
224900_at	0.00279	ANKFY1	AK025960	NA	chr17:4013586-4058065(-)
1558723_at	0.00279	LOC284014	AK095567	NA	chr17:4637068-4640900(-)
214246_x_at	0.0324	MINK1	AI859060	NA	chr17:4741784-4742127(+)
229833_at	0.0367	ALOX12	BF507533	NA	chr17:6845979-6856764(-)
206743_s_at	0.0197	ASGR1	NM_001671	NA	chr17:7017530-7023379(-)
200710_at	0.0367	ACADVL	NM_000018	NA	chr17:7063951-7069306(+)
1555789_s_at	0.0421	PHF23	AY099328	NA	chr17:7079704-7083494(-)
200035_at	0.012	DULLARD	NM_015343	NA	chr17:7087637-7095368(-)
209350_s_at	0.00226	GPS2	AL157493	NA	chr17:7156704-7167748(-)
226703_at	0.0247	KIAA1787	AL136870	NA	chr17:7159680-7173218(-)
206703_at	0.00661	CHRNB1	NM_000747	NA	chr17:7289155-7300894(+)
209500_x_at	0.0247	TNFSF13	AF114012	NA	chr17:7402884-7405641(+)
211495_x_at	0.00226	TNFSF13	AF114011	1767	chr17:7402809-7405100(+)
209499_x_at	0.0367	TNFSF13 ; TNFSF12-TNFSF13	BF448647	NA	chr17:7402809-7405642(+)
225629_s_at	0.000286	ZBTB4	AI669498	NA	chr17:7303416-7304381(-)
225294_s_at	0.0324	TRAPPC1	BG340967	NA	chr17:7774392-7775965(-)
219435_at	0.0228	C17orf68	NM_025099	NA	chr17:8071861-8077078(-)
208093_s_at	0.00374	NDEL1	NM_030808	NA	chr17:8279968-8312196(+)
227816_at	0.0421	NA	BF591483	NA	chr17:9087182-9088042(+)
204690_at	0.0367	STX8	NM_004853	NA	chr17:9094514-9420000(-)
202191_s_at	0.0281	GAS7	BE439987	NA	chr17:9754651-9870303(-)
229693_at	0.0324	LOC388335	AI952836	NA	chr17:10559464-10570307(-)
223221_at	0.0142	SCO1	AF183424	NA	chr17:10524737-10541562(-)
226787_at	0.00226	ZNF18	BF966015	NA	chr17:11821290-11837162(-)
203266_s_at	0.0104	MAP2K4	NM_003010	NA	chr17:11864920-11987669(+)
210139_s_at	0.00661	PMP22	L03203	1843	chr17:15073835-15106550(-)
1565638_at	0.0104	PMP22	AL833462	NA	chr17:15084469-15088438(-)
200856_x_at	0.0247	NCOR1	BF437948	NA	chr17:15874141-16059607(-)
200854_at	0.0247	NCOR1	AB028970	NA	chr17:15874141-16059607(-)
232262_at	0.0473	PIGL	AU155941	NA	chr17:16143948-16195843(+)
222855_s_at	0.00374	TRPV2	BF058747	2631	chr17:16261669-16280995(+)
219282_s_at	0.000616	TRPV2	NM_015930	NA	chr17:16261669-16280995(+)
218372_at	0.0473	MED9	NM_018019	NA	chr17:17321025-17337259(+)
223467_at	0.0047	RASD1	AF069506	NA	chr17:17338480-17340365(-)
226198_at	0.0281	TOM1L2	AV751731	NA	chr17:17687547-17688652(-)
214330_at	0.0367	ATPAF2	AF070584	1803	chr17:17859098-17883108(-)
222065_s_at	0.00318	FLII	AI830227	NA	chr17:18089289-18089968(-)
212025_s_at	0.00661	FLII	BG421186	NA	chr17:18088858-18102791(-)
227304_at	0.00196	SHMT1	N25727	NA	chr17:18171093-18172094(+)
227305_s_at	0.00374	SHMT1	N25727	NA	chr17:18171093-18172094(+)
203464_s_at	0.012	EPN2	NM_014964	NA	chr17:19081318-19180620(+)
202053_s_at	0.0158	ALDH3A2	L47162	NA	chr17:19492719-19519647(+)
210544_s_at	0.0104	ALDH3A2	BC002430	NA	chr17:19492836-19520396(+)
202054_s_at	0.0158	ALDH3A2	NM_000382	NA	chr17:19492683-19521495(+)
1554112_a_at	0.0473	ULK2	BC034988	NA	chr17:19614736-19711841(-)
204063_s_at	0.0421	ULK2	NM_014683	NA	chr17:19618058-19711822(-)
204062_s_at	0.0473	ULK2	BG526973	NA	chr17:19618057-19711822(-)
1564359_a_at	0.0281	MGC87631	AK057473	NA	chr17:20731494-20747317(+)
1560099_at	0.0281	MGC87631	BC041488	NA	chr17:20746123-20749134(+)
