Gene Symbol	Fold Change	Gene Title	Chromosomal Location	Affymetrix Probeset ID
CXCL11	14.31	chemokine (C-X-C motif) ligand 11	4q21.2	211122_s_at
CXCL11	13.31	chemokine (C-X-C motif) ligand 11	4q21.2	210163_at
FN1	9.21	fibronectin 1 /// fibronectin 1	2q34 /// 2q34	211719_x_at
PTGS2	8.69	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1q25.2-q25.3	204748_at
FN1	7.61	fibronectin 1	2q34	212464_s_at
CXCL10	7.56	chemokine (C-X-C motif) ligand 10	4q21	204533_at
OSF-2	7.37	osteoblast specific factor 2 (fasciclin I-like)	13q13.3	210809_s_at
NA	7.16	Homo sapiens mRNA; cDNA DKFZp686G12112 (from clone DKFZp686G12112)	NA	227921_at
LAMB1	6.53	laminin, beta 1	7q22	201505_at
FN1	6.52	fibronectin 1	2q34	210495_x_at
FLJ12505	6.34	hypothetical protein FLJ12505	1q32.3	235343_at
FN1	6.25	fibronectin 1	2q34	216442_x_at
NA	6.21	Homo sapiens clone 23688 mRNA sequence	NA	213808_at
NA	6.16	NA	NA	1556499_s_at
COL1A2	5.93	collagen, type I, alpha 2	7q22.1	202404_s_at
NA	5.63	Homo sapiens cDNA FLJ11041 fis, clone PLACE1004405.	NA	227140_at
CHI3L1	5.55	chitinase 3-like 1 (cartilage glycoprotein-39)	1q32.1	209395_at
CXCL9	5.48	chemokine (C-X-C motif) ligand 9	4q21	203915_at
RAMP	5.37	RA-regulated nuclear matrix-associated protein	NA	218585_s_at
COL4A1	5.24	collagen, type IV, alpha 1	13q34	211980_at
C6orf141	5.07	chromosome 6 open reading frame 141	6p12.3	1554314_at
HOXC6	5.04	homeo box C6	12q13.3	206858_s_at
PTGS2	4.95	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1q25.2-q25.3	1554997_a_at
NA	4.93	Homo sapiens cDNA FLJ45482 fis, clone BRTHA2001953	NA	230312_at
TNFAIP6	4.89	tumor necrosis factor, alpha-induced protein 6	2q24.1	206026_s_at
NA	4.81	NA	NA	211161_s_at
GAD1	4.77	glutamate decarboxylase 1 (brain, 67kDa)	2q31	205278_at
SULF1	4.73	sulfatase 1	8q13.2	212353_at
DKFZp434C0631	4.7	hypothetical protein DKFZp434C0631	12p11.22	228245_s_at
PIR51	4.69	RAD51-interacting protein	12p13.2-p13.1	204146_at
NID	4.69	nidogen (enactin)	1q43	202007_at
TOPK	4.66	T-LAK cell-originated protein kinase	8p21.2	219148_at
TYMS	4.65	thymidylate synthetase	18p11.32	202589_at
COL5A2	4.59	collagen, type V, alpha 2	2q14-q32	221729_at
COL4A2	4.58	collagen, type IV, alpha 2	13q34	211964_at
GZMB	4.53	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	14q11.2	210164_at
CCNE2	4.52	cyclin E2	8q22.1	205034_at
NA	4.51	Homo sapiens transcribed sequences	NA	238852_at
SYNPO2	4.45	synaptopodin 2	4q27	225895_at
COL3A1	4.45	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	2q31	215076_s_at
CCL2	4.39	chemokine (C-C motif) ligand 2	17q11.2-q21.1	216598_s_at
PRO2000	4.22	PRO2000 protein	8q24.13	222740_at
ANAPC7	4.19	anaphase-promoting complex subunit 7	12q13.12	204709_s_at
CDCA1	4.17	cell division cycle associated 1	1q23.2	223381_at
NA	4.1	Human full-length cDNA 5-PRIME end of clone CS0DK007YB08 of HeLa cells of H. sapiens	NA	242881_x_at
PMCH	4.09	pro-melanin-concentrating hormone	12q23-q24	227928_at
MAD2L1	4.06	MAD2 mitotic arrest deficient-like 1 (yeast)	4q27	203362_s_at
NA	4.01	Homo sapiens cDNA FLJ11381 fis, clone HEMBA1000501.	NA	227350_at
PMAIP1	3.95	phorbol-12-myristate-13-acetate-induced protein 1	18q21.32	204286_s_at
HEC	3.91	highly expressed in cancer, rich in leucine heptad repeats	18p11.31	204162_at
NPL	3.88	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	1q25	240440_at
ZNF367	3.85	zinc finger protein 367	9q22	229551_x_at
COL3A1	3.83	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	2q31	201852_x_at
CENPF	3.82	centromere protein F, 350/400ka (mitosin)	1q32-q41	209172_s_at
C20orf42	3.81	chromosome 20 open reading frame 42	20p12.3	60474_at
LAMB1	3.79	laminin, beta 1 /// laminin, beta 1	7q22 /// 7q22	211651_s_at
KIAA0186	3.76	KIAA0186 gene product	20p11.21	206102_at
BUB1B	3.76	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	15q15	203755_at
COL8A1	3.75	collagen, type VIII, alpha 1	3q12.3	226237_at
TOP2A	3.75	topoisomerase (DNA) II alpha 170kDa	17q21-q22	201292_at
C6orf141	3.73	chromosome 6 open reading frame 141	6p12.3	1552575_a_at
C10orf3	3.73	chromosome 10 open reading frame 3	10q23.33	218542_at
ANLN	3.7	anillin, actin binding protein (scraps homolog, Drosophila)	7p15-p14	222608_s_at
BRIP1	3.63	BRCA1 interacting protein C-terminal helicase 1	17q22-q24	235609_at
SPARC	3.61	secreted protein, acidic, cysteine-rich (osteonectin)	5q31.3-q32	200665_s_at
ADAM23	3.59	a disintegrin and metalloproteinase domain 23	2q33	244463_at
XTP1	3.56	HBxAg transactivated protein 1	5q12.1	226980_at
ATP11C	3.55	ATPase, Class VI, type 11C	Xq27.1	226785_at
COL5A2	3.52	collagen, type V, alpha 2	2q14-q32	221730_at
NA	3.5	Homo sapiens cDNA FLJ11397 fis, clone HEMBA1000622.	NA	232797_at
HCAP-G	3.5	chromosome condensation protein G	4p16-p15	218662_s_at
NA	3.43	Homo sapiens transcribed sequences	NA	236251_at
KIAA0286	3.43	KIAA0286 protein	12q13.2	212621_at
STAR	3.43	steroidogenic acute regulatory protein	8p11.2	204548_at
KIAA0101	3.42	KIAA0101 gene product	15q22.1	202503_s_at
CSPG2	3.41	chondroitin sulfate proteoglycan 2 (versican)	5q14.3	204619_s_at
CALD1	3.4	caldesmon 1	7q33	212077_at
PRO2000	3.39	PRO2000 protein	8q24.13	228401_at
FLJ14813	3.38	hypothetical protein FLJ14813	10p12.1	228468_at
KLIP1	3.38	KSHV latent nuclear antigen interacting protein 1	4q35.1	229305_at
LOC147463	3.37	hypothetical protein LOC147463	18q11.2	238332_at
KIF11	3.37	kinesin family member 11	10q24.1	204444_at
NUSAP1	3.34	nucleolar and spindle associated protein 1	15q14	218039_at
MCM8	3.32	MCM8 minichromosome maintenance deficient 8 (S. cerevisiae)	20p12.3	224320_s_at
RRM2	3.31	ribonucleotide reductase M2 polypeptide	2p25-p24	201890_at
HELLS	3.31	helicase, lymphoid-specific	10q24.2	242890_at
CSPG2	3.29	chondroitin sulfate proteoglycan 2 (versican)	5q14.3	221731_x_at
TRAG3	3.26	taxol resistance associated gene 3	Xq28	220445_s_at
FZD7	3.25	frizzled homolog 7 (Drosophila)	2q33	203706_s_at
NFE2L3	3.25	nuclear factor (erythroid-derived 2)-like 3	7p15-p14	204702_s_at
FLJ11029	3.25	hypothetical protein FLJ11029	17q23.2	228273_at
CALD1	3.24	caldesmon 1	7q33	201617_x_at
CDC2	3.24	cell division cycle 2, G1 to S and G2 to M	10q21.1	203213_at
KLIP1	3.24	KSHV latent nuclear antigen interacting protein 1	4q35.1	218883_s_at
HELLS	3.21	helicase, lymphoid-specific	10q24.2	220085_at
NA	3.2	Homo sapiens transcribed sequences	NA	243299_at
ADAM22	3.19	a disintegrin and metalloproteinase domain 22	7q21	213411_at
PAPSS2	3.17	3-phosphoadenosine 5-phosphosulfate synthase 2	10q23-q24	203060_s_at
HCAP-G	3.15	chromosome condensation protein G	4p16-p15	218663_at
IQGAP3	3.14	IQ motif containing GTPase activating protein 3	1q23.1	229490_s_at
C20orf42	3.13	chromosome 20 open reading frame 42	20p12.3	218796_at
ANGPT2	3.12	angiopoietin 2	8p23.1	205572_at
MOX2	3.11	antigen identified by monoclonal antibody MRC OX-2	3q12-q13	209583_s_at
NEDD1	3.11	neural precursor cell expressed, developmentally down-regulated 1	12q23.1	234984_at
LOC157570	3.1	hypothetical protein LOC157570	8p21.1	235178_x_at
FMNL2	3.09	formin-like 2	2q24.1	226184_at
PAPSS2	3.07	3-phosphoadenosine 5-phosphosulfate synthase 2	10q23-q24	203058_s_at
RCN1	3.07	reticulocalbin 1, EF-hand calcium binding domain	11p13	201063_at
GMNN	3.07	geminin, DNA replication inhibitor	6p22.1	218350_s_at
NEDD1	3.06	neural precursor cell expressed, developmentally down-regulated 1	12q23.1	1552417_a_at
COL27A1	3.06	collagen, type XXVII, alpha 1	9q33.1	225288_at
ECT2	3.05	epithelial cell transforming sequence 2 oncogene	3q26.1-q26.2	219787_s_at
TMPO	3.03	thymopoietin	12q22	203432_at
SLC39A14	3.03	solute carrier family 39 (zinc transporter), member 14	8p21.2	212110_at
NA	3.02	Homo sapiens cDNA clone IMAGE:5294683, partial cds	NA	1558714_at
SOCS1	3.02	suppressor of cytokine signaling 1	16p13.13	210001_s_at
PRC1	3.01	protein regulator of cytokinesis 1	15q26.1	218009_s_at
GALNT11	3.01	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	7q34-q36	219013_at
PLA2G7	3	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	6p21.2-p12	206214_at
FIGNL1	2.98	fidgetin-like 1	7p12.2	222843_at
FBN1	2.98	fibrillin 1 (Marfan syndrome)	15q21.1	202766_s_at
MELK	2.97	maternal embryonic leucine zipper kinase	9p13.1	204825_at
GJA1	2.97	gap junction protein, alpha 1, 43kDa (connexin 43)	6q21-q23.2	201667_at
PLAU	2.97	plasminogen activator, urokinase	10q24	205479_s_at
FANCL	2.96	Fanconi anemia, complementation group L	2p16.1	227854_at
GLS	2.96	glutaminase	2q32-q34	221510_s_at
NA	2.95	Homo sapiens transcribed sequences	NA	229242_at
NEDD1	2.94	neural precursor cell expressed, developmentally down-regulated 1	12q23.1	1560116_a_at
DNA2L	2.93	DNA2 DNA replication helicase 2-like (yeast)	10q21.3-q22.1	213647_at
CSPG2	2.92	chondroitin sulfate proteoglycan 2 (versican)	5q14.3	204620_s_at
COL15A1	2.92	collagen, type XV, alpha 1	9q21-q22	203477_at
NA	2.91	Homo sapiens cDNA FLJ12909 fis, clone NT2RP2004400.	NA	230650_at
PRKDC	2.91	protein kinase, DNA-activated, catalytic polypeptide	8q11	208694_at
HSXIAPAF1	2.91	XIAP associated factor-1	17p13.2	228617_at
FLJ10493	2.9	hypothetical protein FLJ10493	9q31.3	218772_x_at
NA	2.88	Homo sapiens cDNA clone IMAGE:6272440, partial cds	NA	227099_s_at
CRLF3	2.87	cytokine receptor-like factor 3	17q11.2	235803_at
KNSL7	2.87	kinesin-like 7	3p21.32	219306_at
ZWINT	2.87	ZW10 interactor	10q21-q22	204026_s_at
B4GALT6	2.86	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	18q11	235333_at
GATA6	2.86	GATA binding protein 6	18q11.1-q11.2	210002_at
SYNPO2	2.86	synaptopodin 2	4q27	225720_at
CENPF	2.85	centromere protein F, 350/400ka (mitosin)	1q32-q41	207828_s_at
RACGAP1	2.85	Rac GTPase activating protein 1	12q13.12	222077_s_at
ARHGAP8	2.82	Rho GTPase activating protein 8	22q13.31	205980_s_at
CHI3L1	2.81	chitinase 3-like 1 (cartilage glycoprotein-39)	1q32.1	209396_s_at
MGC5528	2.81	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	8q24.12	219000_s_at
CALD1	2.8	caldesmon 1	7q33	201616_s_at
GNLY	2.8	granulysin	2p12-q11	37145_at
FLJ12747	2.78	novel C3HC4 type Zinc finger (ring finger)	22q12.1	226360_at
GLS	2.78	glutaminase	2q32-q34	223079_s_at
FKSG14	2.78	leucine zipper protein FKSG14	5p15.2-q12.3	222848_at
SOX4	2.77	SRY (sex determining region Y)-box 4	6p22.3	201417_at
KCNMA1	2.77	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	10q22-q23	221584_s_at
APOC1	2.76	apolipoprotein C-I	19q13.2	204416_x_at
