Probe Set	Gene Title	Gene Symbol	Chromosomal Location	Relative Expression Before AzadC	Relative Expression After AzadC
202687_s_at	TNF-related apoptosis-inducing ligand	TRAIL	3q26	AA	AA
202688_at				1	2.1
231775_at	Death receptor 4	DR4	8p21	N.a.	N.a.
209294_x_at	Death receptor 5	DR5	8p22-p21	1	1.1
209295_at				1	1.4
210405_x_at				1	1.4
210484_s_at	Decoy receptor 1	DcR1	8p22-p21	AA	PA
206222_at				AA	PA
211163_s_at				AA	AA
210654_at	Decoy receptor 2	DcR2	8p21	PA	PA
204932_at	Osteoprotegerin	OPG	8q24	AA	AA
204933_s_at				AA	AA
207686_s_at	Caspase 8	CASP8	2q33-q34	AA	AA
213373_s_at				1	1.4
202535_at	Fas-associated via death domain	FADD	11q13.3	1	1.8
208485_x_at	CASP8 and FADD-like apoptosis regulator	CFLAR, FLIP	2q33-q34	1	1
211316_x_at				1	1.3
211317_s_at				AA	PA
211862_x_at				1	1
1729_at	TNFRSF1A-associated via death domain	TRADD	16q22	1	2.1
205641_s_at				AA	AA
204493_at	BH3 interacting domain death agonist	BID	22q11.1	1	0.7
211725_s_at				1	1
204413_at	TNF receptor-associated factor 2	TRAF2	9q34	MA	AA
203684_s_at	B-cell CLL/lymphoma 2	BCL2	18q21.3	AA	AA
203685_at				PP	MA
207004_at				PM	AA
207005_s_at				AA	AA
202763_at	Caspase 3	CASP3	4q34	1	1
209790_s_at	Caspase 6	CASP6	4q25	1	0.9
207181_s_at	Caspase 7	CASP7	10q25	1	1.2
