Probe ID	Gene symbol	Gene title
1598_g_at	GAS6	growth arrest-specific 6
200917_s_at	SRPR	signal recognition particle receptor (’docking protein’)
201835_s_at	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit
202052_s_at	RAI14	retinoic acid induced 14
202619_s_at	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2
202620_s_at	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2
202723_s_at	FOXO1	forkhead box O1
202848_s_at	GRK6	G protein-coupled receptor kinase 6
203508_at	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B
204430_s_at	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5
204629_at	PARVB	parvin, beta
205868_s_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)
207495_at	RAB28	RAB28, member RAS oncogene family
208424_s_at	CIAPIN1	cytokine induced apoptosis inhibitor 1
210405_x_at	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b
210495_x_at	FN1	fibronectin 1
210809_s_at	POSTN	periostin, osteoblast specific factor
211251_x_at	NFYC	nuclear transcription factor Y, gamma
211628_x_at	FTHP1	ferritin, heavy polypeptide pseudogene 1
211719_x_at	FN1	fibronectin 1
212113_at	LOC552889	hypothetical LOC552889
212437_at	CENPB	centromere protein B, 80kDa
212464_s_at	FN1	fibronectin 1
212656_at	TSFM	Ts translation elongation factor, mitochondrial
212775_at	OBSL1	obscurin-like 1
213256_at	3-Mar	membrane-associated ring finger (C3HC4) 3
213446_s_at	IQGAP1	IQ motif containing GTPase activating protein 1
213799_s_at	PTPRA	protein tyrosine phosphatase, receptor type, A
214048_at	MBD4	methyl-CpG binding domain protein 4
214279_s_at	NDRG2	NDRG family member 2
214827_at	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)
215127_s_at	RBMS1	RNA binding motif, single stranded interacting protein 1
215210_s_at	DLST /// DLSTP	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
216205_s_at	MFN2	mitofusin 2
216442_x_at	FN1	fibronectin 1
217625_x_at	NA	Homo sapiens, clone IMAGE:3851018, mRNA
217818_s_at	ARPC4	actin related protein 2/3 complex, subunit 4, 20kDa
218382_s_at	U2AF2	U2 small nuclear RNA auxiliary factor 2
218433_at	PANK3	pantothenate kinase 3
219408_at	PRMT7	protein arginine methyltransferase 7
219736_at	TRIM36	tripartite motif-containing 36
219878_s_at	KLF13	Kruppel-like factor 13
221463_at	CCL24	chemokine (C-C motif) ligand 24
221518_s_at	USP47	ubiquitin specific peptidase 47
221899_at	PFAAP5	Phosphonoformate immuno-associated protein 5
221926_s_at	IL17RC	interleukin 17 receptor C
222020_s_at	HNT	neurotrimin
38340_at	HIP1R /// LOC728014	huntingtin interacting protein 1 related /// similar to huntingtin interacting protein 1 related
39835_at	SBF1	SET binding factor 1
47571_at	ZNF236	zinc finger protein 236
