Description	Genbank accession no.	Gene symbol	Map location
Ubiquitin-specific protease 32	AA022783	USP32	17q23.2
CHK1 checkpoint homologue (Schizosaccharomyces pombe)	XM_006254	CHEK1	11q24-q24
Ras homologue gene family, member Q	AI829684	PIGF	2p21
Twist homologue 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome; Drosophila)	X91662	TWIST1	7p21.2
Cell division cycle 2–like 2 (PITSLRE proteins)	BE268611	CDC2L2	1p36.3
Sec1 family domain containing 1	AF319958	SCFD1	14q12
Zinc finger protein 184 (Kruppel-like)	BG254958	ZNF184	6p21.3
Matrin 3	BG179511	MATR3	5q31.2
Thymopoietin	U09088	TMPO	12q22
LIM domain-only 6	AI017508	LMO6	Xp11.23-p11.22
Ligase I, DNA, ATP dependent	XM_009118	LIG1	19q13.2-q13.3
SWI/SNF–related, matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 1	NM_003069	SMARCA1	Xq25
RNA-binding motif protein 25	BG260998	RNPC7	14q24.3
CDC-like kinase 3	BE908195	CLK3	15q24
Ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homologue, yeast)	AI553806	UBE2D2	5q31.2
Hydroxyacyl-CoA dehydrogenase, type II	AU154299	HADH2	Xp11.2
Adenosine monophosphate deaminase 2 (isoform L)	BE778615	AMPD2	1p13.3
Interleukin-6 signal transducer (gp130, oncostatin M receptor)	NM_002184	IL6ST	5q11
Chromosome 6 open reading frame 68	BG289236	C6orf68	6q22.1
Dimethylarginine dimethylaminohydrolase 1	AL078459	DDAH1	1p22
Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	BE747410	SDHB	1p36.1-p35
Transmembrane protein 1	XM_009794	TMEM1	21q22.3
Programmed cell death 5	AA452724	PDCD5	19q12-q13.1
Minichromosome maintenance deficient 2, mitotin (Saccharomyces cerevisiae)	BE250461	MCM2	3q21
GDP dissociation inhibitor 1	BG395127	GDI1	Xq28
SMC4 structural maintenance of chromosomes 4–like 1 (yeast)	BF239180	SMC4L1	3q26.1
Chromosome 10 open reading frame 7	BE792735	C10orf7	10p13
CDC20 cell division cycle 20 homologue (S. cerevisiae)	BG256659	CDC20	1p34.1
PTD008 protein	BG178791	PTD008	19p13.13
Praja 2, RING-H2 motif containing	BF529933	PJA2	5q21.3
3-Oxoacid CoA transferase 1	NM_000436	OXCT	5p13.1
SNRPN upstream reading frame	AL514750	SNRPN	15q11.2
Centromere protein A, 17 kDa	AL555786	CENPA	2p24-p21
Heat shock 70-kDa protein 4	BE742483	HSPA4	5q31.1-q31.2
SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily e, member 1	BE778256	SMARCE1	17q21.2
NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15 kDa (NADH-coenzyme Q reductase)	BF791786	NDUFS5	1p34.2-p33
Ubiquitin-conjugating enzyme E2A (RAD6 homologue)	AL545489	UBE2A	Xq24-q25
Fetal Alzheimer antigen	NM_004459	FALZ	17q24.3
Mature T-cell proliferation 1	AL536910	MTCP1	Xq28
RNA-binding motif protein, X-linked	BG167309	RBMX	Xq26
Tubulin tyrosine ligase	BE738204	TTL	2q13
Transcribed locus, moderately similar to XP_509796.1 similar to CGI-145 protein (Pan troglodytes)	AI086307	AI086307	13
Ephrin B2	AI127370	EFNB2	13q33
Triggering receptor expressed on myeloid cells 2	AF213457	TREM2	6p21.1
Membrane-spanning 4 domains, subfamily A, member 3 (hematopoietic cell-specific)	L35848	MS4A3	11q12
