Gene Symbol	GenBank ID	Functional Category
1190001G19Rik	NM_026875	Defense – Immune – 38 Genes
A630096C01Rik	BB629669	Defense – Immune – 38 Genes
AI789751	AI789751	Defense – Immune – 38 Genes
B2m	NM_009735	Defense – Immune – 38 Genes
BB219290	NM_145141	Defense – Immune – 38 Genes
Btla-interim	BM240873	Defense – Immune – 38 Genes
Cd14	NM_009841	Defense – Immune – 38 Genes
Cd79b	NM_008339	Defense – Immune – 38 Genes
Cd86	BC013807	Defense – Immune – 38 Genes
Cxcl9	NM_008599	Defense – Immune – 38 Genes
Fcgr3	NM_010188	Defense – Immune – 38 Genes
Gp49a	NM_008147	Defense – Immune – 38 Genes
H2-Aa	NM_023145	Defense – Immune – 38 Genes
H2-Ab1	NM_010379	Defense – Immune – 38 Genes
H2-DMa	NM_010386	Defense – Immune – 38 Genes
H2-Eb1	NM_010382	Defense – Immune – 38 Genes
H2-K	U47328	Defense – Immune – 38 Genes
H2-L	M34961	Defense – Immune – 38 Genes
H2-Oa	NM_008206	Defense – Immune – 38 Genes
H2-Ob	NM_010389	Defense – Immune – 38 Genes
H2-Q7	NM_010394	Defense – Immune – 38 Genes
Igh-4	L36938	Defense – Immune – 38 Genes
Igj	BC006026	Defense – Immune – 38 Genes
Igl	AK008551	Defense – Immune – 38 Genes
Igsf7	AF251705	Defense – Immune – 38 Genes
Lst1	AF000427	Defense – Immune – 38 Genes
Ly86	NM_010745	Defense – Immune – 38 Genes
Mpa2	NM_008620	Defense – Immune – 38 Genes
Mpeg1	L20315	Defense – Immune – 38 Genes
Ms4a1	NM_007641	Defense – Immune – 38 Genes
Ms4a4b	NM_021718	Defense – Immune – 38 Genes
Ms4a6c	NM_028595	Defense – Immune – 38 Genes
Sema4d	NM_013660	Defense – Immune – 38 Genes
Tactile-pending	NM_032465	Defense – Immune – 38 Genes
Tcrd	AI530748	Defense – Immune – 38 Genes
Tcrg	NM_011558	Defense – Immune – 38 Genes
Tlr1	NM_030682	Defense – Immune – 38 Genes
Trygn16	M97158	Defense – Immune – 38 Genes
Acp5	AA002801	Lysosomes – 6 Genes
Ctsl	NM_009984	Lysosomes – 6 Genes
Ctss	NM_021281	Lysosomes – 6 Genes
Ctsz	NM_022325	Lysosomes – 6 Genes
Man1a	NM_008548	Lysosomes – 6 Genes
Man2b1	NM_010764	Lysosomes – 6 Genes
5830443L24Rik	BC031475	Defense – 21 Genes
Arl6ip2	BC006934	Defense – 21 Genes
Bst1	NM_009763	Defense – 21 Genes
C1qg	NM_007574	Defense – 21 Genes
C1s	NM_144938	Defense – 21 Genes
Camp	NM_009921	Defense – 21 Genes
Daf1	NM_010016	Defense – 21 Genes
Gbp2	NM_010260	Defense – 21 Genes
Gzmb	NM_013542	Defense – 21 Genes
Klra24-pending	AA288274	Defense – 21 Genes
Klrd1	NM_010654	Defense – 21 Genes
Ncf2	NM_010877	Defense – 21 Genes
Ncf4	NM_008677	Defense – 21 Genes
Oas2	NM_145227	Defense – 21 Genes
Oasl2	NM_011854	Defense – 21 Genes
Ocil-pending	NM_053109	Defense – 21 Genes
Prg	NM_011157	Defense – 21 Genes
Tnfrsf13b	AK004668	Defense – 21 Genes
Tnfrsf4	NM_011659	Defense – 21 Genes
Tnfrsf9	NM_011612	Defense – 21 Genes
Zbp1	AA175243	Defense – 21 Genes
5630400E15Rik	AK017464	Apoptosis – 14 Genes
AI447904	BF179348	Apoptosis – 14 Genes
Axud1	BC029720	Apoptosis – 14 Genes
Biklk	BC010510	Apoptosis – 14 Genes
Birc2	NM_007464	Apoptosis – 14 Genes
Casp4	NM_007609	Apoptosis – 14 Genes
Dnase1l3	NM_007870	Apoptosis – 14 Genes
Ian4	NM_031247	Apoptosis – 14 Genes
Ifi203	AA174447	Apoptosis – 14 Genes
Ripk3	NM_019955	Apoptosis – 14 Genes
