Symbol	Gene name	Accession2	Ratio3	n4	p-value	Expression
BTG1	B-cell translocation gene 1, anti-proliferative	N70463	2,39	4	0,009	Up-regulated
ATF4	Activating transcription factor 4 (tax-responsive enhancer element B67)	AA600217	2,16	4	0,027	Up-regulated
S100A3	S100 calcium-binding protein A3	AA055242	1,76	4	0,045	Up-regulated
GARS	glycyl-tRNA synthetase	AA629909	1,67	4	0,002	Up-regulated
RCN2	Reticulocalbin 2, EF-hand calcium binding domain	AA598676	1,63	4	0,004	Up-regulated
TOP1	Topoisomerase (DNA) I	AA232856	1,63	4	0,021	Up-regulated
IL8	Interleukin 8	AA102526	1,6	4	0,01	Up-regulated
CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	N72115	1,57	4	0,012	Up-regulated
LMO7	LIM domain only 7	AA005112	1,57	4	0,035	Up-regulated
RRM2	Ribonucleotide reductase M2 polypeptide	AA187351	1,47	4	0,009	Up-regulated
VDAC1	voltage-dependent anion channel 1	AA044059	1,46	4	0,032	Up-regulated
SFRS11	Splicing factor, arginine/serine-rich 11	H56944	1,46	4	0,007	Up-regulated
SFRS3	Splicing factor, arginine/serine-rich 3	AA598400	1,45	4	0,025	Up-regulated
SATB1	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	AA022561	1,44	4	0,036	Up-regulated
EGR3	early growth response 3	R39111	1,42	4	0,013	Up-regulated
MAPK4	Mitogen-activated protein kinase 4	AA401035	1,42	3	0,001	Up-regulated
ACTG2	actin, gamma 2, smooth muscle, enteric	T60048	1,42	4	0,027	Up-regulated
DSP	Desmoplakin (DPI, DPII)	H90899	1,42	4	0,016	Up-regulated
YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	N21624	1,41	4	0,012	Up-regulated
LOC54499	Putative membrane protein	T98352	1,39	4	0,05	Up-regulated
ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	H61758	1,39	4	0,007	Up-regulated
CCNE1	cyclin E1	T54121	1,38	4	0,028	Up-regulated
TMSB4X	Thymosin, beta 4, X chromosome	AA634103	1,37	4	0,011	Up-regulated
CDC37	CDC37 (cell division cycle 37, S. cerevisiae, homolog)	AA458870	1,36	4	0,033	Up-regulated
NCOA3	nuclear receptor coactivator 3	AA156793	1,36	4	0,025	Up-regulated
MET	met proto-oncogene (hepatocyte growth factor receptor)	AA410591	1,35	4	0,036	Up-regulated
RPS16	Ribosomal protein S16	AA668301	1,35	4	0,007	Up-regulated
CDC10	CDC10 (cell division cycle 10, S. cerevisiae, homolog)	AA633993	1,35	4	0,041	Up-regulated
PCCA	Propionyl Coenzyme A carboxylase, alpha polypeptide	AA608575	1,34	4	0,01	Up-regulated
KRT18	keratin 18	AA664179	1,34	4	0,022	Up-regulated
CLIC1	Chloride intracellular channel 1	AA486518	1,33	4	0,031	Up-regulated
CIN85	c-Cbl-interacting protein	AA989257	1,32	4	0,01	Up-regulated
EDR2	early development regulator 2 (homolog of polyhomeotic 2)	AA598840	1,32	4	0,039	Up-regulated
MGC8471	Hypothetical protein MGC8471	AA447502	1,32	4	0,032	Up-regulated
TEAD4	TEA domain family member 4	W74602	1,31	4	0,009	Up-regulated
ETR101	Immediate early protein	AA496359	1,31	4	0,02	Up-regulated
HNRPDL	Heterogeneous nuclear ribonucleoprotein D-like	AA598578	1,31	4	0,014	Up-regulated
HSAPOMUCN	Apomucin	AA159577	1,31	3	0,01	Up-regulated
COPEB	core promoter element binding protein	AA055585	1,3	4	0,024	Up-regulated
PTE1	Peroxisomal acyl-CoA thioesterase	AA447824	1,29	4	0,005	Up-regulated
EDN1	Endothelin 1	H11003	1,29	8	0,001	Up-regulated
LTA	Lymphotoxin alpha (TNF superfamily, member 1)	W72329	1,29	4	0,043	Up-regulated
ADORA2B	Adenosine A2b receptor	AA055350	1,28	4	0,023	Up-regulated
FOSB	FBJ murine osteosarcoma viral oncogene homolog B	T62179	1,27	4	0,02	Up-regulated
BMP4	bone morphogenetic protein 4	AA463225	1,25	4	0,001	Up-regulated
TCF20	Transcription factor 20 (AR1)	AA857407	1,25	4	0,017	Up-regulated
IL2RB	Interleukin 2 receptor, beta	AA057156	0,44	3	0,014	Down-regulated
BDNF	brain-derived neurotrophic factor	AA262988	0,53	4	0,016	Down-regulated
PFKM	Phosphofructokinase, muscle	AA099169	0,59	4	0,003	Down-regulated
CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	AA136983	0,6	4	0,01	Down-regulated
TIMP3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	AA099153	0,61	3	0,002	Down-regulated
UVRAG	UV radiation resistance associated gene	AA490771	0,63	4	0,019	Down-regulated
CD58	CD58 antigen, (lymphocyte function-associated antigen 3)	AA136359	0,64	4	0,002	Down-regulated
LAMA5	laminin, alpha 5	AA459519	0,64	4	0,002	Down-regulated
LAMB2	laminin, beta 2 (laminin S)	AA156802	0,64	4	0,017	Down-regulated
ELF2	E74-like factor 2 (ets domain transcription factor)	AA453714	0,65	4	0,045	Down-regulated
CCR1	Chemokine (C-C motif) receptor 1	AA036881	0,65	4	0,034	Down-regulated
GADD34	growth arrest and DNA-damage-inducible 34	AA460168	0,65	4	0,023	Down-regulated
SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	AA599116	0,65	4	0,01	Down-regulated
TRAF6	TNF receptor-associated factor 6	AA456692	0,66	3	0,047	Down-regulated
D123	D123 gene product	AA448289	0,67	4	0,019	Down-regulated
WT1	Wilms tumor 1	AA130187	0,68	4	0,033	Down-regulated
PLCD1	Phospholipase C, delta 1	R55490	0,69	4	0,005	Down-regulated
TCEB1L	Transcription elongation factor B (SIII), polypeptide 1-like	AA136533	0,7	4	0,004	Down-regulated
PIM1	pim-1 oncogene	AA453663	0,7	4	0,035	Down-regulated
CLECSF2	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced)	AA417921	0,72	4	0,018	Down-regulated
CPA1	Carboxypeptidase A1 (pancreatic)	AA845178	0,73	4	0,042	Down-regulated
DAXX	death-associated protein 6	N73287	0,73	4	0,014	Down-regulated
LTBP2	latent transforming growth factor beta binding protein 2	AA424629	0,74	4	0,041	Down-regulated
RBM5	RNA binding motif protein 5	W73892	0,74	4	0,047	Down-regulated
LOC51027	CGI-143 protein	AA399245	0,74	4	0,027	Down-regulated
ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	H07926	0,74	4	0,029	Down-regulated
PIK3C3	Phosphoinositide-3-kinase, class 3	AA455605	0,75	4	0,047	Down-regulated
CL683	Hypothetical protein	AA418750	0,75	4	0,028	Down-regulated
KIAA0128	KIAA0128 protein; septin 2	R76772	0,76	4	0,026	Down-regulated
SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	W44701	0,76	4	0,011	Down-regulated
TGM2	Transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	R97066	0,76	4	0,034	Down-regulated
TRIP8	thyroid hormone receptor interactor 8	AA425650	0,77	4	0,04	Down-regulated
NOH61	Putative nucleolar RNA helicase	AA461476	0,77	4	0,004	Down-regulated
TGFBR2	Transforming growth factor, beta receptor II (70-80kD)	AA487034	0,77	4	0,034	Down-regulated
SUPT5H	Suppressor of Ty (S.cerevisiae) 5 homolog	R21614	0,77	4	0,041	Down-regulated
PAK1	p21/Cdc42/Rac1-activated kinase 1 (yeast Ste20-related)	AA890663	0,77	4	0,009	Down-regulated
ZNF83	zinc finger protein 83 (HPF1)	AA043743	0,77	4	0,024	Down-regulated
FUBP1	far upstream element (FUSE) binding protein 1	AA676848	0,77	4	0,04	Down-regulated
EPRS	Glutamyl-prolyl-tRNA synthetase	AA599158	0,77	4	0,016	Down-regulated
SPINK1	serine protease inhibitor, Kazal type 1	AA845156	0,77	4	0,043	Down-regulated
UQCRFS1	Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	AA448184	0,78	4	0,005	Down-regulated
IFI35	Interferon-induced protein 35	AA827287	0,78	4	0,014	Down-regulated
ADAM17	a disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme)	AA878951	0,78	4	0,033	Down-regulated
CGI-204	CGI-204 protein	AA410394	0,78	4	0,023	Down-regulated
TSPAN-5	Tetraspan 5	AA464601	0,78	4	0,028	Down-regulated
NTKL	N-terminal kinase-like	AA447782	0,78	4	0,001	Down-regulated
SP1	Sp1 transcription factor	N34776	0,79	4	0,036	Down-regulated
CLIC3	Chloride intracellular channel 3	N91135	0,79	4	0,012	Down-regulated
PIR	Pirin	H69334	0,8	4	0,046	Down-regulated
GPR30	G protein-coupled receptor 30	AA810225	0,8	4	0,038	Down-regulated
