GenBank no.	Gene symbol	Gene name	Fold change	P
NM_001008540	CXCR4	Homo sapiens chemokine (C-X-C motif) receptor 4	123.5	2.08E-05
NM_012342	BAMBI	H. sapiens BMP and activin membrane–bound inhibitor homologue (Xenopus laevis)	99.8	5.78E-05
NM_001001555	GRB10	H. sapiens growth factor receptor-bound protein 10	96.1	8.96E-05
NM_020826	SYT13	H. sapiens synaptotagmin XIII	93.7	1.08E-04
NM_173216	ST6GAL1	H. sapiens ST6 ?-galactosamide ?-2,6-sialyltranferase 1	53.5	1.53E-06
NM_176813	AGR3	H. sapiens anterior gradient homologue 3 (X. laevis)	40.9	2.67E-05
NM_021784	FOXA2	H. sapiens forkhead box A2	37.1	1.38E-04
NM_006615	CAPN9	H. sapiens calpain 9	34.4	7.71E-05
NM_014587	SOX8	H. sapiens SRY (sex determining region Y) box 8	34.4	7.31E-06
NM_152360	ZNF573	H. sapiens zinc finger protein 573	27.9	1.78E-03
NM_014141	CNTNAP2	H. sapiens contactin associated protein-like 2	24.1	1.65E-04
NM_133637	DQX1	H. sapiens DEAQ box polypeptide 1 (RNA-dependent ATPase)	20	9.71E-04
NM_003430	ZNF91	H. sapiens zinc finger protein 91	18.9	1.41E-03
NM_000933	PLCB4	H. sapiens phospholipase C, ?4	15.2	2.90E-03
NM_000597	IGFBP2	H. sapiens insulin-like growth factor binding protein 2	15.1	1.48E-04
NM_000790	DDC	H. sapiens dopa decarboxylase	14.5	1.81E-04
NM_174936	PCSK9	H. sapiens proprotein convertase subtilisin/kexin type 9	14.5	2.65E-03
Z34282	MUC5AC	H. sapiens (MAR11) MUC5AC	14.3	7.91E-05
NM_014553	TFCP2L1	H. sapiens transcription factor CP2-like 1	13.9	7.01E-03
NM_014867	KBTBD11	H. sapiens kelch repeat and BTB (POZ) domain containing 11	13.6	2.41E-05
NM_032044	REG4	H. sapiens regenerating islet-derived family, member 4	13.4	2.86E-04
NM_001080430	TOX3	H. sapiens TOX high mobility group box family member 3	12.9	6.18E-04
NM_001958	EEF1A2	H. sapiens eukaryotic translation elongation factor 1?2	12.4	5.58E-03
NM_001448	GPC4	H. sapiens glypican 4	12.3	9.80E-05
NM_000371	TTR	H. sapiens transthyretin	12	6.57E-04
NM_025163	PIGZ	H. sapiens phosphatidylinositol glycan anchor biosynthesis, class Z	11.9	1.21E-05
NM_133374	ZNF618	H. sapiens zinc finger protein 618	11.8	6.98E-04
NM_006235	POU2AF1	H. sapiens POU domain, class 2, associating factor 1	11.6	4.87E-03
NM_006202	PDE4A	H. sapiens phosphodiesterase 4A, cyclic AMP–specific	11.4	7.32E-05
NM_014631	SH3PXD2A	H. sapiens SH3 and PX domains 2A	10.9	2.28E-03
NM_015544	TMEM98	H. sapiens transmembrane protein 98	10.5	3.88E-03
NM_018689	KIAA1199	H. sapiens KIAA1199	10.5	1.68E-04
NM_001353	AKR1C1	H. sapiens aldo-keto reductase family 1, member C1	10.3	6.08E-04
NM_080881	DBN1	H. sapiens drebrin 1	10.3	4.31E-05
NM_001086	AADAC	H. sapiens arylacetamide deacetylase (esterase)	10.3	8.51E-04
NM_020452	ATP8B2	H. sapiens ATPase, Class I, type 8B, member 2	10.2	4.66E-04
NM_205863	PARD3B	H. sapiens par-3 partitioning defective 3 homologue B (C. elegans)	10.1	8.61E-03
NM_003741	CHRD	H. sapiens chordin	10	1.70E-04
