Genes	Gene ID	Left lobe ± S.E.M.	Right lobe ± S.E.M.	Ratio	Direction	P-value	Type
Apolipoprotein L, 2	APOL2	-0.415 ± 0.159	0.371 ± 0.116	1.72	Up	0.003	Lipid metabolism genes
Peroxisome proliferative activated receptor, alpha	PPARA	-1.631 ± 0.255	-0.876 ± 0.155	1.69	Up	0.039	Lipid metabolism genes
Phospholipase D2	PLD2	0.496 ± 0.139	1.031 ± 0.092	1.45	Up	0.011	Lipid metabolism genes
Prostaglandin E synthase 2	PTGES2	-1.025 ± 0.469	0.227 ± 0.100	2.38	Up	0.043	Lipid metabolism genes
3-Hydroxy-3-methylglutaryl-Coenzyme A synthase 1	HMGCS1	3.271 ± 0.202	2.650 ± 0.143	1.54	Down	0.038	Lipid metabolism genes
Acetyl-Coenzyme A acetyltransferase 2	ACAT2	2.862 ± 0.104	2.475 ± 0.107	1.31	Down	0.025	Lipid metabolism genes
ATP-binding cassette, subfamily A1	ABCA1	1.106 ± 0.083	0.730 ± 0.085	1.3	Down	0.009	Lipid metabolism genes
Carnitine O-octanoyltransferase	CROT	1.840 ± 0.127	1.276 ± 0.240	1.48	Down	0.046	Lipid metabolism genes
Enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	ECHS1	1.347 ± 0.127	0.298 ± 0.356	2.07	Down	0.009	Lipid metabolism genes
Fatty acid desaturase 2	FADS2	0.425 ± 0.203	-0.305 ± 0.265	1.66	Down	0.046	Lipid metabolism genes
Phosphatidylinositol glycan, class B	PIGB	0.408 ± 0.096	-0.427 ± 0.270	1.78	Down	0.007	Lipid metabolism genes
Phosphatidylinositol glycan, class F	PIGF	1.609 ± 0.125	1.154 ± 0.159	1.37	Down	0.041	Lipid metabolism genes
Platelet-activating factor acetylhydrolase, isoform Ib, alpha 45 kDa	PAFAH1B1	0.668 ± 0.106	-0.218 ± 0.230	1.85	Down	0.002	Lipid metabolism genes
Protein phosphatase 2, catalytic subunit, alpha	PPP2CA	2.052 ± 0.051	1.615 ± 0.083	1.35	Down	0	Lipid metabolism genes
Pyruvate carboxylase	PC	1.810 ± 0.119	1.289 ± 0.137	1.44	Down	0.014	Lipid metabolism genes
SET binding factor 1	SBF1	1.198 ± 0.077	0.816 ± 0.087	1.3	Down	0.007	Lipid metabolism genes
Lysophospholipase 3	LYPLA3	-0.506 ± 0.100	-1.340 ± 0.425	1.78	Down	0.049	Lipid Catabolism Genes
Phospholipase A2, group IVB	PLA2G4B	1.255 ± 0.107	0.881 ± 0.091	1.3	Down	0.026	Lipid Catabolism Genes
Phospholipase A2, group VI	PLA2G6	0.690 ± 0.132	0.172 ± 0.121	1.43	Down	0.016	Lipid Catabolism Genes
Phospholipase D2	PLD2	0.496 ± 0.139	1.031 ± 0.092	1.45	Up	0.011	Lipid Catabolism Genes
