Gene	Gene Description	Swiss Prot	Protein Bank	Function
EIF2AK3	Eukaryotic initiation factor 2a kinase 3	Q9NZJ5	NA	Cell signaling
PPEF2	Protein phosphatase EF hand 2	O14830	NA	Cell signaling
CPR8	Cell cycle progression 8 protein	NA	AAB69314.1	Cell signaling
DNAJC3	DnaJ (Hsp40) homologue subfamily C member 3 (protein kinase inhibitor p58)	NA	BAA74859.1	Cell signaling
PRKCZ	Protein kinase C~ isoform	Q05513	NA	Cell signaling
CDC2	Cell division cycle 2, cyclin-dependent protein kinase	P06493	NA	Cell signaling
SGKL	Serum/glucocorticoid regulated kinase-like	NA	AAF27051.2	Cell signaling
ZAP70	~-chain-associated 70 kDa protein	P43403	NA	Cell signaling
TOPK	PDZ-binding kinase	NA	BAA99576.1	Cell signaling
CDT1	DNA replication factor (double parked)	NA	AAG45181.1	Cell signaling
CNK	Cytokine inducible kinase	Q9H4B4	NA	Cell signaling
TRPS1	Trichorhinophalangeal syndrome	Q9UHF7	NA	Transcriptional regulation
TGIF	TG-interacting factor	Q15583	NA	Transcriptional regulation
ARNTL	Aryl hydrocarbon receptor nuclear translocator-like	NA	AAC24353.1	Transcriptional regulation
RELB	Reticuloendotheliosis viral (v-rel) oncogene related B	Q01201	NA	Transcriptional regulation
PREB	Prolactin regulatory element binding protein	Q9HCU5	NA	Transcriptional regulation
ELF3	E74 like factor 3	NA	AAB58075.1	Transcriptional regulation
ART3	ADP-ribosyltransferase 3	Q13508	NA	Enzymes
FUT1	Fucosyltransferase 1 [a(1,2) fucosyltransferase, galactoside 2-a-L-fucosyltransferase]	P19526	NA	Enzymes
NEU1	Neuraminidase 1 (lysosomal neuraminidase, sialidase 1)	Q99519	NA	Enzymes
GOT1	Soluble glutamate-oxaloacetate transaminase (cytosolic aspartate aminotransferase)	P17174	NA	Enzymes
ASNS	Asparagine synthetase	P08243	NA	Enzymes
GFPT1	Glutamine-fructose-6-phosphate transaminase 1	Q06210	NA	Enzymes
PCK2	Phosphoenolpyruvate carboxykinase 2	Q16822	NA	Enzymes
CBR3	Carbonyl reductase 3	O75828	NA	Enzymes
PYCR1	Pyrroline-5-carboxylate reductase 1	P32322	NA	Enzymes
SARS	Seryl-tRNA synthetase	P49591	NA	Enzymes
ERO1-L(b)	Endoplasmic reticulum oxidoreductin 1-Lh	NA	AAF97547.1	Enzymes
NDUFB3	NADH dehydrogenase (ubiquinone) 1h subcomplex 3 (12 kDa B12)	O43676	NA	Enzymes
RRM2	Ribonucleotide reductase subunit M2	P31350	NA	Enzymes
B3GNT6	h-1,3-N-Acetylglucosaminyltransferase	NA	AAC39538.1	Enzymes
PIGA	GPI GlcNAc transferase a	P37287	NA	Enzymes
TXNRD1	Thioredoxin reductase 1	Q16881	NA	Enzymes
PPIB	Cyclophilin B	NA	AAH20800.1	Others
PRAME	Preferentially expressed antigen of melanoma	P78395	NA	Others
FKBP2	FK506-binding protein 2 (FKBP13)	NA	AAA36563.1	Others
DFNA5	Deafness autosomal dominant 5	O60443	NA	Others
RTP801	HIF-1 responsive RTP801	NA	AAL38424.1	Others
SEMG1	Semenogelin I	P04279	NA	Others
H4FE	H4 histone family member E	P02304	NA	Others
TFRC	Transferrin receptor	P02786	NA	Others
GRO2	Macrophage inflammatory protein 2	P19875	NA	Others
GADD45	DNA damage inducible transcript 1	NA	P24522	Others
TGIF	TG-interacting factor	Q15583	NA	Others
ACATN	Acetyl-CoA transporter	NA	AAH14416.1	Transporter proteins
CLGN	Calmegin	O14967	NA	Transporter proteins
DNAJB11	DnaJ (Hsp40) homologue subfamily B member 11 (human endoplasmic reticulum–associated DNAJ)	Q9UBS4	NA	Transporter proteins
CALR	Calreticulin,	P27797	NA	Transporter proteins
CANX	Calnexin	P27824	NA	Transporter proteins
SLC3A2	Heavy chain of 4F2 cell-surface antigen	P08195	NA	Transporter proteins
UGTREL1	UDP-galactose transporter–related 1	NA	BAA13525.1	Transporter proteins
KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	P33947	NA	Transporter proteins
KCNF1	Potassium voltage channel subfamily F1	NA	AAH26110.1	Transporter proteins
PDIA4	Protein disulfide isomerase–related protein (calcium-binding protein, intestinal related)	P13667	NA	Redox-related proteins
TXNIP	Vitamin D3 up-regulated protein-	NA	BAB18859.1	Redox-related proteins
SPS2	Selenophosphate synthetase 2	Q99611	NA	Redox-related proteins
PDIA6	Protein disulfide isomerase–related protein P5	Q15084	NA	Redox-related proteins
GRP58	Glucose regulated 58 kDa protein	P30101	NA	Redox-related proteins
GFAP	Glial fibrillary acidic protein	P14136	BAB31108.1	Cytoskeletal proteins
GABARAPL3	GABA(A) receptor–associated protein like 3	NA	AAK16237.1	Cytoskeletal proteins
OCLN	Occludin	Q16625	NA	Cytoskeletal proteins
KIF5C	Kinesin heavy chain 5C	O60282	NA	Cytoskeletal proteins
ANLN	Aniline	NA	AAF75796.1	Cytoskeletal proteins
