Fold Change	Primary Name	Accession code	Description	P-value
36.96	Pax3	NM_008781	Paired box gene 3 (Pax3), mRNA	0.00E+00
8.37	2210416O15Rik	AK008958	PREDICTED: hypothetical protein LOC70393 [Mus musculus], mRNA sequence	0.00E+00
4.9	Cnot1	BC018281	CCR4-NOT transcription complex, subunit 1, mRNA (cDNA clone MGC:7843 IMAGE:3500852)	1.27E-38
4.64	Pctp	NM_008796	Phosphatidylcholine transfer protein (Pctp)	4.08E-04
3.51	Gm520	XM_147082	Mus musculus similar to hypothetical protein FLJ35880 (LOC245027), mRNA [XM_147082]	4.75E-10
3.45	Vps39	NM_147153	Vacuolar protein sorting 39 (yeast) (Vps39), transcript variant 1, mRNA	3.59E-07
3.44	AK087744	AK087744	Adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530040E14 product:hypothetical protein, full insert sequence	8.32E-11
3.41	Baz1b	NM_011714	Bromodomain adjacent to zinc finger domain, 1B (Baz1b), mRNA	1.21E-05
3.35	Il17rd	NM_134437	Interleukin 17 receptor D (Il17rd), mRNA	1.82E-14
3.12	E430002G05Rik	NM_173749	RIKEN cDNA E430002G05 gene, mRNA (cDNA clone MGC:30636 IMAGE:3675412)	1.10E-14
3.11	Atp2a1	NM_007504	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1, mRNA (cDNA clone MGC:28518 IMAGE:4191741)	9.10E-30
3.1	E130304I02Rik	AK021412	0 day neonate eyeball cDNA, RIKEN full-length enriched library, clone:E130304I02 product:hypothetical protein, full insert sequence	2.66E-05
3.01	Trpc4ap	NM_019828	Transient receptor potential cation channel, subfamily C, member 4 associated protein, mRNA (cDNA clone MGC:25542 IMAGE:3673725)	6.09E-08
3	Slc25a29	NM_181328	Solute carrier family 25 (mitochondrial carrier, palmitoylcarnitine transporter), member 29, mRNA (cDNA clone MGC:7958 IMAGE:3584570)	5.99E-05
3	Atp2c1	NM_175025	MKIAA1347 protein	5.44E-04
3	Crot	NM_023733	Carnitine O-octanoyltransferase (Crot), mRNA	6.58E-04
2.99	Tollip	NM_023764	Toll interacting protein (Tollip), mRNA	1.09E-09
2.92	Numb	NM_010949	Numb gene homolog (Drosophila), mRNA (cDNA clone MGC:28234 IMAGE:3991630)	8.44E-06
2.87	Tfam	U63712	Transcription factor A, mitochondrial, mRNA (cDNA clone MGC:5667 IMAGE:3487433)	1.74E-06
2.69	Actr3b	BC053106	ARP3 actin-related protein 3 homolog B (yeast) (Actr3b), mRNA	2.41E-04
2.69	Seh1l	BC027244	SEH1-like (S. cerevisiae (Seh1l), mRNA	3.90E-08
2.65	Pias3	NM_146135	Protein inhibitor of activated STAT 3 (Pias3), transcript variant 1, mRNA	3.80E-29
2.63	Serpinb8	NM_011459	Serine (or cysteine) peptdiase inhibitor, clade B, member 8, mRNA (cDNA clone MGC:36224 IMAGE:4487039)	1.57E-05
2.55	Homer1	NM_011982	Homer homolog 1 (Drosophila) (Homer1), transcript variant L, mRNA	6.68E-04
2.49	C4	NM_009780	Complement component 4 (within H-2S) (C4), mRNA	1.37E-04
2.48	St3gal4	NM_009178	ST3 beta-galactoside alpha-2,3-sialyltransferase 4, mRNA (cDNA clone MGC:6096 IMAGE:3497996)	2.86E-05
2.45	Za20d1	AK013730	Adult male hippocampus cDNA, RIKEN full-length enriched library, clone:2900060B22 product:unclassifiable, full insert sequence	2.46E-06
2.43	Hic1	NM_010430	Hypermethylated in cancer 1 (Hic1)	8.43E-15
