Common name	Unigene ID	Description	Chromosomal location	P	t	Functional Category
DYT1	Hs.278429	Homo sapiensdystonia 1, torsion	9q34.11	5.76E-05	7.10491	Genes for nucleoside metabolism and transportation
VIPR1	Hs.348500	vasoactive intestinal peptide receptor 1	3p22.1	0.00014	6.50633	Genes for nucleoside metabolism and transportation
ATP11C	Hs.88252	ATPase, Class VI, type 11C	Xq27.1	0.00055	5.55326	Genes for nucleoside metabolism and transportation
MTSS1	Hs.77694	metastasis suppressor 1	8q24.13	0.00051	5.52812	Genes for nucleoside metabolism and transportation
SAFB	Hs.23978	scaffold attachment factor B	19p13.2	0.00068	5.13198	Genes for nucleoside metabolism and transportation
RALBP1	Hs.75447	ralA binding protein 1	18p11.22	0.00075	4.7879	Genes for nucleoside metabolism and transportation
SMAD2	Hs.110741	SMAD, mothers against DPP homologue 2	18q21.1	4.30E-05	7.82148	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
FAK	Hs.434281	focal adhesion kinase	8q24	0.00029	7.03583	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
TRAF6	Hs.444172	Tumor necrosis factor receptor–associated factor 6	11p13	0.0001	6.71903	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
MADD	Hs.82548	MAP-kinase activating death domain	11p11.2	6.30E-05	6.60535	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
PPP3CB	Hs.187543	protein phosphatase 3 catalytic subunit, ? isoform	10q22.2	0.00012	6.10191	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
TSC1	Hs.69429	tuberous sclerosis 1	9q34.13	0.00039	5.92062	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
STAT5A	Hs.437058	signal transducer and activator of transcription 5A	17q11.2	0.00015	5.91317	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
SOCS5	Hs.169836	suppressor of cytokine signaling 5	2p21	0.00027	5.88452	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
PHF16	Hs.82292	PHD finger protein 16	Xp11.3	0.00054	5.84577	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
PIK3C3	Hs.418150	phosphoinositide-3-kinase, class 3	18q12.3	0.00035	5.73027	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
UNC13B	Hs.155001	unc-13 homologue B	9p13.3	0.00023	5.70029	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
MAP3K7	Hs.290346	MAP kinase kinase 7	6q15	0.00045	5.49991	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
LTBP1	Hs.241257	latent TGF-? binding protein 1	2p22.3	0.0008	5.38788	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
ITGA9	Hs.222	integrin, ? 9	3p22.3	0.00033	5.35081	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
GNAQ	Hs.469951	guanine nucleotide binding protein (G protein), q polypeptide	2q21.1	0.00066	5.30905	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
MYST3	Hs.93231	MYST histone acetyltransferase (monocytic leukemia) 3	8p11.21	0.00044	5.16659	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
SKIP	Hs.178347	skeletal muscle and kidney enriched inositol phosphatase	17p13.3	0.00052	5.13827	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
C5	Hs.1281	complement component 5	9q33.2	0.00092	4.97948	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
PPP1R15A	Hs.76556	protein phosphatase 1, regulatory (inhibitor) subunit 15A	19q13.33	0.00075	4.81317	Genes involved in signaling pathways for cell cycle regulation, proliferation, or apoptosis.
LRP3	Hs.143641	low density lipoprotein receptor-related protein 3	19q12	6.02E-06	10.2416	Unknown and other function
SLC9A3	Hs.123044	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3	5p15.33	0.0002	6.85467	Unknown and other function
HSU79266	Hs.23642	protein predicted by clone 23627	11q13.1	0.00037	6.59899	Unknown and other function
MCART1	Hs.46791	mitochondrial carrier triple repeat 1	9p13.3	0.00014	6.03726	Unknown and other function
SEMA5A	Hs.528707	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain, and short cytoplasmic domain (semaphorin) 5A	5p15.31	0.00027	5.69344	Unknown and other function
ELN	Hs.252418	elastin	7q11.23	0.00025	5.53682	Unknown and other function
KIAA0663	Hs.17969	KIAA0663 gene product	1q32.1	0.0003	5.45804	Unknown and other function
OGT	Hs.405410	O-linked N-acetylglucosamine (GlcNAc) transferase	Xq13.1	0.00035	5.29243	Unknown and other function
KIAA0261	Hs.439188	KIAA0261	10q23.2	0.00041	5.26712	Unknown and other function
UAP1	Hs.21293	UDP-N-acteylglucosamine pyrophosphorylase 1	1q24.2	0.00049	5.22761	Unknown and other function
INPP5E	Hs.25156	inositol polyphosphate-5-phosphatase, 72 kDa	9q34.3	0.00039	5.22321	Unknown and other function
HECA	Hs.6679	headcase homologue (Drosophila)	6q24.1	0.00095	5.16452	Unknown and other function
RPS21	Hs.372960	ribosomal protein S21	20q13.33	0.00071	5.03318	Unknown and other function
PCSK7	Hs.443752	proprotein convertase subtilisin/kexin type 7	11q23.2	0.0006	4.94516	Unknown and other function
SEC23B	Hs.173497	Sec23 homologue B	20p11.23	0.00063	4.92033	Unknown and other function
MGEA5	Hs.5734	meningioma expressed antigen 5	10q24.32	0.00096	4.79081	Unknown and other function
C6orf93	Hs.33944	chromosome 6 open reading frame 93	6q24.2	0.00095	4.73743	Unknown and other function
HAGH	Hs.155482	hydroxyacylglutathione hydrolase	16p13.3	0.00082	4.72254	Unknown and other function
LAMP2	Hs.232432	lysosomal-associated membrane protein 2	Xq24	0.00086	4.69221	Unknown and other function
