Probe set	Gene title	Symbol	Fold change	CGI	Expression
209122_at	Adipose differentiation-related protein	ADFP	?36.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
203180_at	Aldehyde dehydrogenase 1 family, member A3	ALDH1A3	?46.2	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
200782_at	Annexin A5	ANXA5	?32.5	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
205239_at	Amphiregulin (schwannoma-derived growth factor)	AREG	?59.3	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
206382_s_at	Brain-derived neurotrophic factor	BDNF	?29.2	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
203065_s_at	Caveolin 1, caveolae protein, 22 kDa	CAV1	?37.2	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
210140_at	Cystatin F (leukocystatin)	CST7	?22.1	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
219424_at	Epstein–Barr virus induced gene 3	EBI3	?18.5	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
204540_at	Eukaryotic translation elongation factor 1 alpha 2	EEF1A2	?25.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
203989_x_at	Coagulation factor II (thrombin) receptor	F2R	?59.3	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
208962_s_at	Fatty acid desaturase 1	FADS1	?23.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
203240_at	Fc fragment of IgG binding protein	FCGBP?	?16.8	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
1570515_a_at	Filamin A interacting protein 1	FILIP1	?34.8	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
219170_at	Fibronectin type 3 and SPRY domain containing 1	FSD1	?16.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
226847_at	Follistatin	FST	?29.2	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
218469_at	Gremlin 1 homolog, cysteine knot superfamily	GREM1	?59.3	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
213620_s_at	Intercellular adhesion molecule 2	ICAM2	?18.5	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
201162_at	Insulin-like growth factor binding protein 7	IGFBP7	?38.4	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
205945_at	Interleukin 6 receptor	IL6R	?26.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
209185_s_at	Insulin receptor substrate 2	IRS2	?24.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
205563_at	KiSS-1 metastasis-suppressor	KISS1	?54.8	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
221047_s_at	MAP/microtubule affinity-regulating kinase 1	MARK1	?17.6	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
1552456_a_at	Methyl-CpG binding domain protein 3-like 2	MBD3L2	?38.4	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
206560_s_at	Melanoma inhibitory activity	MIA	?23.0	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
204784_s_at	Myeloid leukemia factor 1	MLF1	?27.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
205932_s_at	Msh homeo box homolog 1 (Drosophila)	MSX1	?16.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
202086_at	Myxovirus (influenza virus) resistance 1	MX1	?18.5	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
205581_s_at	Nitric oxide synthase 3 (endothelial cell)	NOS3	?18.5	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
203939_at	5?-nucleotidase, ecto (CD73)	NT5E	?53.3	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
207002_s_at	Pleiomorphic adenoma gene-like 1	PLAGL1	?46.2	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
204517_at	Peptidylprolyl isomerase C (cyclophilin C)	PPIC	?23.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
221666_s_at	PYD and CARD domain containing	PYCARD	?25.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
219140_s_at	Retinol binding protein 4, plasma	RBP4	?43.6	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
202388_at	Regulator of G-protein signaling 2, 24 kDa	RGS2	?33.6	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
201462_at	Secernin 1	SCRN1	?31.4	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
204614_at	Serine (or cysteine) proteinase inhibitor, clade B, member 2	SERPINB2	?36.0	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
202627_s_at	Serine (or cysteine) proteinase inhibitor, clade E, member 1	SERPINE1	?26.0	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
208539_x_at	Small proline-rich protein 2 A	SPRR2A	?22.1	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
224167_at	Likely ortholog of mouse spermatogenic Zip 1	SPZ1	?18.5	No	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
219682_s_at	T-box 3	TBX3	?36.0	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
205286_at	Transcription factor AP-2 gamma	TFAP2C	?32.5	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
221291_at	UL16 binding protein 2	ULBP2	?29.2	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
204712_at	WNT inhibitory factor 1	WIF1	?31.4	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
224518_s_at	Zinc finger protein 559	ZNF559	?30.3	Yes	The 44 genes picked randomly from the genes showing greater than 16-fold upregulation after 5-aza-dC treatment
220013_at	Abhydrolase domain containing 9	ABHD9	?8.0	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
209591_s_at	Bone morphogenetic protein 7 (osteogenic protein 1)	BMP7	?13.9	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
203440_at	Cadherin 2, type 1, N-cadherin (neuronal)	CDH2	?26.0	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
210240_s_at	Cyclin-dependent kinase inhibitor 2D (p19)	CDKN2D	?4.4	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
203953_s_at	Claudin 3	CLDN3	?45.3	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
202087_s_at	Cathepsin L	CTSL	?13.0	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
216033_s_at	FYN oncogene related to SRC, FGR, YES	FYN	?78.8	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
242517_at	G protein-coupled receptor 54	GPR54	?6.3	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
210095_s_at	Insulin-like growth factor binding protein 3	IGFBP3	?9.8	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
203037_s_at	Metastasis suppressor 1	MTSS1	?6.5	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
205646_s_at	Paired box gene 6 (aniridia, keratitis)	PAX6	?18.4	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
205479_s_at	Plasminogen activator, urokinase	PLAU	?137.2	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
210479_s_at	RAR-related orphan receptor A	RORA	?55.7	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
219480_at	Snail homolog 1 (Drosophila)	SNAI1	?4.6	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
206907_at	Tumor necrosis factor superfamily, member 9	TNFSF9	?4.8	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
207417_s_at	Zinc finger protein 177	ZNF177	?4.4	Yes	Genes showing greater than four-fold upregulation after 5-aza-dC treatment, having CpG islands, and having cancer related function or having chromosomal location in the region of frequent loss in gastric cancer.
201848_s_at	BCL2/adenovirus E1B 19 kDa interacting protein 3	BNIP3	?20.3	Yes	Genes reported as silenced genes in gastric cancer and showing greater than 16-fold upregulation after 5-aza-dC treatment
207039_at	Cyclin-dependent kinase inhibitor 2 A (p16)	CDKN2A	?33.6	Yes	Genes reported as silenced genes in gastric cancer and showing greater than 16-fold upregulation after 5-aza-dC treatment
223931_s_at	Checkpoint with forkhead and ring finger domains	CHFR	?16.8	Yes	Genes reported as silenced genes in gastric cancer and showing greater than 16-fold upregulation after 5-aza-dC treatment
209291_at	Inhibitor of DNA binding 4	ID4	?57.8	Yes	Genes reported as silenced genes in gastric cancer and showing greater than 16-fold upregulation after 5-aza-dC treatment
203423_at	Retinol binding protein 1, cellular	RBP1	?54.8	Yes	Genes reported as silenced genes in gastric cancer and showing greater than 16-fold upregulation after 5-aza-dC treatment
204198_s_at	Runt-related transcription factor 3	RUNX3	?27.0	Yes	Genes reported as silenced genes in gastric cancer and showing greater than 16-fold upregulation after 5-aza-dC treatment
203888_at	Thrombomodulin	THBD	?29.2	Yes	Genes reported as silenced genes in gastric cancer and showing greater than 16-fold upregulation after 5-aza-dC treatment
