Gene symbol	Gene description	 Accession no.	 Discriminating score
IGHG3	IgG	H68233	-2.75
GATA6	GATA-binding protein 6	N91601	-2.39
IGHG3	IgG	N92646	-2
IGHG3	IgG	H64493	-2
HADHB	Hydroxyacyl-CoA dehydrogenase, beta subunit	T69767	-1.89
IF	I factor (complement)	H89710	-1
BRCA1	Breast cancer 1, early onset	H90415	-1
ESTs	Unknown	W46567	-1
CSF1R	Colony-stimulating factor 1 receptor, v-fms oncogene homolog	H57126	-1
ESTs	Unknown	H93533	-1
ITGA1	Integrin, alpha 1	H68922	-1
FBG	Fibrinogen, B beta polypeptide	H91714	-1
Id2	Inhibitor of DNA binding 2, dominant-negative helix-loop-helix	H82442	-1
IL16	Interleukin-16 (lymphocyte chemoattractant factor)	H57532	-0.84
IL1B	Interleukin-1, beta	W47101	-1
ZNF148	Zinc finger protein 148 (pHZ-52)	H70711	-1
KLF1	Kruppel-like factor 1 (erythroid)	H60702	-1
ITGA2B	Integrin, alpha 2b (antigen CD41B)	 AA905458 	-1
ESTs	Unknown	 AA279804 	-0.71
CSK	c-src tyrosine kinase	H90752	-1
ESTs	Unknown	H22578	-1
PNUTL1	Peanut (Drosophila)-like 1	 AA702163 	-1
ALAS2	Aminolevulinate, delta-, synthase 2	N54577	-1
PSMB7	Proteasome subunit, beta type, 7 (large multifunctional protease 7)	N52556	-1
ESTs	Unknown	N52646	-0.61
DAPI	Death-associated protein 1	H65452	-1
FBP1	Fructose-1,6-bisphosphatase 1	N57708	-0.58
DEHUE	Glutamate dehydrogenase	N57779	-1
ACTB	Actin beta	H54441	-1
CSF3R	CSF3R: colony-stimulating factor 3 receptor (granulocyte)	R31950	-1
TBPG	Trophoblaste glycoprotein	R70262	-1
APOH	Apolipoprotein H	R06433	-1
MYB	v-myb avian myeloblastosis viral oncogene homolog	N49284	-1
NGRFAP1	Nerve growth factor receptor (TNFRSF16)-associated protein 1	W68632	1
CST3	Cystatin C	W93398	1
DARS	Aspartyl t-RNA synthetase	H28873	1
ESTs	Unknown	 AA626888 	1
PSG2	Pregnancy-specific beta-1—glycoprotein 2 	R65579	1
COL 16A1	Collagen type XVI alpha 1	R54968	1
SRF	Serum response factor (c-fos SRE-binding transcription factor)	W32378	1
ABCA7	ATP-binding cassette, subfamily A, member 7	H45443	1
ESTs	Unknown	H51280	1
ARD1	N acetyltransferase	R55220	1
FALZ	Fetal Alzheimer antigen	H44955	1
IGHA	IgA	H42228	1
FAH	Fumarylacetoacetate hydrolase (fumarylacetoacetase)	H44956	1
MMP12	Matrix metalloproteinase 12 (macrophage elastase)	R63637	1
OR2A19	Olfactory receptor, family 2, subfamily A, member 19	H39853	1
JAG2	Jagged2	H39899	1
ESTs	Unknown	H43142	1
LIPE	Lipase, hormone sensitive	R87236	1
WEE1	Wee 1 like	H44948	1
ESTs	Unknown	H29761	1
INPP1	Inositol polyphosphate-1-phosphatase	H52141	1
DCTN1	Dynactin 1	R88834	1
ESTs	Unknown	 Ai201426 	1
GATA2	GATA-binding protein 2	R32406	1
ESTs	Unknown	H28469	1.65
ESTs	Unknown	H43035	1.72
AP1B1	Adaptor-related protein complex 1, beta 1 subunit	R87770	1.78
