Function	Gene Symbol	Code	Gene	median log2 ratio
Calcium binding protein	RCN1	D42073	reticulocalbin 1, EF-hand calcium binding domain	1.109
Calcium binding protein	RCN2	AL120373	reticulocalbin 2, EF-hand calcium binding domain	1.478
Transcription factor	HIF1A	NM_001530	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	1.32
Metabolism	OAT	M12267	ornithine aminotransferase (gyrate atrophy)	1.801
Metabolism	SCD	AB032261	stearoyl-CoA desaturase (delta-9-desaturase)	1.475
Metabolism	ESD	AF112219	esterase D/formylglutathione hydrolase	1.627
Metabolism	CAST	U38525	calpastatin	1.248
Metabolism	ENO2	M22349	enolase 2, (gamma, neuronal)	-1.365
Metabolism	ENO3	X56832	enolase 3, (beta, muscle)	-1.722
DNA metabolism	TOP2A	AF071747	topoisomerase (DNA) II alpha (170kD)	1.713
DNA metabolism	HAT1	AF030424	histone acetyltransferase 1	1.461
DNA metabolism	ZNF91	AAA59469	zinc finger protein	1.023
DNA metabolism	SON	AW328025	SON DNA binding protein	1.235
DNA metabolism	MATR3	AB018266	matrin 3	1.213
DNA metabolism	CSRP1	BE388159	cysteine and glycine-rich protein 1	-1.552
DNA metabolism	ID1	S78825	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	-1.773
RNA metabolism	SBDS	AK001779	CGI-97 protein	1.362
RNA metabolism	APOBEC3B	U61084	phorbolin (similar to apolipoprotein B mRNA editing protein)	1.182
RNA metabolism	PAIP1	AF013758	polyadenylate binding protein-interacting protein 1	1.255
RNA metabolism	SSB	X69804	Sjogren syndrome antigen B (autoantigen La)	1.134
RNA metabolism	RALY	AL031668	RNA-binding protein (autoantigenic)	1.27
RNA metabolism	SF3B1	AL137410	splicing factor 3b, subunit 1, 155kD	1.628
Mitocondrion	SDHD	NM_003002	succinate dehydrogenase complex, subunit D, integral membrane protein	1.052
Mitocondrion	PRDX3	D49396	peroxiredoxin 3	1.356
Mitocondrion	TOMM40	AF043250	DNA segment on chromosome 19 (unique) 1177 expressed sequence	-1.321
Mitocondrion	NDUFV1	AW250734	NADH dehydrogenase (ubiquinone) flavoprotein 1 (51kD)	-1.38
Mitocondrion	TIMM17B	AJ005895	translocase of inner mitochondrial membrane 17 (yeast) homolog B	-1.214
Mitocondrion	NDUFB7	AI199316	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7 (18kD, B18)	-1.625
Cytoskeleton and cell motility	MRCL3	AA345289	myosin, light polypeptide, regulatory, non-sarcomeric (20kD)	1.088
Cytoskeleton and cell motility	KIF5B	X65873	kinesin family member 5B	1.68
Cytoskeleton and cell motility	PIP5K2A	U14957	phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	2.002
Cytoskeleton and cell motility	KIF23	X67155	kinesin-like 5 (mitotic kinesin-like protein 1)	1.354
Cytoskeleton and cell motility	KTN1	Z22551	kinectin 1 (kinesin receptor)	1.653
Cytoskeleton and cell motility	CAPZA1	U56637	capping protein (actin filament) muscle Z-line, alpha 1	1.281
Cytoskeleton and cell motility	ANLN	AK001468	anillin (Drosophila Scraps homolog), actin binding protein	1.106
Cytoskeleton and cell motility	AP3S1	D63643	adaptor-related protein complex 3, sigma 1 subunit	1.787
Cytoskeleton and cell motility	TPM2	M75165	tropomyosin 2 (beta)	-1.362
Cytoskeleton and cell motility	KRTHB3	X99141	keratin, hair, basic, 3	-1.332
Cytoskeleton and cell motility	TUBA1	X06956	tubulin, alpha 1 (testis specific)	-1.316
Cytoskeleton and cell motility	AP2S1	AI751728	adaptor-related protein complex 2, sigma 1 subunit	-1.132
Cytoskeleton and cell motility	SYNGR2	AW410640	synaptogyrin 2	-1.401
