Gene	Alias	Gene ID	GO Annotation	VT	DT	Change
ALDH1A1	AHD2	216	Catalytic	316	43	7.31
SLC6A3	DAT1	6531	Transporter	462	104	4.44
SLC18A2	VMAT2	6571	Transporter	214	61	3.51
TH		7054	Catalytic	655	257	2.55
CALB1	Calbindin 1, 28kD	793	Binding	337	137	2.46
NR4A2	Nurr1	4929	Transcription	908	381	2.38
FOXA1	HNF3A	3169	Transcription	648	278	2.33
NR4A2	Nurr1	4929	Transcription	507	217	2.33
FLJ21924		79832	–	374	164	2.28
CBLN1		869	–	185	82	2.27
PITX2	PTX2	5308	Transcription	266	122	2.17
NR4A2	Nurr1	4929	Transcription	724	344	2.1
IGF1	Somatomedin C	3479	Signal transduction	112	53	2.1
STK17A	DRAK1	9263	Catalytic	68	35	1.96
CADPS2		93664	–	234	121	1.93
PAQR6	FLJ22672	79957	Signal transduction	705	383	1.84
GABRB1		2560	Transporter	178	97	1.84
SNCA	alpha-Synuclein	6622	–	352	199	1.78
PPP1R3C	PP1R5	5507	Catalytic	327	184	1.78
SNCA	alpha-Synuclein	6622	–	555	315	1.77
SCARB2	CD36L2	950	Signal transduction	490	278	1.77
COBLL1	KIAA0977	22837	–	154	89	1.73
ARHGAP6	RHOGAP6	395	Signal transduction	111	64	1.72
MYRIP	Exophilin	25924	Binding	235	138	1.71
HBLD2	hIscA	81689	–	150	89	1.69
DRD2	D2R	1813	Signal transduction	402	239	1.68
KCNJ6	GIRK2	3763	Transporter	473	283	1.67
RET	HSCH1	5979	Signal transduction	64	38	1.67
FLJ11627		–	–	96	57	1.67
COPG2	2-COP	26958	Transporter	63	38	1.66
FLJ20130		54830	Transporter	121	73	1.66
FOXB1	FKH5	27023	Transcription	170	102	1.66
RRAS2	TC21	22800	Binding	245	149	1.64
PITX3	PTX3	5309	Transcription	167	102	1.64
PHLDA1	TDAG51	22822	–	173	106	1.62
CORIN	CRN	10699	Catalytic	90	56	1.62
BDNF		627	Signal transduction	128	80	1.61
SNCA	alpha-Synuclein	6622	–	326	203	1.6
DSCR1L1	ZAKI-4	10231	Binding	531	331	1.6
DLK1	FA-1	8788	Binding	289	181	1.59
ATXN7L1	KIAA1218	57485	–	130	82	1.58
TRIM9	SPRING	114088	Catalytic	643	408	1.58
RBMS1	YC1	5937	Binding	236	150	1.57
ZNF73		7624	Transcription	102	65	1.57
GRM8	GLUR8	2918	Signal transduction	73	47	1.56
SLC17A6	VGLUT2	57084	Transporter	619	398	1.56
PCDH11X		83259	Binding	235	151	1.56
BCL2L2	Bcl-w	599	–	289	187	1.55
C10orf3	FLJ10540	55165	–	85	55	1.55
NEBL	Nebulette	10529	Binding	139	91	1.54
PPEF2		5470	Catalytic	85	55	1.54
SNCA	alpha-Synuclein	6622	–	310	203	1.53
CLDN11	Claudin 11	5010	Structural	106	70	1.52
UBE2D1	UBC4/5	7321	Catalytic	438	288	1.52
PLS3	Plastin 3	5358	Bining	104	69	1.52
EPHA5	EHK1	2044	Signal transduction	116	77	1.51
IL-17RC	MGC10763	84818	Signal transduction	186	124	1.51
CHRNA7	NACHRA7	1139	Signal transduction	224	149	1.51
ERBB4	HER4	2066	Signal transduction	670	444	1.51
