Gene	Probe Set ID	Ratio	95% CI		ZamLog2FC	GioLog2FC
KCNQ1	204487_s_at	85.5	49.2	148.6	-6.4	-6.3
HSD3B2	206294_at	41.1	16.1	104.7	-5.4	-4.8
ADH1B	209613_s_at	21.6	10.9	42.8	-4.4	-16.7
KCNQ1	211217_s_at	13.6	6.4	29.1	-3.8	-6.3
FBLN1	202994_s_at	13.2	6.9	25.3	-3.7	-9.1
PDGFRA	203131_at	13.0	7.9	21.6	-3.7	-5.9
AADAC	205969_at	12.2	5.4	27.8	-3.6	-6.7
LMOD1	203766_s_at	10.0	5.1	19.3	-3.3	-5.6
AOX1	205083_at	9.8	4.7	20.4	-3.3	-6.7
SEMA3B	203071_at	8.9	4.4	18.0	-3.2	-10
SEMA6A	215028_at	8.7	5.0	15.0	-3.1	-3.7
ADH1B	209612_s_at	8.2	4.8	14.0	-3.0	-16.7
ABCC3	208161_s_at	7.6	3.2	17.9	-2.9	-3.8
FBLN1	201787_at	7.0	2.9	16.6	-2.8	-9.1
HSD3B2	215665_at	6.8	3.8	12.2	-2.8	-4.8
IGFBP6	203851_at	6.5	4.0	10.5	-2.7	-9.1
ABCC3	209641_s_at	6.3	2.1	19.2	-2.7	-3.8
ARGBP2	204288_s_at	6.3	3.2	12.4	-2.7	-5.6
AOX1	205082_s_at	6.2	3.0	12.6	-2.6	-6.7
EPHX2	209368_at	6.0	3.6	10.0	-2.6	-3.7
FBLN1	202995_s_at	6.0	4.0	9.0	-2.6	-9.1
CXCL12	209687_at	5.4	2.7	10.8	-2.4	-14.3
CYP11B1	214610_at	5.3	2.4	11.4	-2.4	-6.3
KIAA1024	215081_at	5.1	2.1	12.3	-2.3	-12.5
CDKN1C	213182_x_at	4.9	2.5	9.4	-2.3	-5
CDKN1C	219534_x_at	4.8	2.4	9.5	-2.3	-5
ALAS1	205633_s_at	4.4	2.4	8.1	-2.1	-6.7
SEMA6A	220454_s_at	4.3	3.4	5.4	-2.1	-3.7
CDKN1C	216894_x_at	4.1	2.1	7.9	-2.0	-5
PTHR1	205911_at	3.9	3.0	5.1	-2.0	-10
PNUTL2	210657_s_at	3.8	2.4	6.1	-1.9	-7.7
IGF1	209540_at	3.6	1.6	8.0	-1.8	-3.6
MYO7A	208189_s_at	3.3	1.6	6.6	-1.7	-3.4
CREBL2	201990_s_at	3.2	2.3	4.3	-1.7	-3.6
PTGDS	211748_x_at	3.0	1.1	8.1	-1.6	-5.6
PNUTL2	210348_at	2.9	1.7	4.9	-1.5	-7.7
CDKN1C	213348_at	2.8	1.7	4.7	-1.5	-5
BRE	212645_x_at	2.7	1.6	4.5	-1.4	-5.3
SEMA6A	215479_at	2.6	1.9	3.7	-1.4	-3.7
PTGDS	212187_x_at	2.6	0.8	8.6	-1.4	-5.6
BRE	211566_x_at	2.6	1.6	4.2	-1.4	-5.3
