Gene title	Gene symbol	Representative public ID	Fold change	Probability
Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	CDKN1B	BC001971	2.447	1
Cyclin-dependent kinase 5, regulatory subunit 1 (p35)	CDK5R1	AL567411	2.121	0.999
Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, ?)	CXCL1	NM_001511	2.089	0.979
Endothelin 1	EDN1	J05008	2.062	0.995
Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	NF1	AW293356	1.997	0.993
Dedicator of cytokinesis 2	DOCK2	AI991459	1.958	0.987
Endothelin 1	EDN1	NM_001955	1.924	0.972
Lysosomal-associated membrane protein 3	LAMP3	NM_014398	1.909	0.973
Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	NM_000076	1.882	0.961
Signal-induced proliferation–associated 1–like 2	SIPA1L2	AB037810	1.872	0.949
Melanoma cell adhesion molecule	MCAM	BG105365	1.866	0.784
S-phase kinase-associated protein 2 (p45)	SKP2	BC001441	1.823	0.833
EP300 interacting inhibitor of differentiation 2	EID2	BE747815	1.747	0.543
FGFR1 oncogene partner; chromosome 9 open reading frame 4	FGFR1OP; C9orf4	NM_007045	1.744	0.593
SMAD family member 1	SMAD1	AU146891	1.713	0.622
Cell division cycle 25 homologue A (S. cerevisiae)	CDC25A	AY137580	1.707	0.585
NADPH oxidase, EF-hand calcium binding domain 5	NOX5	NM_024505	?1.725	0.651
Centromere protein F, 350/400 ka (mitosin)	CENPF	NM_016343	?1.732	0.558
Pre-B-cell colony enhancing factor 1	PBEF1	AA873350	?1.751	0.691
DnaJ (Hsp40) homologue, subfamily A, member 2	DNAJA2	AW057513	?1.846	0.919
Artemin	ARTN	AF115765	?1.880	0.95
E74-like factor 4 (ets domain transcription factor)	ELF4	U32645	?1.945	0.975
Artemin	ARTN	NM_003976	?1.957	0.985
Amphiregulin (schwannoma-derived growth factor); similar to amphiregulin precursor (colorectum cell–derived growth factor)	AREG; LOC727738	NM_001657	?2.036	0.993
Vesicle transport through interaction with t-SNAREs homologue 1B (yeast)	VTI1B	AI307763	?2.043	0.996
Vesicle transport through interaction with t-SNAREs homologue 1B (yeast)	VTI1B	AI984620	?2.081	0.998
Platelet-activating factor acetylhydrolase, soform Ib, 7? subunit 45 kDa	PAFAH1B1	AA502643	?2.200	0.957
Oncostatin M receptor	OSMR	NM_003999	?2.457	1
Signal sequence receptor, ? (translocon-associated protein ?)	SSR1	BF679286	?2.497	1
Nuclear autoantigenic sperm protein (histone-binding)	NASP	AU144734	?2.512	1
NADPH oxidase, EF-hand calcium binding domain 5	NOX5	NM_024505	?2.965	1
Transforming growth factor, ?1 (Camurati-Engelmann disease)	TGFB1	BC000125	?3.016	1
MAX interactor 1	MXI1	NM_005962	?3.797	1
