Accession no.	Symbol	Function	Quantitative gene expression BPCs	MM
U61145	EZH2	Transcription; SET domain	-	-/+
HT4000	SYK	Signaling; lymphocyte kinase	-	-/++
X89986	BIK	Signaling; apoptosis inducer	-	-/++++
D85181	SC5DL	Metabolism; sterol-C5-desaturase	+	-/+
M98045	FPGS	Metabolism; folylpolyglutamate synthase	+	-/++
L41559	PCBD	Transcription; enhances TCF1 activity	+	-/++
L25876	CDKN2	Cell cycle; CDK inhibitor; phosphatase	+	+/++
U76638	BRAD1	Transcription; BRCA1 heterodimer	+	+/++
L05072	IRF1	Transcription; IRF family	+	+/++
D87440	KIAA0252a	Unknown	+	+/++
U02680	PTK9	Tyrosine kinase	+	+/++
U28042	DDX10	Oncogene; ATP-dependent RNA helicase	+	+/++
L20320	CDK7	Cell cycle; kinase	+	+/++
X56494	PKM2	Metabolism; pyruvate kinase	+	+/++++
M12959	TCRA	Signaling; T-cell receptor	++	-/++
HT3981	INSL3	Signaling; insulinlike peptide; IGF family	++	-/++
U21931	FBP1	Metabolism; fructose bisphophatase	++	-/++++
Z48054	PXR1	Metabolism; peroxisome biogenesis	++	+/++
D84145	WS-3a	Dynatin 6	++	+/++
D14661	KIAA0105a	Transcription; WT1-associating protein	++	+/++
X77548	NCOA4	Transcription; nuclear receptor coactivator	++	+/++
M90696	CTSS	Cysteine protease	++	+/++
D11086	IL2RG	Cytokine receptor	++	+/++
U70426	RGS16	Signaling; GTPase activating protein	++	+/+++
X14850	H2AX	Histone; required for antibody maturation	++	+/+++
M29927	OAT	Metabolism; ornithine aminotransferase	++	+/+++
S74017	NFE2L2	Transcription	++	+/+++
HT4604	GYG	Metabolism; glycogen biogenesis	++	+/+++
M55531	SLC2A5	Metabolism; fructose transporter	++	+/++++
M60750	H2BFL	Histone; nucleosome	++	+/++++
L19437	TALDO1	Metabolism; transaldolase	++	++/+++
M10901	NR3C1	Transcription; glucocorticoid receptor	++	++/+++
L41887	SFRS7	mRNA splicing factor	++	++/+++
M34423	GLB1	Metabolism; galactosidase	++	++/++++
X15414	AKR1B1	Metabolism; aldose reductase	+++	+/++++
J04456	LGALS1	Signaling; inhibits CD45 phosphatase	+++	+/++++
X92493	PIP5K1B	Signaling; kinase	+++	+/++++
U51478	ATP1B3	Na+, K+transporter	+++	++/++++
X91257	SARS	Seryl-tRNA synthetase	+++	++/++++
D30655	EIF4A2	Translation initiation	+++	++/++++
D31887	KIAA0062a	Unknown	+++	++/++++
X04106	CAPN4	Cysteine protease; calcium dependent	+++	++/++++
D87442	NCSTNa	Nicastrin	+++	++/++++
L76191	IRAK1	Signaling; cytokine receptor kinase	+++	+++/++++
HT1428	HBB	Hemoglobin	++++	-/++++
U44975	COPEB	Oncogene; transcription factor	++++	-/++++
X55733	EIF4B	Translation initiation	++++	+/++++
L09604	PLP2	Signaling; colonic epithelium differentiation	++++	+/++++
HT1614	PPP1CA	Signaling; phosphatase	++++	+++/++++
L26247	SUI1a	Translation initiation; probable	++++	+++/++++
