Accession no. Genbank / Refseq	Gene symbol	Gene description	Mean M (log2) tumor / normal fold change
NM_144828	Ppp1r1b / Darpp32	protein phosphatase 1 regulatory subunit 1B	-3.43
V00714	Hba-a1	hemoglobin alpha	-3.06
AK007182	Chn1a	chimerin 1	-2.94
U92949	Kifc2	kinesin family member C2	-2.76
U76009	Slc30a3	solute carrier family 30 (zinc transporter), member 3	-2.64
AK049760	Arpp19	cAMP-regulated phosphoprotein 19	-2.56
AY380579	Kcnh3	potassium voltage-gated channel, subfamily H, member 3	-2.54
AK003400	Drd1ipa	dopamine receptor D1 interacting protein Calcyon	-2.47
M20480	Nefl	neurofilament, light polypeptide	-2.42
AJ223584	Atp2a2a	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	-2.39
D29965	Rph3a	rabphilin 3A	-2.26
J05479	Ppp3ca / Calna	protein phosphatase 3, catalytic subunit, alpha isoform	-2.25
Z17804	Catns	catenin Src (p120)	-2.23
AK078889	BQ952480	expressed sequence BQ952480	-2.2
AK049983	2900046G09Rik	RIKEN cDNA 2900046G09 gene	-2.17
U20372	Cacnb3	calcium channel, voltage-dependent, beta 3 subunit	-2.15
AK083562	Vsp24 / Nedf	Vacuolar protein sorting 24	-2.13
AF117207	Syngr3	synaptogyrin 3	-2.13
M94632	Prkcz	protein kinase C, zeta	-2.05
X78103	Tyro3 / Dtk	TYRO3 protein tyrosine kinase 3	-2.04
AB049821	Bacha	brain acyl-CoA hydrolase	-2
NM_134017	Mat2ba,b	methionine adenosyltransferase II, beta	-1.67
M86441	Fgfr2b	fibroblast growth factor receptor 2	-1.35
