Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	q-value	Sam
206574_s_at	PTP4A3	Chr:8q24.3	NM_007079	6.996897	2.61178	1.377152129	cluster2
209695_at	PTP4A3	Chr:8q24.3	BC003105	5.693607	1.9225	1.377152129	cluster2
202501_at	MAPRE2	Chr:18q12.2	NM_014268	5.456555	1.56695	0.246670667	cluster3
204069_at	MEIS1	Chr:2p14-p13	NM_002398	4.940681	2.05273	0.546786645	cluster3
206574_s_at	PTP4A3	Chr:8q24.3	NM_007079	4.981243	1.95236	0.546786645	cluster3
209184_s_at	IRS2	Chr:13q34	BF700086	-4.35961	0.4713	0.246670667	cluster3
209905_at	HOXA9	Chr:7p15-p14	AI246769	4.147647	1.86246	0.959274816	cluster3
213394_at	MAPKBP1	Chr:5q31	AI674759	4.476337	1.88614	0.856904444	cluster3
214651_s_at	HOXA9	Chr:7p15-p14	U41813	4.306589	2.03456	0.866196665	cluster3
221654_s_at	USP3	Chr:15q22.3	AF077040	-6.03892	0.50686	0.246670667	cluster3
201235_s_at	BTG2	Chr:1q32	BG339064	-4.838	0.46557	0.2241429	cluster4
201236_s_at	BTG2	Chr:1q32	NM_006763	-5.49774	0.47016	0.109866108	cluster4
201416_at	SOX4	Chr:6p22.3	BG528420	4.255867	2.05602	1.65205527	cluster4
201418_s_at	SOX4	Chr:6p22.3	NM_003107	4.202122	2.04755	1.65205527	cluster4
201422_at	IFI30	Chr:19p13.1	NM_006332	-5.57967	0.10145	0.109866108	cluster4
201531_at	ZFP36	Chr:19q13.1	NM_003407	-5.40807	0.33307	0.109866108	cluster4
201700_at	CCND3	Chr:6p21	NM_001760	-4.89555	0.56475	0.202690279	cluster4
203010_at	STAT5A	Chr:17q11.2	NM_003152	5.165268	1.54866	0.258318211	cluster4
203233_at	IL4R	Chr:16p11.2-12.1	NM_000418	-8.93654	0.2386	0.109866108	cluster4
204069_at	MEIS1	Chr:2p14-p13	NM_002398	-5.34268	0.17418	0.109866108	cluster4
204116_at	IL2RG	Chr:xq13.1	NM_000206	4.400833	1.74357	0.989116693	cluster4
204629_at	PARVB	Chr:22q13.2-q13.33	NM_013327	-4.63997	0.59277	0.241475051	cluster4
205026_at	STAT5B	Chr:17q11.2	NM_012448	5.487223	1.5207	0.2241429	cluster4
206589_at	GFI1	Chr:1p22	NM_005263	-4.70179	0.43818	0.241475051	cluster4
209184_s_at	IRS2	Chr:13q34	BF700086	-6.65768	0.31619	0.109866108	cluster4
209185_s_at	IRS2	Chr:13q34	AF073310	-7.85413	0.22776	0.109866108	cluster4
209189_at	FOS	Chr:14q24.3	BC004490	-4.06155	0.52428	1.866837827	cluster4
209905_at	HOXA9	Chr:7p15-p14	AI246769	-4.02982	0.23224	1.866837827	cluster4
209906_at	C3AR1	Chr:12p13.31	U62027	-5.48579	0.17837	0.109866108	cluster4
210948_s_at	LEF1	Chr:4q23-q25	AF294627	5.690176	1.91276	0.202690279	cluster4
212501_at	CEBPB	Chr:20q13.1	AL564683	-4.70592	0.36167	0.241475051	cluster4
212550_at	STAT5B	Chr:17q11.2	AI149535	6.365616	1.60269	0.109866108	cluster4
213668_s_at	SOX4	Chr:6p22.3	AI989477	4.64662	2.22445	0.37678009	cluster4
214651_s_at	HOXA9	Chr:7p15-p14	U41813	-4.5245	0.19274	0.258318211	cluster4
216253_s_at	PARVB	Chr:22q13.2-q13.33	N73272	-4.97431	0.48691	0.109866108	cluster4
218902_at	NOTCH1	Chr:9q34.3	NM_017617	7.37871	2.57801	0.109866108	cluster4
221558_s_at	LEF1	Chr:4q23-q25	AF288571	5.102862	3.27266	0.258318211	cluster4
221737_at	GNA12	Chr:7p22-p21	AK024696	-5.58015	0.582	0.109866108	cluster4
221840_at	PTPRE	Chr:10q26	AA775177	-4.44614	0.48447	0.258318211	cluster4
37965_at	PARVB	Chr:22q13.2-q13.33	AA181053	-4.55015	0.55769	0.258318211	cluster4
37966_at	PARVB	Chr:22q13.2-q13.33	AA187563	-4.42666	0.62211	0.354659218	cluster4
200951_s_at	CCND2	Chr:12p13	AW026491	-8.77631	0.46203	0.007222864	cluster5
