Symbol	Description	Cytoband	Start (Mb)	End (Mb)	MWU adjusted P-value amplification
SIPA1L2	Signal-induced proliferation-associated 1-like protein 2	1q42.2	232533711	232697304	0.029
IMPA1	Inositol monophosphatase A1	8q21.13	82569151	82598589	0.024
ZFAND1	AN1-type zinc finger protein 1	8q21.13	82613958	82633530	0.024
SNX16	Sorting nexin-16	8q21.13	82711822	82754521	0.024
ATP5C1	ATP synthase subunit ?, mitochondrial Precursor	10p14	7830093	7849755	0.031
TAF3	Transcription initiation factor TFIID subunit 3	10p14	7860501	8056714	0.031
USP6NL	USP6 N-terminal-like protein	10p14	11502509	11653753	0.047
FGFR2	Fibroblast growth factor receptor 2 Precursor	10q26.13	123237848	123357972	0.013
ATE1	Arginyl-tRNA–protein transferase 1	10q26.13	123502626	123687977	0.013
NSMCE4A	Non-SMC element 4 homolog A	10q26.13	123716611	123734710	0.013
TACC2	Transforming acidic coiled-coil containing protein 2	10q26.13	123748709	124014059	0.013
PLEKHA1	Pleckstrin homology domain-containing family A member 1	10q26.13	124134220	124191867	0.013
CUZD1	CUB and zona pellucida-like domain-containing protein 1 Precursor	10q26.13	124591665	124610309	0.047
PSTK	L-seryl-tRNA(Sec) kinase	10q26.13	124739556	124749908	0.013
IKZF5	Zinc finger protein Pegasus	10q26.13	124751965	124768321	0.013
ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial Precursor	10q26.13	124768429	124817806	0.013
BUB3	Budding uninhibited by benzimidazoles 3 homolog	10q26.13	124913760	124924886	0.013
RAB20	Ras-related protein Rab-20	13q34	111175419	111214080	0.027
CARS2	Cysteinyl-tRNA synthetase 2, mitochondrial	13q34	111293759	111358463	0.027
ANKRD10	Ankyrin repeat domain-containing protein 10	13q34	111530887	111567416	0.027
ARHGEF7	Rho guanine nucleotide exchange factor 7	13q34	111767624	111958078	0.021
TUBGCP3	?-tubulin complex component 3	13q34	113139326	113242481	0.021
ATP11A	Probable phospholipid-transporting ATPase IH	13q34	113344643	113541482	0.027
PCID2	PCI domain-containing protein 2	13q34	113831891	113863029	0.027
CUL4A	Cullin-4A	13q34	113863086	113919399	0.021
GRTP1	Growth hormone-regulated TBC protein 1	13q34	113978506	114018463	0.021
DCUN1D2	DCN1-like protein 2	13q34	114110134	114145023	0.027
TMCO3	Transmembrane and coiled-coil domain containing protein 3 Precursor	13q34	114145308	114204542	0.021
CDC16	Cell division cycle protein 16 homolog	13q34	115000362	115038198	0.021
UPF3A	Regulator of nonsense transcripts 3A	13q34	115047078	115071261	0.021
C13orf8	Zinc finger protein 828	13q34	115079988	115092796	0.021
DDX39	ATP-dependent RNA helicase	19p13.12	14519633	14530171	0.035
PKN1	Serine/threonine-protein kinase N1	19p13.12	14544166	14582678	0.035
GIPC1	PDZ domain-containing protein	19p13.12	14588572	14606944	0.042
DNAJB1	DnaJ homolog subfamily B member 1	19p13.12	14625582	14629201	0.035
NDUFB7	NADH dehydrogenase [ubiquinone] 1-? subcomplex subunit 7	19p13.12	14676892	14682886	0.035
SYDE1	Rho GTPase-activating protein	19p13.12	15218214	15225789	0.035
ILVBL	Acetolactate synthase-like protein	19p13.12	15225789	15236577	0.042
NOTCH3	Neurogenic locus notch homolog protein 3 Precursor	19p13.12	15270445	15311792	0.042
BRD4	Bromodomain-containing protein 4	19p13.12	15348301	15391262	0.035
