Symbol	Annotation	Refseq	Unigene	t-Test (P)	Fold
UBE2C	Ubiquitin-conjugating enzyme E2C	NM_007019	Hs.93002	3.40E-18	11.5
C20orf1	Chromosome 20 open reading frame 1	NM_012112	Hs.9329	2.70E-19	6.5
CCNB1	Cyclin B1	NM_031966	Hs.23960	1.30E-18	6.2
CCNB1	Cyclin B1	NM_031966	Hs.23960	1.20E-17	5.9
SLC7A5	Sol. carrier family 7 member 5	NM_003486	Hs.184601	2.00E-13	5.8
TOP2A	Topoisomerase (DNA) II alpha 170 kDa	NM_001067	Hs.156346	1.40E-19	5.7
H2AFX	H2A histone family, member X	NM_002105	Hs.147097	2.60E-14	5.6
SERPINB5	Ovalbumin	NM_002639	Hs.55279	3.30E-05	5.1
NMU	Neuromedin U	NM_006681	Hs.2841	3.90E-07	5
none	SIM: ubiquitin-conjugating enzyme E2-EPF5		Hs.356512	1.90E-16	5.1
MAGEA3	Melanoma antigen family A 3	NM_005362	Hs.36978	1.10E-05	5.1
CKS2	CDC28 protein kinase regulatory subunit 2	NM_001827	Hs.83758	5.00E-21	4.8
STK6	Serine/threonine kinase 6	NM_003600	Hs.250822	4.30E-14	4.8
PSMB8	Proteasome subunit beta type 8	NM_004159	Hs.180062	9.20E-15	4.8
CRABP2	Cellular retinoic acid binding protein 2	NM_001878	Hs.183650	3.50E-05	4.6
FEN1	Flap structure-specific endonuclease 1	NM_004111	Hs.4756	1.10E-18	4.6
CENPF	Centromere protein F, 350/400 kDa (mitosin)	NM_016343	Hs.77204	3.80E-14	4.5
KIAA0101	KIAA0101 gene product	NM_014736	Hs.81892	3.20E-17	4.5
MAGEA3	Melanoma antigen, A3	NM_005362	Hs.36978	2.50E-05	4.5
CCNB2	Cyclin B2	NM_004701	Hs.194698	2.30E-05	4.5
