Probe set name	Gene name	Unigene cluster	Accession	Symbol	Mean fold change	Function
 201890_at	Regulator of G-protein signaling 1	Hs.75256	NM_002922.1	RGS1	10.7	Transcription/Signal transduction
 201435_s_at	Activin beta E	Hs.279497	BC005161.1	INHBE	5.6	Transcription/Signal transduction
 203637_s_at	Prostate differentiation factor	Hs.296638	AF003934.1	PLAB	3.1	Transcription/Signal transduction
 204907_s_at	Inhibitor of DNA binding 2, dominant-negative helix–loop–helix protein	Hs.180919	AI819238	Id2	-3.16	Transcription/Signal transduction
 201625_s_at	Activating transcription factor 5	Hs.9754	BC005174.1	ATF5	5.1	Transcription/Signal transduction
 201589_at	Forkhead box O3A	Hs.14845	AF041336.1	FOXO3A	2.7	Transcription/Signal transduction
 203388_at	DNA-damage-inducible transcript 3	Hs.279946	BC003637.1	DDIT3	2.5	Transcription/Signal transduction
 202816_s_at	Activating transcription factor 3	Hs.460	NM_001674.1	ATF3	2.1	Transcription/Signal transduction
 200707_at	Zinc-finger protein 217	Hs.155040	NM_006526.1	ZNF217	-2.07	Transcription/Signal transduction
 203406_at	Homo sapiens protease, serine, 2	Hs.241561	NM_002770.1	PRSS2	5.9	Protein biosynthesis/degradation/transport
 204258_at	Tribbles homolog 3 (Drosophila)	Hs.26802	NM_021158.1	TRIB3	4	Protein biosynthesis/degradation/transport
 203564_at	Argininosuccinate synthetase	Hs.160786	NM_000050.1	ASS	3.7	Protein biosynthesis/degradation/transport
 204655_at	T-cell receptor beta locus	Hs.303157	AF009664	TCRB	3.4	Protein biosynthesis/degradation/transport
 204023_at	Tryptophanyl-tRNA synthetase	Hs.82030	NM_004184.2	WARS	3.3	Protein biosynthesis/degradation/transport
 201566_x_at	Homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	Hs.146393	AF217990.1	HERPUD1	2.7	Protein biosynthesis/degradation/transport
 204407_at	SH3 domain binding glutamic acid-rich protein	Hs.47438	NM_007341.1	SH3BGR	2.4	Protein biosynthesis/degradation/transport
 202148_s_at	FK506 binding protein precursor	Hs.24048	NM_016594.1	FKBP11	-2.49	Protein biosynthesis/degradation/transport
 203190_at	88-kDa Golgi protein	Hs.182982	AF204231.1	GM88	-2.3	Protein biosynthesis/degradation/transport
 202635_s_at	Protein (peptidyl-prolyl cistrans isomerase) NIMA-interacting 4	Hs.11774	BE674061	PIN4	-2.07	Protein biosynthesis/degradation/transport
 202691_at	Heterogeneous nuclear ribonucleoprotein H1 (H)	Hs.245710	AI022387	HNRPH1	-4.9	DNA/RNA processing
 200846_s_at	Heterogeneous nuclear ribonucleoprotein D	Hs.303627	W74620	HNRPD	-3.28	DNA/RNA processing
 91684_g_at	Splicing factor prolineglutamine rich	Hs.180610	AV705803	SFPQ	-3.04	DNA/RNA processing
 203068_at	Single-stranded DNA-binding protein	Hs.923	BE220360	SSBP1	-2.56	DNA/RNA processing
 203409_at	Heterogeneous nuclear ribonucleoprotein A1	Hs.249495	AI14400	HNRPA1	-2.52	DNA/RNA processing
 201641_at	Ribosomal protein L17	Hs.82202	AA522618	RPL17	-2.15	DNA/RNA processing
 203045_at	Trophinin associated protein	Hs.171955	NM_005480.1	TROAP	-2.66	Cytoskeleton/cell adhesion
 202145_at	Lamin B1	Hs.89497	NM_005573.1	LMNB1	-2.52	Cytoskeleton/cell adhesion
 201658_at	Lectin, galactoside-binding, soluble, 1	Hs.227751	NM_002305.2	LGALS1	-2.15	Cytoskeleton/cell adhesion
 202073_at	Pinin, desmosome associated protein	Hs.44499	AW152664	PNN	-2.07	Cytoskeleton/cell adhesion
 202301_s_at	Interferon-stimulated protein, 15 kDa	Hs.833	NM_005101.1	ISG15	2.8	Immune response
 202209_at	Interferon-induced protein with tetratricopeptide repeats 1	Hs.20315	NM_001548.1	IFIT1	2.7	Immune response
 201952_at	Interleukin 21 receptor	Hs.210546	AF269133.1	IL21R	2.5	Immune response
 202110_at	Interferon regulatory factor 7	Hs.166120	NM_004030.1	IRF7	2.3	Immune response
 204132_s_at	CDC28 protein kinase 2	Hs.83758	NM_001827.1	CKS2	-3.1	Cell cycle
 203113_s_at	Growth arrest-specific 1	Hs.65029	NM_002048.1	GAS1	-2.38	Cell cycle
 202516_s_at	Heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	Hs.75410	AF216292.1	HSPA5	2.6	Metabolism
 201153_s_at	Intestinal cell kinase	Hs.108850	NM_014920.1	ICK	2.5	Metabolism
 204950_at	Spermidinespermine N1-acetyltransferase	Hs.28491	BE971383	SAT	2.1	Metabolism
 204873_at	Aspartate aminotransferase 1	Hs.597	BC000498.1	GOT1	2	Metabolism
 200967_at	Pituitary tumor-transforming 1	Hs.252587	NM_004219.2	PTTG1	-3	Mitosis/proliferation
 202557_at	Antigen identified by monoclonal antibody Ki-67	Hs.80976	AU152107	MKI67	-2.41	Mitosis/proliferation
 201956_s_at	KIAA0718	Hs.158318	AB018261.1	KIAA0718	3.4	Others
 76897_s_at	KIAA0089	Hs.82432	AA135522	KIAA0089	2.9	Others
 202503_s_at	EST	Hs.288582	BF511231	—	2.4	Others
 204752_x_at	Arginine-rich, mutated in early stage tumors	Hs.75412	NM_006010.1	ARMET	2.2	Others
 203718_at	Stromal cell-derived factor 2-like 1	Hs.303116	NM_022044.1	SDF2L1	2	Others
 36499_at	Hypothetical protein FLJ10803	Hs.8173	BC001743.1	FLJ10803	-3.62	Others
 201200_at	Hypothetical protein FLJ10803	Hs.8173	AA554945	FLJ10803	-3.32	Others
 200656_s_at	Hypothetical protein FLJ10517	Hs.279797	NM_018123.1	FLJ10517	-3.32	Others
 200867_at	mRNA full-length insert cDNA clone EUROIMAGE 327506	Hs.195484	AL109714.1	—	-3.01	Others
 201186_at	KIAA0008 gene product	Hs.77695	NM_014750.1	KIAA0008	-2.87	Others
 203029_s_at	Human clone 137308 mRNA, partial cds	Hs.322149	AU134977	—	-2.84	Others
 203405_at	KIAA0618 gene product	Hs.295112	N29665	KIAA0618	-2.56	Others
 204198_s_at	Cisplatin resistance associated	Hs.166066	NM_006697.1	CRA	-2.23	Others
 204569_at	KIAA0365 gene product	Hs.190452	AV738039	KIAA0365	-2.23	Others
 204274_at	Homo sapiens mRNA; cDNA DKFZp564O0122	Hs.22370	AL036840	—	-2.14	Others
