Unigene ID	Symbol	Name	Golub rank	FC	% T/N > 2	Meta-analysis	No of expts	% upregu-lated	% down-regulated	Expression
Hs.171353	DD3	Non-coding RNA DD3	1	10.13	80.49	NA				Upregulated genes in CaP
Hs.182793	LOC51280	Golgi membrane protein GP73 (LOC51280)	2	2.19	57.14	S	2	100		Upregulated genes in CaP
Hs.333303	GJB1	Gap junction protein, beta 1, 32 kDa (connexin 32, Charcot–Marie–Tooth neuropathy, X-linked) (GJB1)	3	1.55	26.83	S	3	66.67		Upregulated genes in CaP
Hs.303171	PSGR	Prostate-specific G protein-coupled receptor (PSGR)	4	2.65	61.9	NA				Upregulated genes in CaP
Hs.387834	ABCC4	ABCC4 ATP-binding cassette, subfamily C (CFTR/MRP), member 4	5	2.55	61.9	NA				Upregulated genes in CaP
Hs.31608	TRPM4	Transient receptor potential cation channel, subfamily M, member 4 (TRPM4)	7	1.88	81.82	NA				Upregulated genes in CaP
Hs.692	TACSTD1	Tumour-associated calcium signal transducer 1 (TACSTD1)	8	1.95	38.1	S	2	100		Upregulated genes in CaP
Hs.274509		T-cell receptor aberrantly rearranged gamma-chain	9	3.95	81.58	S	2	100		Upregulated genes in CaP
Hs.271980	MAPK6	Mitogen-activated protein kinase 6 (MAPK6)	10	1.34	11.9	S	4	100		Upregulated genes in CaP
Hs.272458	DKFZp761L0516	DKFZp761L0516	11	1.81	42.86	S	3	66.67		Upregulated genes in CaP
Hs.21293	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1 (UAP1)	12	1.46	19.05	S	3	100		Upregulated genes in CaP
Hs.8859	3898917	Similar to RIKEN cDNA 5830420C20 gene, clone MGC:10104 IMAGE:3898917	14	1.84	38.1	NA				Upregulated genes in CaP
Hs.118638	NME1	Non-metastatic cells 1, protein (NM23A) expressed in (NME1)	15	1.39	9.52	S	3	100		Upregulated genes in CaP
Hs.75497	TP53INP1	Tumour protein p53 inducible nuclear protein 1 (TP53INP1)	16	1.79	40.48	NA				Upregulated genes in CaP
Hs.38085	MGC15937	Similar to RIKEN cDNA 0610008P16 gene (MGC15937)	17	1.61	36.11	NA				Upregulated genes in CaP
Hs.230	FMOD	Fibromodulin (FMOD)	18	1.47	30.95	S	4	100		Upregulated genes in CaP
Hs.38972	TSPAN-1	Tetraspan 1 (TSPAN-1)	20	1.5	45.24	NS	2	0		Upregulated genes in CaP
Hs.343566	KIAA0251	KIAA0251 gene	21	1.35	7.14	NS	3	33.33		Upregulated genes in CaP
Hs.9614	NPM1	Nucleophosmin (nucleolar phosphoprotein B23, numatrin) (NPM1)	22	1.26	4.76	NS	1	100		Upregulated genes in CaP
Hs.108802	NSF	NSF N-ethylmaleimide-sensitive factor	23	1.42	19.51	S	4	75		Upregulated genes in CaP
Hs.299867	HNF3A	Hepatocyte nuclear factor 3, alpha (HNF3A)	24	1.53	42.86	S	2	100		Upregulated genes in CaP
Hs.60679	TAF2G	TATA box binding protein (TBP)-associated factor, RNA polymerase II, G, 32 kDa (TAF2G)	25	1.41	11.9	S	2	50		Upregulated genes in CaP
Hs.75441	HSD17B4	Hydroxysteroid (17-beta)-dehydrogenase 4 (HSD17B4)	27	1.76	35.71	S	4	75		Upregulated genes in CaP
Hs.2442	ADAM9	A disintegrin and metalloproteinase domain 9 (meltrin gamma) (ADAM9)	29	1.39	16.67	S	3	66.67		Upregulated genes in CaP
Hs.191356	GTF2H2	General transcription factor IIH, polypeptide 2 (44 kDa subunit) (GTF2H2)	30	1.27	10.26	NS	1	100		Upregulated genes in CaP
Hs.12540	LYPLA1	Lysophospholipase I (LYPLA1)	31	1.55	23.81	S	3	66.67		Upregulated genes in CaP
Hs.256301	MGC13170	Hypothetical protein MGC13170 (MGC13170)	33	1.3	12.5	NA				Upregulated genes in CaP
Hs.75618	RAB11A	RAB11A, member RAS oncogene family (RAB11A)	34	1.48	9.52	S	4	75		Upregulated genes in CaP
Hs.8402	MGC11266	Hypothetical protein MGC11266	35	1.45	21.43	NS	2	0		Upregulated genes in CaP
Hs.323567	CD36L2	CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 2 (lysosomal integral membrane protein II) (CD36L2)	36	1.37	9.52	S	2	50		Upregulated genes in CaP
