ID probe set	(i)	R-fold	RT–PCR/WB validation	Gene symbol	Dendrog. cluster	Gene name	Function
97529_at	7.9148	1.575	3.25	Anxa8	7	Annexin A8	Immunity and defense
98008_at	6.7923	1.2391	5.1	Cx3cl1	7	Chemokine (C-X3-C motif) ligand 1	Immunity and defense
102791_at	5.8607	1.3831	35.51	Psmb8	6	Proteosome (prosome, macropain) subunit, beta type 8 (large multifunctional protease 7)	Immunity and defense
101853_f_at	5.8585	1.2039	15.46	Cfh	8	Complement component factor h	Immunity and defense
98633_at	5.424	1.0649		Tmem43	7	Transmembrane protein 43	Immunity and defense
101587_at	5.3339	1.2189	10.56	Ephx1	7	Epoxide hydrolase 1, microsomal	Immunity and defense
93871_at	5.1419	1.7128	6.28	Il1rn	8	Interleukin 1 receptor antagonist	Immunity and defense
103035_at	4.8538	1.2837		Tap1	6	Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	Immunity and defense
101886_f_at	4.5373	1.1826		H2-D1	6	Histocompatibility 2, D region locus 1	Immunity and defense
93940_at	4.5952	1.1372		Pon3		Paraoxonase3	Immunity and defense
93088_at	4.4844	1.087		B2m	6	Beta-2 microglobulin	Immunity and defense
93714_f_at	4.3077	1.1555		H2-Q7	6	Histocompatibility 2, Q region locus 7	Immunity and defense
104093_at	4.2406	1.1565	2.14/	Lsp1	5	Lymphocyte specific 1	Immunity and defense
98438_f_at	4.2196	1.2146		H2-Q7	6	Histocompatibility 2, Q region locus 7	Immunity and defense
102906_at	9.8515	1.7115	3.48	Tgtp	6	T-cell-specific GTPase	Response to IFN
92718_at	6.7729	1.6248		Ifi27	6	Interferon, alpha-inducible protein 27	Response to IFN
96764_at	6.1102	1.443	10.56	Iigp1	6	Interferon-inducible GTPase 1	Response to IFN
98822_at	5.6351	1.4266	6.96	G1p2	6	Interferon, alpha-inducible protein	Response to IFN
103963_f_at	5.5959	1.262	10.56	Iigp1	6	Interferon-inducible GTPase 1	Response to IFN
98465_f_at	5.5116	1.2691	2.83/	Ifi204	8	Interferon activated gene 204	Response to IFN
94774_at	5.3064	1.4376	17.15	Ifi202b	8	Interferon-activated gene 202B	Response to IFN
100981_at	5.2588	1.5543	9.85	Ifit1	7	Interferon-induced protein with tetratricopeptide repeats 1	Response to IFN
98466_r_at	5.1987	1.1884	2.83/	Ifi204	8	Interferon-activated gene 204	Response to IFN
104597_at	5.1922	1.333	6.96	Gbp2	7	Guanylate nucleotide binding protein 2	Response to IFN
161173_f_at	5.1538	1.3696	17.15	Ifi202b	8	Interferon-activated gene 202b	Response to IFN
93321_at	5.0812	1.3667	3.25/	Ifi203	6	Interferon-activated gene 203	Response to IFN
101465_at	4.9881	1.4978	6.28/	Stat1	6	Signal transducer and activator of transcription 1	Response to IFN
97409_at	4.9319	1.2568	15.45	Ifi1	6	Interferon inducible protein 1	Response to IFN
103446_at	4.6672	1.3416		Ifih1	6	Interferon induced with helicase C domain 1	Response to IFN
100013_at	4.4622	1.2026		Ifi35	6	Interferon-induced protein 35	Response to IFN
161511_f_at	4.3611	1.7275	6.96	G1p2	6	Interferon, alpha-inducible protein	Response to IFN
103723_at	4.3053	1.2236	1.46	Il13ra1	8	Interleukin 13 receptor, alpha 1	Response to IFN
