Permutation P-value	GenBank ID	Symbol	Gene name
1.14E-12	U63743	KNSL6	Kinesin-like 6 (mitotic centromere-associated kinesin)
3.72E-10	S74678	HNRPK	Heterogeneous nuclear ribonucleoprotein K
4.08E-07	U12707	WAS	Wiskott–Aldrich syndrome (eczema–thrombocytopenia)
1.21E-06	D56784	DEK	DEK oncogene (DNA binding)
1.54E-06	U31383	GNG10	Guanine nucleotide-binding protein 10
2.98E-06	H06970	STK24	Serine/threonine kinase 24 (Ste20, yeast homolog)
9.90E-06	AF038954	ATP6J	ATPase, H+ transporting, lysosomal (vacuolar proton pump), member J
2.72E-05	W19984	DREV1	CGI-81 protein
5.27E-05	AA282650	SAC1	Suppressor of actin 1
7.45E-05	U16738	RPL14	Ribosomal protein L14
0.0002	AA614311	VCP	Valosin-containing protein
0.0003	AF006088	ARPC5	Actin-related protein 2/3 complex, subunit 5 (16 kDa)
0.0004	AF007871	DYT1	Dystonia 1, torsion (autosomal dominant; torsin A)
0.0008	AA904028	PAPPA	Pregnancy-associated plasma protein A
0.0011	D21090	RAD23B	RAD23 (S. cerevisiae) homolog B
0.0013	AA910279	STAU	Staufen (Drosophila, RNA-binding protein)
0.0015	T69711		EST
0.0018	AA226073	ITM2C	Integral membrane protein 2C
0.002	AI338282	TIGA1	Homo sapiens mRNA; cDNA DKFZp566L203 (from clone DKFZp566L203)
0.002	AA583455	RNF7	Ring-finger protein 7
0.002	AA731151	KIAA1085	KIAA1085 protein
0.0023	U14575	PPP1R8	Protein phosphatase 1, regulatory (inhibitor) subunit 8
0.0024	AA843756	ID2	Inhibitor of DNA binding 2, dominant negative helix–loop–helix protein
0.0027	M81637	GCL	Grancalcin
0.0033	L37368	RNPS1	RNA-binding protein S1, serine-rich domain
0.0037	AK000403	FLJ20396	Hypothetical protein FLJ20396
0.0045	AF076483	PGLYRP	Peptidoglycan recognition protein
0.0048	D13315	GLO1	Glyoxalase I
0.0049	U66818	UBE2I	Ubiquitin-conjugating enzyme E2I (homologous to yeast UBC9)
0.005	X56351	ALAS1	Aminolevulinate, delta-, synthase 1
0.0054	L08424	ASCL1	Achaete-scute complex (Drosophila) homolog-like 1
0.0054	X15187	TRA1	Tumor rejection antigen (gp96) 1
