Accession no.	Gene symbol	Function	Fold difference in geometric means	F testP	Expression
X78947	IGFBP8	Growth factor	123.88	5.13E-05	Up-regulated
M77349	TGFBIG	Adhesion/ECM	121.08	5.25E-05	Up-regulated
V01512	cFos	Oncogene	91.72	8.02E-08	Up-regulated
X04430	IFN-b2A	Growth factor	76.19	0.000492	Up-regulated
J03040	SPARC / osteonectin	ECM	56.96	7.97E-05	Up-regulated
M12125	tropomyosin / TPM2	Cytoskeleton	56.47	3.91E-05	Up-regulated
J03464	CO1A2	ECM	45.27	0.000677	Up-regulated
X15998	versican	ECM	42.57	1.78E-05	Up-regulated
K00650	cFos	Oncogene	41.98	1.86E-05	Up-regulated
V00503	CO1A2	ECM	38.02	4.84E-05	Up-regulated
X68277	CL100	Signaling	34.36	3.22E-06	Up-regulated
U24389	LOXL1	Metabolism	31.69	9.37E-06	Up-regulated
M17733	TMSB4X	Cytoskeleton	30.18	0.000114	Up-regulated
X52022	COL6A3	ECM	28.31	2.56E-05	Up-regulated
X13839	ACTSA	Cytoskeleton	27.78	9.71E-05	Up-regulated
S77154	NR4A2	Transcription factor	22.62	1.44E-06	Up-regulated
M35878	IGFBP3	Angiogenesis	20.92	0.000238	Up-regulated
L12350	THBS2	ECM	16.81	0.000253	Up-regulated
M19267	TPM1	Cytoskeleton	16.64	0.000244	Up-regulated
U03057	HSN	Cytoskeleton	15.98	0.000723	Up-regulated
U08021	NNMT	Metabolism	15.79	0.000352	Up-regulated
M55153	TGM2	Metabolism	14.42	0.000228	Up-regulated
S81914	IER3	Transcription factor	14.08	0.000231	Up-regulated
J04130	Act-2 / MIP1b	Chemokine	13.67	6.80E-07	Up-regulated
L19182	IGFBP4	IGF regulation/growth	13.59	0.000327	Up-regulated
M36820	GROb	Chemokine	11.09	0.000229	Up-regulated
AB029000	KIAA1077	Unknown	10.96	9.56E-05	Up-regulated
S78569	LAMA 4	ECM	10.58	0.000138	Up-regulated
M14083	PAI 1	ECM	10.52	0.000262	Up-regulated
U97669	NOTCH 3	Signaling	10.09	5.05E-06	Up-regulated
M27830	28S ribosomal RNA	Translation	9.9	0.000126	Up-regulated
L49169	RGS2	Cell cycle	9.74	0.000186	Up-regulated
L13463	GOS3	Cell cycle	9.59	0.000949	Up-regulated
AB018293	KIAA0750	Unknown	9.16	0.000933	Up-regulated
M58459	RPS4Y	Translation	9.16	0.000423	Up-regulated
S59049	RGS1	B-cell activation	8.99	0.000579	Up-regulated
D32039	CSPG2	Proteoglycan/ECM	8.89	0.000748	Up-regulated
D90144	LD78 / Mip1a	Osteoclastogenic factor/chemokine	8.86	1.87E-05	Up-regulated
AF052119	EST	Unknown	8.13	0.000464	Up-regulated
AL096713	EST	Unknown	8.1	0.000728	Up-regulated
AI246894	EST	Unknown	7.87	0.000453	Up-regulated
AF056085	GPR 51	GABA receptor	7.71	0.000891	Up-regulated
X15880	COL6A1	ECM	7.5	0.000988	Up-regulated
M69043	NFKBIA	Signaling	7.11	4.57E-06	Up-regulated
L16895	LOX	Metabolism	6.87	0.000644	Up-regulated
AJ001612	PSPHL	Signaling	3.5	4.69E-05	Down-regulated
S68805	GATM	Metabolism	2.66	1.24E-05	Down-regulated
M55067	CGD	Metabolism	2.32	0.00083	Down-regulated
U77949	CDC6	Cell cycle	2.19	6.47E-05	Down-regulated
AB014597	KIAA0697	Unknown	2.12	0.000558	Down-regulated
