GenBank accession no.	Gene symbol	Gene name (Ref.)	Fold Controlvs. E	Ewdvs.E	Expression
NM_000125.1	ESR1	Estrogen receptor 1 (473 )	2.7	NC	Up-regulated
NM_005414.1	SKIL	SKI-like (11 )	2.6	NC	Up-regulated
AF162704.1	AR	Androgen receptor (74)	2.5	NC	Up-regulated
AI424243	SCUBE2	Signal peptide, CUB domain, EGF-like 2	2.5	NC	Up-regulated
AW299958	PAPSS2	3?-Phosphoadenosine 5?-phosphosulfate synthase 2	2.5	NC	Up-regulated
NM_024826.1	FLJ21159	Hypothetical protein FLJ21159	2.4	NC	Up-regulated
M90657.1	TM4SF1	Transmembrane 4 superfamily member 1(9 )	2.4	NC	Up-regulated
BC003600.1	LMO4	LIM domain only 4	2.3	NC	Up-regulated
NM_017797.1	BTBD2	BTB (POZ) domain containing 2	2.1	NC	Up-regulated
AF022375.1	VEGF	Vascular endothelial growth factor (75 )	2.1	NC	Up-regulated
BF001665	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	2	NC	Up-regulated
NM_000933.1	PLCB4	Phospholipase C, beta 4	2	NC	Up-regulated
BF110421	EGFL5	EGF-like-domain, multiple 5	2	NC	Up-regulated
NM_024573.1	C6ORF211	Chromosome 6 open reading frame 211	1.9	NC	Up-regulated
NM_000637.1	GSR	Glutathione reductase	1.9	NC	Up-regulated
NM_019058.1	RTP801	HIF-1 responsive RTP801 (9 )	1.9	NC	Up-regulated
NM_004566.1	PFKFB3	6-Phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	1.8	NC	Up-regulated
NM_007016.1	PP35	Protein similar to E. coli yhdg and R. capsulatus nifR3	1.8	NC	Up-regulated
NM_017826.1	FLJ20449	Hypothetical protein FLJ20449	1.7	NC	Up-regulated
NM_001873.1	CPE	Carboxypeptidase E(76 )	1.7	NC	Up-regulated
NM_002731.1	PRKACB	Protein kinase, cAMP-dependent, catalytic, beta	1.7	NC	Up-regulated
NM_014583.1	LMCD1	LIM and cysteine-rich domains 1	1.7	NC	Up-regulated
AF088867.1	AGR2	Anterior gradient 2 homolog (Xenopus laevis)	1.7	NC	Up-regulated
AL583520	CALD1	Caldesmon 1	1.6	NC	Up-regulated
NM_014782.1	ALEX2	Armadillo repeat protein ALEX2	1.6	NC	Up-regulated
U70862.1	NFIB	Nuclear factor I/B	1.6	NC	Up-regulated
BE973687	HES1	Hairy and enhancer of split 1, (Drosophila) (6)	1.6	NC	Up-regulated
X79067.1	ZFP36L1	Zinc finger protein 36, C3H type-like 1 (76 )	1.6	NC	Up-regulated
AJ002572.1	C21ORF107	Chromosome 21 open reading frame 107	1.6	NC	Up-regulated
NM_003831.1	RIOK3	RIO kinase 3 (yeast)	1.6	NC	Up-regulated
AL096842.1	MTSG1	Mitochondrial tumor suppressor gene 1	1.6	NC	Up-regulated
AF118887.1	VAV3	vav 3 oncogene	1.6	NC	Up-regulated
AF119873.1	SERPINA1	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1(3 )	1.6	NC	Up-regulated
NM_004052.2	BNIP3	BCL2/adenovirus E1B interacting protein 3(77 )	1.6	NC	Up-regulated
NM_014380.1	NGFRAP1	Nerve growth factor receptor (TNFRSF16) associated protein 1	1.6	NC	Up-regulated
BC002449.1	EFHD1	EF hand domain containing 1 (FLJ13612)	1.6	NC	Up-regulated
AJ224869	CXCR4	Chemokine (C-X-C motif) receptor 4	1.5	1.4	Up-regulated
K01144.1	CD74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	1.5	1.2	Up-regulated
