Gene	Genbank accession no.	Symbol	Fold difference	Associated with† Human cancer	Human breast cancer	Metastasis	Adhesion	Migration	Invasion	Functional Category
Caspase recruitment domain family, member 10	BG085048	Card10	15.33	Y						Cell growth and survival
Angiomotin-like 1	AW537935	Amotl1	8.29				Y	Y		Cell growth and survival
Keratin complex 1, acidic, gene 18	BG077966	Krt1-18	7.31	Y	Y	Y		Y	Y	Cell growth and survival
Junction plakoglobin	BG077247	Jup	6.68	Y	Y		Y			Cell growth and survival
Kruppel-like factor 4 (gut)	BG069413	Klf4	0.22	Y	Y					Cell growth and survival
Semaphorin E	BG086959	Sema3c	0.21	Y	Y	Y		Y		Cell growth and survival
Growth arrest specific 1	BG087671	Gas1	0.09	Y						Cell growth and survival
Placenta and embryos oncofetal gene	BG078428	Pem	0.03							Cell growth and survival
Heat shock protein 1	BG070071	Hspb1	7.61	Y	Y					Metabolism
ATP citrate lyase	AW538652	Acly	5.12	Y	Y					Metabolism
S100 calcium binding protein A9 (calgranulin B)	BG072801	S100a9	4.77	Y	Y		Y	Y	Y	Metabolism
Endothelin-converting enzyme 1	BG083532	LOC230857	4.66	Y				Y		Metabolism
ATPase, Na+/K+transporting, ?1 polypeptide	AW544616	Atp1b1	4.45							Metabolism
Solute carrier organic anion transporter family, member 2a1	BG072114	Slco2a1	4.44							Metabolism
UDP-N-acetyl-?-D-galactosamine/polypeptide N-acetyl-galactosaminyltransferase 3	BG068045	Galnt3	4.39	Y		Y	Y		Y	Metabolism
Peptidylprolyl isomerase C	BG065249	Ppic	0.21	Y						Metabolism
Very low density lipoprotein receptor	BG084234	Vldlr	0.1	Y	Y					Metabolism
Epoxide hydrolase 1, microsomal	BG072453	Ephx1	0.1	Y						Metabolism
N-acetylated ?-linked acidic dipeptidase 2	BG082322	Naalad2	0.03							Metabolism
Serine protease inhibitor 4	BG079624	SPI4	70.77	Y				Y	Y	Proteolysis
Serine protease inhibitor, Kunitz type 1	BG079254	Spint1	25.49	Y	Y	Y	Y	Y	Y	Proteolysis
Serine protease inhibitor, Kunitz type 2	BG085206	Spint2	7.02	Y	Y	Y	Y	Y	Y	Proteolysis
Transglutaminase 2, C polypeptide	BG074617	Tgm2	4.23	Y	Y	Y	Y			Proteolysis
POEM	BG074516	POEM	86.33				Y			Cell communication
Cell adhesion molecule-related/down-regulated by oncogenes	BG088280	Cdon	22.52	Y	Y		Y	Y		Cell communication
Tumor necrosis factor receptor superfamily, member 19	BG072211	Tnfrsf19	19.11							Cell communication
Protein tyrosine phosphatase, receptor type F	BG088014	Ptprf	15.98				Y			Cell communication
Anthrax toxin receptor 1	BG069464	Antxr1	9.59	Y						Cell communication
PTK7 protein tyrosine kinase 7	BG086779	Ptk7	9.04	Y		Y				Cell communication
Lectin, galactose-binding,soluble 2	BG074082	Lgals2	7	Y			Y	Y	Y	Cell communication
Matrix ?-carboxyglutamate (Gla) protein	BG074366	Mglap	6.15	Y						Cell communication
Transforming growth factor ?2	BG067564	Tgfb2	5.58	Y	Y	Y		Y		Cell communication
F11 receptor	BG075763	F11r	4.66				Y			Cell communication
Gap junction membrane channel protein ?3	BG063176	Gjb3	4.09	Y		Y	Y			Cell communication
Myotubularin-related protein 2	BG083487	Mtmr2	4.1							Cell communication
Glucocorticoid-induced gene 1	BG070494	Gig1	28.64							Currently unknown
DEAH (Asp-Glu-Ala-His) box polypeptide 40	BG071382	Dhx40	14.22							Currently unknown
Plexin B1	BG085089	Plxnb1	8.62	Y						Currently unknown
Tumor protein D52-like 1	BG080670	Tpd52l1	5.47	Y	Y					Currently unknown
Zinc finger protein 503	BG074838	Zfp503	5.26							Currently unknown
Latexin	BG086942	Lxn	0.2							Currently unknown
X-linked lymphocyte-regulated 3b	BG081054	Xlr3b	0.12							Currently unknown
G protein-coupled receptor 124	BG073664	Gpr124	0.1							Currently unknown
