Genes	MDA-MB-231 6 h	24 h	48 h	Function
NM_004702.1, cyclin E2 (CCNE2)	NC	?2.2	?4.2	Cell cycle, apoptosis, and cell proliferation
AI343459, cdc25A	NC	?6.9	?13.9	Cell cycle, apoptosis, and cell proliferation
NM_001760.1, cyclin D3 (CCND3)	NC	?1.5	?2.4	Cell cycle, apoptosis, and cell proliferation
NM_001197.2, BCL2-interacting killer (apoptosis-inducing; BIK)	NC	NC	NC	Cell cycle, apoptosis, and cell proliferation
NM_004749.1, cell cycle progression 2 protein (CPR2)	NC	?1.4	?2.1	Cell cycle, apoptosis, and cell proliferation
NM_006739.1, cdc46 (MCM5)	NC	?1.7	?3.4	Cell cycle, apoptosis, and cell proliferation
NM_002592.1, proliferating cell nuclear antigen (PCNA)	NC	NC	?2.5	Cell cycle, apoptosis, and cell proliferation
NM_004526.1, mitotin (MCM2)	NC	?2.1	?4.0	Cell cycle, apoptosis, and cell proliferation
NM_001237.1, cyclin A2 (CCNA2)	NC	?1.8	?4.0	Cell cycle, apoptosis, and cell proliferation
AA648913, survivin (BIRC5)	NC	?1.5	?2.4	Cell cycle, apoptosis, and cell proliferation
AF033111.1, Siva-2	NC	?1.7	?2.6	Cell cycle, apoptosis, and cell proliferation
NM_005860.1, follistatin-like 3 (secreted glycoprotein;FSTL3)	?1.8	?1.7	?1.6	Cell cycle, apoptosis, and cell proliferation
AB011446.1, mRNA for Aik2	NC	?2.0	?4.9	Cell cycle, apoptosis, and cell proliferation
M73554.1, bcl-1 mRNA	NC	?1.4	?2.4	Cell cycle, apoptosis, and cell proliferation
NM_001924.2, growth arrest and DNA damage–inducible, alpha (GADD45A)	NC	NC	1.4	Cell cycle, apoptosis, and cell proliferation
NM_005030.1, polo (Drosophila)-like kinase (PLK)	NC	?2.1	?4.0	Cell cycle, apoptosis, and cell proliferation
D64137, CDK inhibitor 1C (p57Kip2)	NC	22.6†	6.9 †	Cell cycle, apoptosis, and cell proliferation
NM_000389.1, CDK inhibitor 1A (p21Cip1)	1.51	1.7†	4.0 †	Cell cycle, apoptosis, and cell proliferation
BF061658, transforming growth factor-?2	?2.6	?1.8	?2.8	Cell cycle, apoptosis, and cell proliferation
NM_00145, FOXO3A	1	1.6	2	Cell cycle, apoptosis, and cell proliferation
NM_003954.1, mitogen-activated protein kinase kinase kinase 14 (MAP3K14)	NC	?1.7	?1.6	Kinase, cell signaling, and cell structure
NM_030662.1, mitogen-activated protein kinase kinase 2 (MAP2K2)	NC	NC	NC	Kinase, cell signaling, and cell structure
AW025150, mitogen-activated protein kinase kinase kinase 12	NC	NC	?1.8	Kinase, cell signaling, and cell structure
D31661.1, mRNA for tyrosine kinase (EPHB2)	NC	?2.1	?1.6	Kinase, cell signaling, and cell structure
NM_007019.1, ubiquitin carrier protein E2-C (UBCH10)	NC	?1.7	?3.7	Kinase, cell signaling, and cell structure
NM_021953.1, forkhead box M1 (FOXM1)	NC	?2.0	?4.5	Transcription and translation
NM_005225.1, E2F transcription factor 1 (E2F1)	NC	NC	?4.2	Transcription and translation
AF360549.1, BRCA1-binding helicase-like protein BACH1	NC	NC	?2.6	Transcription and translation
NM_005342.1, high-mobility group (nonhistone chromosomal) protein 4 (HMG4)	1.1	NC	?1.6	Transcription and translation
U63824, human transcription factor RTEF-1 (RTEF1)	NC	?2.1	?3.0	Transcription and translation
NM_006312.1, nuclear receptor corepressor 2 (NCOR2)	NC	?1.5	?1.6	Transcription and translation
NM_007111.1, transcription factor Dp-1 (TFDP1)	NC	?1.5	?2.8	Transcription and translation
M92934.1, connective tissue growth factor (CTGF)	?2.2	?2.4	?6.9	Angiogenesis, metastasis, and invasion
NM_006342.1, transforming, acidic coiled-coil containing protein 3 (TACC3)	NC	?2.0	?4.2	Angiogenesis, metastasis, and invasion
NM_016639.1, I transmembrane protein Fn14 (FN14)	NC	?1.6	?1.5	Angiogenesis, metastasis, and invasion
NM_002826.2, quiescin Q6 (QSCN6)	?1.2	?1.3	?1.6	Angiogenesis, metastasis, and invasion
NM_005242.2, coagulation factor II (thrombin) receptor-like 1 (F2RL1)	NC	NC	?1.7	Angiogenesis, metastasis, and invasion
NM_003600.1, serine-threonine kinase 15 (STK15)	NC	NC	?2.6	Angiogenesis, metastasis, and invasion
NM_001274.1, CHK1 (checkpoint, Schizosaccharomyces pombe) homologue (CHEK1)	NC	NC	?2.4	Angiogenesis, metastasis, and invasion
