Fold	Gene Name	P-value	Common	Genbank	Description
4.41	200670_at	6.86E-19	XBP1	NM_005080	X-box binding protein 1
3.213	201596_x_at	7.87E-12	KRT18	NM_000224	keratin 18
3.411	201825_s_at	1.76E-14	CGI-49	AL572542	CGI-49 protein
3.798	201951_at	8.89E-12	ALCAM	BF242905	activated leukocyte cell adhesion molecule
3.102	201952_at	1.37E-11	ALCAM	AA156721	activated leukocyte cell adhesion molecule
4.611	202088_at	4.47E-19		AI635449	ts65a01.x1 NCI_CGAP_Kid8 Homo sapiens cDNA clone IMAGE:2233416 3, mRNA sequence.
4.802	202089_s_at	3.93E-17	SLC39A6	NM_012319	solute carrier family 39 (zinc transporter), member 6
3.428	202357_s_at	6.08E-07	BF	NM_001710	B-factor, properdin
3.174	202752_x_at	1.50E-12	SLC7A8	NM_012244	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
6.112	203071_at	4.63E-15	SEMA3B	NM_004636	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B
3.905	203108_at	2.13E-06	RAI3	NM_003979	retinoic acid induced 3
4.295	203438_at	6.54E-07	STC2	AI435828	stanniocalcin 2
7.1	203453_at	3.65E-12	SCNN1A	NM_001038	sodium channel, nonvoltage-gated 1 alpha
3.426	203571_s_at	2.37E-08	APM2	NM_006829	adipose specific 2
3.069	203685_at	3.68E-15	BCL2	NM_000633	B-cell CLL/lymphoma 2
3.1	203789_s_at	5.63E-10	SEMA3C	NM_006379	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
3.357	203928_x_at	6.44E-14	MAPT	AI870749	microtubule-associated protein tau
3.527	203929_s_at	3.43E-13	MAPT	AI056359	microtubule-associated protein tau
7.099	203963_at	2.18E-22	CA12	NM_001218	carbonic anhydrase XII
3.029	203998_s_at	3.22E-05	SYT1	AV723167	synaptotagmin I
3.999	204014_at	1.99E-06	DUSP4	NM_001394	dual specificity phosphatase 4
10.6	204508_s_at	1.64E-20	CA12	BC001012	carbonic anhydrase XII
3.631	204540_at	8.73E-05	EEF1A2	NM_001958	eukaryotic translation elongation factor 1 alpha 2
27.07	204623_at	7.20E-24	TFF3	NM_003226	trefoil factor 3 (intestinal)
7.062	204667_at	7.36E-22	FOXA1	NM_004496	forkhead box A1
6.305	204798_at	7.25E-19	MYB	NM_005375	v-myb myeloblastosis viral oncogene homolog (avian)
34.14	205009_at	3.76E-26	TFF1	NM_003225	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)
6.577	205081_at	1.79E-15	CRIP2	NM_001311	cysteine-rich protein 2
3.509	205161_s_at	2.12E-09	PEX11A	NM_003847	peroxisomal biogenesis factor 11A
12.17	205186_at	9.41E-19	DNALI1	NM_003462	dynein, axonemal, light intermediate polypeptide 1
21.2	205225_at	2.19E-32	ESR1	NM_000125	estrogen receptor 1
3.243	205239_at	5.55E-06	AREG	NM_001657	amphiregulin (schwannoma-derived growth factor)
5.037	205354_at	5.85E-12	GAMT	NM_000156	guanidinoacetate N-methyltransferase
3.932	205355_at	1.01E-10	ACADSB	NM_001609	acyl-Coenzyme A dehydrogenase, short/branched chain
3.531	205364_at	2.33E-10	ACOX2	NM_003500	acyl-Coenzyme A oxidase 2, branched chain
3.866	205376_at	2.34E-14	INPP4B	NM_003866	inositol polyphosphate-4-phosphatase, type II, 105kDa
4.068	205380_at	2.71E-08	PDZK1	NM_002614	PDZ domain containing 1
3.31	205382_s_at	1.31E-07	DF	NM_001928	D component of complement (adipsin)
3.153	205447_s_at	3.08E-09	MAP3K12	BE222201	mitogen-activated protein kinase kinase kinase 12
4.513	205471_s_at	1.67E-10	DACH	AW772082	dachshund homolog (Drosophila)
3.469	205472_s_at	1.44E-06	DACH	NM_004392	dachshund homolog (Drosophila)
4.892	205597_at	1.88E-19	C6orf29	NM_025257	chromosome 6 open reading frame 29
3.532	205613_at	4.11E-09	LOC51760	NM_016524	B/K protein
5.401	205696_s_at	2.06E-14	GFRA1	NM_005264	GDNF family receptor alpha 1
3.158	205768_s_at	2.49E-06	SLC27A2	NM_003645	solute carrier family 27 (fatty acid transporter), member 2
3.381	205830_at	2.26E-06	CLGN	NM_004362	calmegin
11.77	205862_at	4.28E-15	GREB1	NM_014668	GREB1 protein
12.45	206378_at	1.15E-07	SCGB2A2	NM_002411	secretoglobin, family 2A, member 2
5.627	206401_s_at	6.94E-12	MAPT	J03778	microtubule-associated protein tau
5.273	206463_s_at	2.62E-05	DHRS2	NM_005794	dehydrogenase/reductase (SDR family) member 2
10.64	206509_at	1.44E-10	PIP	NM_002652	prolactin-induced protein
12.8	206754_s_at	2.09E-13	CYP2B6	NM_000767	cytochrome P450, family 2, subfamily B, polypeptide 6
9.165	206799_at	1.92E-05	SCGB1D2	NM_006551	secretoglobin, family 1D, member 2
3.511	206869_at	3.11E-06	CHAD	NM_001267	chondroadherin
3.388	207038_at	3.89E-12	SLC16A6	NM_004694	solute carrier family 16 (monocarboxylic acid transporters), member 6
5.277	207056_s_at	1.50E-12	SLC4A8	NM_004858	solute carrier family 4, sodium bicarbonate cotransporter, member 8
4.335	207847_s_at	6.73E-12	MUC1	NM_002456	mucin 1, transmembrane
6.942	208305_at	3.78E-11	PGR	NM_000926	progesterone receptor
4.946	208451_s_at	7.02E-12	C4A	NM_000592	complement component 4A
5.219	209114_at	5.96E-14	TSPAN-1	AF133425	tetraspan 1
32.14	209173_at	2.68E-20	AGR2	AF088867	anterior gradient 2 homolog (Xenopus laevis)
5.656	209309_at	1.02E-09	AZGP1	D90427	alpha-2-glycoprotein 1, zinc
4.591	209443_at	3.58E-08	SERPINA3	J02639	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
7.294	209459_s_at	1.60E-15	ABAT	AF237813	4-aminobutyrate aminotransferase
5.457	209460_at	1.51E-17	ABAT	AF237813	4-aminobutyrate aminotransferase
12.77	209602_s_at	9.11E-21	GATA3	AI796169	GATA binding protein 3
9.933	209603_at	4.71E-27	GATA3	AI796169	GATA binding protein 3
10.4	209604_s_at	2.41E-27	GATA3	BC003070	GATA binding protein 3
3.987	209696_at	6.82E-19	FBP1	D26054	fructose-1,6-bisphosphatase 1
3.159	209740_s_at	3.03E-09	DXS1283E	U03886	GS2 gene
3.408	210056_at	5.37E-11	RND1	U69563	Rho family GTPase 1
3	210084_x_at	3.13E-05	TPS1	AF206665	tryptase, alpha
6.472	210085_s_at	1.11E-16	ANXA9	AF230929	annexin A9
4.08	210108_at	5.31E-12	CACNA1D	BE550599	calcium channel, voltage-dependent, L type, alpha 1D subunit
6.698	210272_at	3.78E-09	CYP2B7	M29873	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene
3.198	210480_s_at	3.44E-07	MYO6	U90236	myosin VI
3.538	210523_at	8.09E-06	BMPR1B	D89675	bone morphogenetic protein receptor, type IB
3.532	210652_s_at	1.99E-11	C1orf34	BC004399	chromosome 1 open reading frame 34
5.759	210735_s_at	1.60E-23	CA12	BC000278	carbonic anhydrase XII
4.337	211110_s_at	7.86E-11	AR	AF162704	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
3.663	211233_x_at	9.48E-12	ESR1	M12674	estrogen receptor 1
3.42	211234_x_at	1.18E-12	ESR1	AF258449	estrogen receptor 1
4.938	211235_s_at	7.42E-14	ESR1	AF258450	estrogen receptor 1
5.073	211421_s_at	4.08E-10	RET	M31213	ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)
4.246	211712_s_at	8.37E-15	ANXA9	BC005830	annexin A9
3.327	212099_at	1.40E-21	ARHB	AI263909	ras homolog gene family, member B
3.004	212148_at	2.88E-15	PBX1	AL049381	pre-B-cell leukemia transcription factor 1
4.099	212444_at	1.97E-07	RAI3	AA156240	retinoic acid induced 3
5.941	212956_at	3.45E-26		AI348094	qp61g12.x1 NCI_CGAP_Co8 Homo sapiens cDNA clone IMAGE:1927558 3, mRNA sequence.
3.831	212960_at	3.15E-21	KIAA0882	BE646554	KIAA0882 protein
3.455	213201_s_at	8.03E-05		AJ011712
3.988	213412_at	1.54E-12	TJP3	NM_014428	tight junction protein 3 (zona occludens 3)
5.083	213441_x_at	4.13E-15	SPDEF	AI745526	SAM pointed domain containing ets transcription factor
5.811	213693_s_at	8.35E-11	MUC1	AI610869	mucin 1, transmembrane
4.354	213712_at	5.36E-09	CTNNAL1	BF508639	catenin (cadherin-associated protein), alpha-like 1
4.102	214053_at	5.61E-16		AW772192	CDNA FLJ44318 fis, clone TRACH3000780
5.649	214164_x_at	1.27E-22	CA12	BF752277	carbonic anhydrase XII
5.54	214404_x_at	1.71E-14	SPDEF	AI435670	SAM pointed domain containing ets transcription factor
3.607	214428_x_at	4.85E-10	C4A	K02403	complement component 4A
3.257	214433_s_at	3.37E-10	SELENBP1	NM_003944	selenium binding protein 1
11.67	214440_at	9.33E-22	NAT1; AAC1	NM_000662	synonym: AAC1; arylamine N-acetyltransferase-1; arylamide acetylase 1 (N-acetyltransferase 1); go_function: arylamine N-acetyltransferase activity [goid 0004060] [evidence E]; Homo sapiens N-acetyltransferase 1 (arylamine N-acetyltransferase) (NAT1), mRNA.
9.486	214774_x_at	5.51E-12	TNRC9	AK027006	trinucleotide repeat containing 9
4.499	214858_at	3.77E-08		AF070536	Clone 24566 mRNA sequence
8.198	215108_x_at	1.38E-11	TNRC9	U80736	trinucleotide repeat containing 9
5.031	215304_at	1.34E-25		U79293	Human clone 23948 mRNA sequence
6.349	215552_s_at	6.98E-20	ESR1	AI073549	estrogen receptor 1
5.283	215867_x_at	4.65E-22	DKFZp564D066	AL050025	known gamma-adaptin / chimeric ?; Homo sapiens mRNA; cDNA DKFZp564D066 (from clone DKFZp564D066); partial cds.
4.668	216603_at	2.43E-13	SLC7A8	AL365343	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
3.528	216604_s_at	6.08E-10	SLC7A8	AL365343	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
11.42	216623_x_at	9.56E-12	TNRC9	AK025084	trinucleotide repeat containing 9
3.397	217190_x_at	3.05E-12		S67777	This sequence comes from Fig. 2C; conceptual translation presented here differs from translation in publication; estrogen receptor {exon 6} [human, tamoxifen-resistant breast tumor 17, Genomic Mutant, 187 nt].
3.367	217248_s_at	1.49E-07	SLC7A8	AL365343	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
3.312	217838_s_at	4.48E-18	EVL	NM_016337	Enah/Vasp-like
3.262	217889_s_at	3.94E-05	CYBRD1	NM_024843	cytochrome b reductase 1
3.694	218195_at	1.62E-16	C6orf211	NM_024573	chromosome 6 open reading frame 211
8.299	218211_s_at	9.91E-26	MLPH	NM_024101	melanophilin
3.298	218313_s_at	2.08E-10	GALNT7	NM_017423	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
3.04	218620_s_at	3.36E-09	HEMK	AF131220	HEMK homolog 7kb
3.099	218692_at	3.56E-14	FLJ20366	NM_017786	hypothetical protein FLJ20366
4.395	218806_s_at	1.39E-10	VAV3	AF118887	vav 3 oncogene
4.824	218922_s_at	1.02E-09	LASS4	NM_024552	LAG1 longevity assurance homolog 4 (S. cerevisiae)
5.809	218976_at	2.86E-14	JDP1	NM_021800	J domain containing protein 1
3.471	219174_at	2.35E-07	CCDC2	NM_025103	coiled-coil domain containing 2
9.201	219197_s_at	1.13E-13	SCUBE2	AI424243	signal peptide, CUB domain, EGF-like 2
4.788	219414_at	1.44E-13	CLSTN2	NM_022131	calsyntenin 2
3.66	219580_s_at	1.13E-06	TMC5	NM_024780	transmembrane channel-like 5
3.657	219686_at	1.78E-07	HSA250839	NM_018401	gene for serine/threonine protein kinase
3.379	219734_at	5.18E-15	FLJ20174	NM_017699	hypothetical protein FLJ20174
3.386	219919_s_at	2.31E-10	SSH-3	NM_018276	slingshot 3
6.488	220192_x_at	8.48E-15	SPDEF	NM_012391	SAM pointed domain containing ets transcription factor
