Probe set	GenBank	Gene symbol	Gene name/description	Fold change
1423021	NM_013564	Insl3	Insl3	-13.92
1436227	NM_177099	Lefty2	Left-right determination factor 2	-13.42
1435459	None	None	Flavin containing monooxygenase 2	-13.19
1448975	NM_031192	Ren1	Ren1	-10.88
1449201	NM_011485	Star	Star	-9.38
1418728	NM_011485	Star	Star	-8.33
1418729	NM_011485	Star	Star	-4.96
1417017	NM_007809	Cyp17a1	Cyp17A1, family 17, subfamily a, polypeptide 1	-4.11
1436453	None	None	Expressed sequence BB144871	-3.91
1439015	BC040251	Gfra1	Glial cell line-derived neurotrophic factor family receptor  alpha-1	-3.56
1425341	AK032542	Kcnk3	Potassium channel, subfamily K, member 3	-3.55
1448291	NM_013599	Mmp9	MMP9	-3.3
1423396	NM_007428	Agt	Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	-3.3
1456362	None	None	Cyp17A1, family 11, subfamily b, polypeptide 1	-3.29
1416332	NM_007705	Cirbp	Cold inducible RNA binding protein	-3.28
1451478	BC023373	None	FK506 binding protein 12-rapamycin associated protein 1	-3.23
1426309	NM_027027	Asb9	Ankyrin repeat and SOCS box-containing protein 9	-3.09
1424885	NM_144810	A630065K24RIK	RIKEN cDNA A630065K24 gene	-3.09
1426914	NM_178410	MarvelD2	MARVEL (membrane-associating) domain containing 2	-2.97
1429154	BC050202	Slc35f2	Solute carrier family 35, member F2 (Slc35f2), mRNA	-2.92
1433724	NM_145959	D15ertd621e	DNA segment, Chr 15, ERATO Doi 621, expressed	-2.91
1456777	AK033548	Mgam	Maltase-glucoamylase	-2.83
1455435	AK052715	Chdh		-2.79
1423853	NM_029530	6330527O06RIK	RIKEN cDNA 6330527O06 gene	-2.73
1442744	AK038928	Rnpc2	Expressed sequence C79248	-2.71
1430295	AK011851	Gna13	Guanine nucleotide binding protein,  alpha-13	-2.7
1434376	AK028981	CD44	CD44 antigen	-2.67
1451451	NM_145523	Gca	Grancalcin	-2.67
1438664	AK081805	Prkar2b	Protein kinase, cAMP dependent regulatory, type II beta	-2.54
1454942	None	None	Niban protein	-2.46
1435663	AK087638	Esr1	ER 1 ( alpha)	-2.44
1418511	AF143374	Dpt	Dermatopontin	-2.42
1423112	AK020443	Ube2d3	Ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	-2.41
1456035	None	None	Nuclear RNA export factor 3	-2.4
1449998	NM_010921	Nkx3-1	NK-3 transcription factor, locus 1 (Drosophila)	-2.4
1423606	NM_015784	Postn	Periostin, osteoblast specific factor	-2.38
1431811	NM_030236	Fbxo34	F box only protein 34	-2.38
1436871	None	None	Splicing factor, arginine/serine-rich 7	-2.36
1422438	NM_010145	Ephx1	Epoxide hydrolase 1, microsomal	-2.32
1419754	NM_010864	Myo5a	Myosin Va	-2.32
1435129	None	None	Protein tyrosine phosphatase 4a2 (Ptp4a2), mRNA	-2.31
1430353	AK040264	Glis3	GLIS family zinc finger 3	-2.3
1428975	BC045525	Susd3	Sushi domain containing 3	-2.27
1443922	None	None	REST corepressor 3 (Rcor3), mRNA	-2.23
1444797	AK033245	8030474K03RIK	RIKEN cDNA 8030474K03 gene	-2.23
1456521	None	None	Transcribed locus	-2.22
1420961	NM_028582	Ivns1abp	Influenza virus NS1A binding protein	-2.21
1452067	NM_025972	Asahl	N-acylsphingosine amidohydrolase (acid ceramidase)-like	-2.2
1427298	NM_021276	Dnm3		-2.16
1454681	NM_194055	2210008M09RIK	RNA binding motif protein 35A	-2.15
1460591	None	None	ER 1 ( alpha)	-2.14
1429511	AK016614	4933402E13RIK	RIKEN cDNA 4933402E13 gene	-2.13
1423072	BC054084	None	RIKEN cDNA 6720475J19 gene	-2.1
1429459	AK079936	Sema3d	Sema domain, Ig domain, short basic domain, secreted, (semaphorin) 3D	-2.09
1438075	AK129440	Fem1c	fem-1 homolog c (C. elegans)	-2.08
1456475	BC033267	Prkar2b	Protein kinase, cAMP dependent regulatory, type II beta	-2.06
1437071	None	None	Eukaryotic translation initiation factor 1A, Y-linked	-2.06
1417501	NM_015797	Fbxo6b	F box only protein 6b	-2.06
1422198	NM_009171	Shmt1	Serine hydroxymethyl transferase 1 (soluble)	-2.05
1434817	AK037355	4930535B03RIK	RIKEN cDNA 4930535B03 gene	-2.04
1431334	BC031494	4933433P14RIK	RIKEN cDNA 4933433P14 gene	-2.02
1437092	AK075758	Rsnl2	Restin-like 2	-2.02
1423259	NM_031166	Idb4	Inhibitor of DNA binding 4	-2.01
