No.	Protein	Gene	Accession no.	Gene locus	Expression ratio (n = 3) CD25+: CD4+
8	Galectin-10	CLC	17942629	19q13.1	42
12	Tropomyosin 3	TPM3	24119203	1q21.2	4
69	Actin, beta, cytoplasmic isoform A	ACTB	14250401	7p15-p12	3.3
14	Actin, beta cytoplasmic isoform B	ACTB	14250401	7p15-p12	3.2
15	Actin, beta cytoplasmic isoform C	ACTB	14250401	7p15-p12	2.4
42	EH domain-containing 1	EHD1	9956076	11q13	1.7
36	Galectin 1	LGALS1	4504981	22q13.1	1.6
89	Actin gamma	ACTG1	178045	17q25.3	1.4
129	Heterogeneous nuclear ribonucleoprotein A2/B1 isoform 2	HNRPA2B	4504447	7p15.2	1.2
112	Tumor protein, translationally controlled 1	TPT1	4507669	13q12-q14	0.8
135	Homeobox prox 1	PROX1	7706322	14q22.1	0.8
103	FK506-binding protein 4	FKBP4	4503729	12p13.33	0.8
26	Stathmin 1	STMN1	5031851	1p36.1-p35	0.6
2460	MO25 protein	MO25	7706481	2q37.1	0.6
22	Proteasome subunit beta type 7	PSMB7	21465650	9q34.11-q34.12	0.6
115b	Nucleoside diphosphate kinase A isoform A	NME1	4557797	17q21.3	0.6
115a	Nucleoside diphosphate kinase A isoform B	NME1	4557797	17q21.3	0.6
39	Ribonucleoside-diphosphate reductase isoform A	RRM1	4506749	11p15.5	0.5
38	Ribonucleoside-diphosphate reductase isoform B	RRM1	4506749	11p15.5	0.5
48	Flap structure-specific endonuclease 1	FEN1	4758356	11q12	0.5
3	dUTP pyrophosphatase–isoform A	DUT	4503423	15q15-q21.1	0.4
30	Eukaryotic translation initiation factor 5A	EIF5A	4503545	17p13-p12	0.3
25	dUTP pyrophosphatase–isoform B	DUT	4503423	15q15-q21.1	0.3
