Clone ID	UniGene No.	Locus link	Symbol	Name	Function
4345	795	12977	Csf1	CSF 1 (M-CSF)	Cytokines
4154	35814	16156	Il11	IL-11	Cytokines
4284	371	16189	Il4	IL-4	Cytokines
22	28830	59027	Pbef	Pre-B-cell colony-enhancing factor	Cytokines
4594	22574	12978	Csf1r	Colony stimulating factor 1 receptor	Cytokine receptors
1105	156264	12982	Csf2ra	GM-CSFR-?	Cytokine receptors
4400	1940	12984	Csf2rb2	CSF 2 receptor, beta 2, low-affinity (GM)	Cytokine receptors
4377	22673	14127	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	Cytokine receptors
4269	10809	14130	Fcgr2b	Fc receptor, IgG, low affinity IIb	Cytokine receptors
4165	3303	14132	Fcgrt	Fc receptor, IgG, alpha chain transporter	Cytokine receptors
4307	4154	16155	Il10rb	IL-10 receptor, beta	Cytokine receptors
4233	731	16161	Il12rb1	IL-12 receptor, beta 1	Cytokine receptors
3963	896	16177	Il1r1	IL-1 receptor, type I (Il1r1)	Cytokine receptors
4158	1349	16178	Il1r2	IL-1 receptor, type II	Cytokine receptors
4157	24771	16180	Il1rap	IL-1 receptor accessory protein	Cytokine receptors
4142	4944	16188	Il3ra	IL-3 receptor, alpha chain	Cytokine receptors
4224	389	16197	Il7r	IL-7 receptor alpha chain precursor	Cytokine receptors
3604	1318	11350	Abl1	v-abl Abelson murine leukemia oncogene 1	Transcription factors
1113	34537	12606	Cebpa	C/EBP, alpha	Transcription factors
1067		110794	Cebpe	C/EBP, epsilon	Transcription factors
4521	131	15399	Hoxa2	Homeobox A2	Transcription factors
4557	173	15402	Hoxa5	Homeobox A5	Transcription factors
4565	3546	15412	Hoxb4	Homeobox B4	Transcription factors
4553	207	15413	Hoxb5	Homeobox B5	Transcription factors
4578	215	15414	Hoxb6	Homeobox B6	Transcription factors
4432	255	15417	Hoxb9	Homeobox B9	Transcription factors
4331	1351	15423	Hoxc4	Homeobox C4	Transcription factors
4134	20305	15424	Hoxc5	Homeobox C5	Transcription factors
4556	4444	15425	Hoxc6	Homeobox C6	Transcription factors
4602	4765	15427	Hoxc9	Homeobox C9	Transcription factors
1057	2444	17869	Myc	Myelocytomatosis oncogene	Transcription factors
1037	88061	20185	Ncor1	Nuclear receptor co-repressor 1	Transcription factors
4197	3107	18021	Nfatc3	Nuclear factor of activated T-cells, cytoplasmic 3	Transcription factors
4486	31255	18128	Notch1	Notch gene homolog 1	Transcription factors
4187	4173	18130	Notch2l	Notch2-like	Transcription factors
4494	4945	18131	Notch3	Notch gene homolog 3	Transcription factors
4146	173813	18132	Notch4	Notch gene homolog 4	Transcription factors
3865	22675	18514	Pbx1	Pre-B-cell leukemia transcription factor 1	Transcription factors
4588	4788	19401	Rara	Retinoic acid receptor, alpha	Transcription factors
4585	1273	19411	Rarg	Retinoic acid receptor, gamma	Transcription factors
3496	4869	19696	Rel	Reticuloendotheliosis oncogene	Transcription factors
4203	455	21405	Tcf1	Transcription factor 1	Transcription factors
