Alteration	Gene	Locus	Frequency (%)†
Gain	PVT1	8q24.21	71
Gain	MYC	8q24.21	69.4
Gain	FOLR1	11q13.4	58.1
Gain	PLUNC (LUNX)	20q11.21	59.7
Gain	BCL2L1 (BCLX)	20q11.21	58.1
Gain	E2F1	20q11.22	58.1
Gain	TGIF2	20q11.23	61.3
Gain	TNFRSF5	20q13.12	67.7
Gain	NCOA3	20q13.12	67.7
Gain	ELMO2	20q13.12	66.1
Gain	MYBL2	20q13.12	64.5
Gain	NCOA3 (AIB1)	20q13.12	58.1
Gain	PTPN1	20q13.13	74.2
Gain	PRex1	20q13.13	66.1
Gain	BCAS1	20q13.2	74.2
Gain	ZNF217	20q13.2	72.6
Gain	STK6 (BTAK)	20q13.31	58.1
Gain	Cul4B	Xq24	62.9
Gain	MCF2	Xq27.1	62.9
Gain	CTAG	Xq28	66.1
Loss	BAIAP1	3p14.1	45.2
Loss	PTPRG	3p14.2	43.5
Loss	N33	8p22	46.8
Loss	TEK	9p21.2	45.2
Loss	MTAP	9p21.3	64.5
Loss	CDKN2A (p16)	9p21.3	64.5
Loss	MLLT3	9p21.3	43.5
Loss	JAK2	9p24.1	53.2
Loss	GASC1	9p24.1	51.6
Loss	D9S913	9p24.3	50
Loss	SMAD4	18q21.1	53.2
Loss	MADH2	18q21.1	50
Loss	MADH7 (SMAD7)	18q21.1	45.2
Loss	DCC	18q21.2	56.5
Loss	MALT1	18q21.31	50
Loss	MALT1	18q21.31	46.8
Loss	GRP	18q21.32	53.2
Loss	BCL2	18q21.33	54.8
Loss	FVT1	18q21.33	50
Loss	SERPINB5 (PI5)	18q21.33	43.5
Loss	CTDP1	18q23	54.8
