Probe set ID	Gene title	Gene symbol	Ref seq	Fold change	q-value
202672_s_at	Activating transcription factor 3	ATF3	NM_001674	0.2	0.01
209815_at	Patched homolog (Drosophila)	PTCH	NM_000264	0.28	0.01
210538_s_at	Baculoviral IAP repeat-containing 3	BIRC3	NM_001165	0.32	0.01
205932_s_at	msh homeo box homolog 1 (Drosophila)	MSX1	NM_002448	0.36	0.01
219607_s_at	Membrane-spanning 4-domains, subfamily A, member 4	MS4A4A	NM_016650	0.38	0.04
209357_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	CITED2	NM_006079	0.38	0.01
204719_at	ATP-binding cassette, subfamily A (ABC1), member 8	ABCA8	NM_007168	0.38	0.01
200965_s_at	Actin-binding LIM protein 1	ABLIM1	NM_002313	0.38	0.01
203423_at	Retinol-binding protein 1, cellular	RBP1	NM_002899	0.39	0.01
201693_s_at	Early growth response 1	EGR1	NM_001964	0.39	0.02
209613_s_at	Alcohol dehydrogenase IB (class I), beta polypeptide	ADH1B	NM_000668	0.39	0.02
219993_at	SRY (sex-determining region Y)-box 17	SOX17	NM_022454	0.4	0.03
208623_s_at	Villin 2 (ezrin)	VIL2	NM_003379	0.41	0.01
213451_x_at	Tenascin XB	TNXB	NM_019105	0.42	0.01
216333_x_at	Tenascin XB	TNXB	NM_019105	0.42	0.01
36711_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	MAFF	NM_012323	0.44	0.03
206093_x_at	Tenascin XB	TNXB	NM_019105	0.44	0.01
214012_at	Type 1 tumour necrosis factor receptor shedding aminopeptidase regulator	ARTS-1	NM_016442	0.44	0.03
209343_at	EF hand domain containing 1	EFHD1	NM_025202	0.45	0.01
219371_s_at	Kruppel-like factor 2 (lung)	KLF2	NM_016270	0.45	0.01
202241_at	Tribbles homolog 1 (Drosophila)	TRIB1	NM_025195	0.46	0.01
207574_s_at	Growth arrest and DNA-damage-inducible, beta	GADD45B	NM_015675	0.46	0.01
221841_s_at	Kruppel-like factor 4 (gut)	KLF4	NM_004235	0.47	0.03
218499_at	Mst3 and SOK1-related kinase	MST4	NM_016542	0.47	0.01
201694_s_at	Early growth response 1	EGR1	NM_001964	0.47	0.01
203917_at	Coxsackie virus and adenovirus receptor	CXADR	NM_001338	0.48	0.01
209710_at	GATA-binding protein 2	GATA2	NM_002050	0.49	0.01
