GenBank no.	Description	MoDCs 0–8 hr	MoDCs 0–48 hr	MUTZ-3-DCs 0–8 hr	MUTZ-3-DCs 0–48 hr	Function
NM_001627	ALCAM	6.5	2.8	2.4	3.2	Cell adhesion
NM_015717	CD207	5.1	1	1.3	7.7	Cell adhesion
AA700015	CD58	6.1	2.7	5.4	5.2	Cell adhesion
NM_021101	CLDN1	3.8	?4.0	3.5	3.6	Cell adhesion
AA292373	COL6A1	2.9	1.4	4	3.6	Cell adhesion
NM_030781	COLEC12	2.6	1.1	1	2.3	Cell adhesion
NM_000201	ICAM-1	4.3	3.1	2.5	1.5	Cell adhesion
NM_003622	PPFIBP1	6.3	1.1	2.2	?1.3	Cell adhesion
NM_019034	ARHF	9	6.2	3.2	2.4	Cell shape
NM_002421	MMP1	21.3	7.4	2.5	6.3	Cell shape
NM_002425	MMP10	340	61.6	8.2	3.1	Cell shape
NM_004994	MMP9	5.6	?4.0	3.2	2.2	Cell shape
BC006196	4-1BB	50.7	47.3	4.2	1.1	Immune/inflammatory response
NM_002987	CCL17, TARC	4.3	4.4	4.4	6.1	Immune/inflammatory response
NM_002990	CCL22, MDC	16.2	15	10.7	12.9	Immune/inflammatory response
NM_002983	CCL3, MIP-1a	2	?2.3	2.7	?1.5	Immune/inflammatory response
NM_002984	CCL4, MIP-1b	3.3	?8.0	2.9	?2.1	Immune/inflammatory response
NM_002985	CCL5, RANTES	23.4	1.1	6.7	2.2	Immune/inflammatory response
NM_001838	CCR7	54.2	59.6	9.9	44.6	Immune/inflammatory response
X60592	CD40	5.1	3.1	2.4	1.5	Immune/inflammatory response
NM_001252	CD70	9	10.5	4.4	4.4	Immune/inflammatory response
NM_005191	CD80	4.1	2.9	2.2	2.4	Immune/inflammatory response
NM_004233	CD83	10	7.3	10.4	12.6	Immune/inflammatory response
NM_001511	CXCL1, Gro?	53.3	4.5	3.5	2.7	Immune/inflammatory response
M57731	CXCL2, Gro?	41.1	4.3	4.4	2.1	Immune/inflammatory response
AJ224869	CXCR4	10.4	5.8	1.8	3.5	Immune/inflammatory response
NM_002349	DEC205	6.6	11.2	1.8	10.1	Immune/inflammatory response
U62824	HLA-C	1.8	3	1.8	2.5	Immune/inflammatory response
BE138825	HLA-F	2.1	2.3	1.5	2.4	Immune/inflammatory response
M90686	HLA-G	2	3.1	2.5	3.8	Immune/inflammatory response
AF043337	IL-8	56.5	10.3	2.5	1.9	Immune/inflammatory response
NM_001558	IL-10RA	2	1.4	2.6	2.7	Immune/inflammatory response
NM_002187	IL-12Bp40	132.3	34.9	5.9	26.5	Immune/inflammatory response
NM_003855	IL-18R1	54.5	8.5	3	1.3	Immune/inflammatory response
M15329	IL-1A	4.4	1.9	18.6	3.3	Immune/inflammatory response
M15330	IL-1B	21.3	3.4	6	3.6	Immune/inflammatory response
NM_000877	IL-1R1	2	1.8	1.5	2.2	Immune/inflammatory response
BE563442	IL-1RN	31.9	2.3	6.6	2.4	Immune/inflammatory response
AF269133	IL-21R	-1.3	3	2.3	3.4	Immune/inflammatory response
NM_016584	IL-23A	5	4.3	2.8	1.3	Immune/inflammatory response
NM_000600	IL-6	34.3	1.9	2.3	2.8	Immune/inflammatory response
NM_002185	IL-7R	14.9	5.4	5.8	3.2	Immune/inflammatory response
AJ277151	OX40	97.6	23.2	5.9	1.7	Immune/inflammatory response
NM_000958	PTGER4	5.3	1	3.9	3.5	Immune/inflammatory response
NM_000963	PTGS2	81.4	4.1	2.3	1.3	Immune/inflammatory response
NM_020183	ARNTL2	7.3	8.5	3.1	2.1	Regulation of transcription
AL021977	MAFF	13.8	8.9	4.6	3.7	Regulation of transcription
NM_002908	REL	19.6	11.5	6.2	6	Regulation of transcription
NM_006509	RELB	5.4	4.8	3.7	4.5	Regulation of transcription
AB003476	AKAP12	28.1	?1.6	5	1.1	Signalling
M13436	INHBA	129.6	12.9	10.8	3.9	Signalling
M55643	NFKB1	11.9	7.7	5.4	3.3	Signalling
NM_007115	TNFAIP6	105.3	12.9	16.8	8.4	Signalling
M27281	VEGF	14.9	2.5	2.6	1.5	Signalling
