GenBank no.	Gene Symbol	Gene name	Fold change	P-val
NM_012342	BAMBI	Homo sapiens BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	118.1	1.87E-02
NM_000597	IGFBP2	Homo sapiens insulin-like growth factor binding protein 2	63.9	2.38E-02
NM_001008540	CXCR4	Homo sapiens chemokine (C-X-C motif) receptor 4	61.1	2.97E-02
NM_001001555	GRB10	Homo sapiens growth factor receptor-bound protein 10	47.2	2.16E-02
NM_001553	IGFBP7	Homo sapiens insulin-like growth factor binding protein 7	45.6	2.22E-02
NM_015570	AUTS2	Homo sapiens autism susceptibility candidate 2	33.1	1.81E-02
NM_000218	KCNQ1	Homo sapiens potassium voltage-gated channel KQT-like subfamily	28.4	1.47E-02
NM_152360	ZNF573	Homo sapiens zinc finger protein 573	23	2.54E-02
NM_002421	MMP1	Homo sapiens matrix metallopeptidase 1 (interstitial collagenase)	19.6	2.49E-02
NM_020826	SYT13	Homo sapiens synaptotagmin XIII	19.4	2.66E-02
NM_001956	EDN2	Homo sapiens endothelin 2	18.8	3.25E-02
NM_032192	PPP1R1B	Homo sapiens protein phosphatase 1 regulatory (inhibitor) subunit 1B (dopamine and cAMP regulated phosphoprotein DARPP-32)	18.6	1.66E-02
NM_014587	SOX8	Homo sapiens SRY (sex determining region Y)-box 8	18.2	1.54E-02
NM_001116	ADCY9	Homo sapiens adenylate cyclase 9	16.6	2.40E-02
NM_178012	TUBB2B	Homo sapiens tubulin	16.3	2.30E-02
NM_001020818	MYADM	Homo sapiens myeloid-associated differentiation marker	15	1.49E-02
NM_018684	KIAA1166	Homo sapiens KIAA1166	13.6	3.17E-02
NM_002081	GPC1	Homo sapiens glypican 1	13	4.41E-02
NM_005170	ASCL2	Homo sapiens achaete-scute complex homolog 2 (Drosophila)	12	2.47E-02
NM_003430	ZNF91	Homo sapiens zinc finger protein 91	11.7	1.81E-02
NM_182983	HPN	Homo sapiens hepsin (transmembrane protease serine 1)	11.4	4.18E-02
NM_005518	HMGCS2	Homo sapiens 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	10.9	1.82E-02
NM_000022	ADA	Homo sapiens adenosine deaminase	10.2	3.72E-02
NM_203339	CLU	Homo sapiens clusterin, transcript variant 2	9.2	2.54E-03
