 Accession no. 	 Gene description 	 Frequency 	2 hours fc	SD	6 hours fc	SD	18 hours Fc	SD	24 hoursfc	SD	dim/wt fc	SD	Expression
 NM_011269 	Rhesus blood group-associated A glycoprotein	48	1.08	0.27	2.02	0.19	1.26	0.29	1.77	0.48	0.91	0.36	 Dex up-regulated 
NM_011157 	Proteoglycan, secretory granule	19	1.03	0.26	0.93	0.08	1.45	0.22	1.95	0.37	1.21	0.25	 Dex up-regulated 
BC006834 	B-cell translocation gene 1, antiproliferative 	18	0.98	0.19	2.41	0.28	3.35	2.22	1.29	0.27	0.67	0.15	 Dex up-regulated 
NM_009735 	Beta-2 microglobulin (B2m)	21	0.99	0.18	1.34	0.12	1.92	0.43	2.48	0.95	0.65	0.15	 Dex up-regulated 
 NM_018813 	Cleavage and polyadenylation specificity factor 3	11	0.97	0.14	1.06	0.1	2.78	1.35	2.45	0.94	0.7	0.15	 Dex up-regulated 
NM_010634 	Fatty acid binding protein 5, epidermal	10	1.04	0.26	0.89	0.07	1.73	0.41	3.17	1.57	0.84	0.19	 Dex up-regulated 
 NM_008529 	Lymphocyte antigen 6 complex, locus E	10	1	0.17	1.15	0.11	2	0.61	2.48	0.98	0.76	0.15	 Dex up-regulated 
AK003942	RIKEN:1110028E10	7	1.05	0.15	1.61	0.12	3.78	1.86	3.19	1.44	0.5	0.09	 Dex up-regulated 
AK020317 	 RIKEN:9230106B05 	6	1.17	0.18	2.27	0.26	1.58	0.66	1.73	0.69	0.72	0.2	 Dex up-regulated 
NM_023719 	Thioredoxin-interacting protein	4	1.16	0.27	1.82	0.17	1.08	0.24	1.21	0.44	1.1	0.33	 Dex up-regulated 
 NM_013627 	Paired box gene 6 (Pax6), mRNA	4	1.1	0.19	1.84	0.18	1.07	0.24	0.96	0.16	0.84	0.19	 Dex up-regulated 
NM_008722 	Nucleophosmin 1 (Npm1)	3	0.99	0.26	0.75	0.14	1.68	0.34	3.28	1.46	0.75	0.14	 Dex up-regulated 
AF260927 	D4Cole 1e	2	1.32	0.25	2.07	0.25	2.93	2.61	3.65	1.13	0.96	0.23	 Dex up-regulated 
NM_011755 	Zinc finger protein 35	2	1.09	0.28	1.15	0.11	1.3	0.37	1.97	0.34	0.69	0.09	 Dex up-regulated 
 NM_009429 	Tumor protein, translationally controlled 1 (Tpl1) 	2	1.06	0.34	0.98	0.05	1.32	0.18	2.26	0.61	0.66	0.21	 Dex up-regulated 
NM_011050 	Programmed cell death 4 (Pdcd4)	2	0.98	0.31	0.85	0.09	1.57	0.28	2.37	0.7	0.65	0.15	 Dex up-regulated 
AW912233 	Soares mammary gland, IMAGE:1514107 5 	2	1.05	0.15	1.25	0.12	2.2	0.24	3.75	2.01	0.55	0.25	 Dex up-regulated 
NM_008379 	Karyopherin (importin) beta 1	2	0.9	0.13	0.86	0.17	1.41	0.13	2.55	1	1.07	0.29	 Dex up-regulated 
AB020015 	Beta-1-globin	98	1.05	0.25	0.84	0.18	0.67	0.24	0.62	0.2	1.57	0.39	 Dex repressed 
NM_009414 	Tryptophan hydroxylase	30	1.44	0.33	0.64	0.3	1.3	0.42	1.71	0.57	6.37	2.66	 Dex repressed 
 NM_016633 	Erythroid differentiatiation factor	15	0.99	0.21	0.59	0.06	0.65	0.11	0.87	0.32	1.42	0.37	 Dex repressed 
NM_009801 	Carbonic anhydrase 2 (Car2)	4	1.01	0.24	0.65	0.01	0.85	0.08	1.22	0.56	1.76	0.41	 Dex repressed 
