Gene symbol	Gene name	Accessionb	Ratioc HGF	Functional Category
ELK4	ETS-domain protein (SRF accessory protein 1)	H61758	1.55	 Cell proliferation
MAT2A	Methionine adenosyltransferase II, alpha	T59286	1.53	 Cell proliferation
MAPK4	Mitogen-activated protein kinase 4	AA401035	1.4	 Cell proliferation
IGF2R	Insulin-like growth factor 2 receptor	T62547	1.32	 Cell proliferation
PDGFRA	PDGF receptor alpha polypeptide	H23235	1.27	 Cell proliferation
CDC6	CDC6 homolog	H59203	1.26	 Cell proliferation
GSK3B	Glycogen synthase kinase 3 beta	R93911	1.26	 Cell proliferation
BDNF	Brain-derived neurotrophic factor	AA262988	0.66	 Cell proliferation
TNFRSF11B	TNF receptor superfamily, member 11	AA194983	0.67	 Cell proliferation
JUND	Jun D proto-oncogene	AA418670	0.73	 Cell proliferation
TSC22	TGF beta-stim protein TSC-22	AA664389	0.75	 Cell proliferation
STATI2	STAT induced STAT inhibitor 2	AA137031	0.78	 Cell proliferation
TOB1	Transducer of ERBB2,1	AA490213	0.79	 Cell proliferation
TIMP3	Tissue inhibitor of metalloproteinase 3	AA099153	0.55	 Apoptosis
BIRC1	Baculoviral IAP repeat-containing 1	AA621150	0.8	 Apoptosis
ACTG2	Actin, gamma 2, smooth muscle, enteric	T60048	1.52	 Cell adhesion/motility
COL1A2	Collagen, type I, alpha 2	AA490172	1.35	 Cell adhesion/motility
MYPT2	Myosin phosphatase, target subunit 2	AA463926	1.36	 Cell adhesion/motility
DSP	Desmoplakin (DPI, DPII)	H90899	1.3	 Cell adhesion/motility
PCDH1	Protocadherin 1 (cadherin-like 1)	AA443557	1.27	 Cell adhesion/motility
CD164	CD164 antigen, sialomucin	AA598561	0.55	 Cell adhesion/motility
SDC4	Syndecan-4	AA148736	0.72	 Cell adhesion/motility
CD58	CD58 antigen	AA136359	0.75	 Cell adhesion/motility
WT1	Wilms tumor 1	AA130187	0.76	 Oncogenesis
KIAA0203	KIAA0203 gene product	AA047435	0.76	 Oncogenesis
