Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0440gpr MPP vs ST	0462gpr ST vs MPP	4562gpr MPP vs ST	4563gpr ST vs MPP	4582gpr ST vs MPP	4583gpr MPP vs ST	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
BG074617	Tgm2	transglutaminase 2, C polypeptide	Mm.330731	21817		2		-2.4915	-2.7358	-2.162	-4.3607	-2.3962	-2.8287	6	0.155131058	6.44616245	-4.63578238	-2.82915	0.610285334	2.163399585
NA	NA	NA	NA		NA			-1.7596	-3.1073	-1.7129	-2.1378	-2.9084	-2.7212	6	0.204747481	4.884064966	-4.473078857	-2.3912	0.534575865	2.163399585
AA165755	Tgm2	transglutaminase 2, C polypeptide	Mm.330731	21817		2		-2.7889	-2.5651	-1.5863	-1.4023	-1.7615	-2.5957	6	0.247565932	4.039327997	-3.965610669	-2.116633333	0.533747135	2.163399585
BG065213	Grb10	growth factor receptor bound protein 10	Mm.273117	14783		11		-2.0946	-2.0247	-1.4354	-4.2935	-2.6266	-2.4042	6	0.20857794	4.794370863	-3.608392055	-2.479833333	0.687240548	2.163399585
AI007070	Tek	endothelial-specific receptor tyrosine kinase	Mm.14313	21687		4		-2.3697	-2.5668	-2.2008	-0.5341	-2.2398	-2.1659	6	0.284154848	3.519207948	-3.408665566	-2.01285	0.590509676	2.163399585
AV104213	Esam1	endothelial cell-specific adhesion molecule	Mm.41751	69524		9	9 A4	-2.4563	-1.9755	-1.4448	-1.1341	-0.9294	-1.7156	6	0.348168296	2.872174207	-3.10596408	-1.609283333	0.518126833	2.163399585
BG075820	Dach1	dachshund 1 (Drosophila)	Mm.320593	13134		14		-1.4387	-2.894		-2.2628	-2.8994	-1.6728	5	0.359911368	2.778461835	-3.080016586	-1.979735	0.642767643	2.163399585
BG072850	Sgce	sarcoglycan, epsilon	Mm.8739	20392		6		-1.6485	-1.2014	-1.0798	-0.9457	-0.9469	-1.1054	6	0.454936037	2.198111205	-2.920227548	-1.154616667	0.395385855	2.163399585
AV065302				NA	AA473390 EST:blastocyst:Mus musculus	NA		-1.381	-1.8645	-0.5643	-1.7773	-1.2326	-1.8758	6	0.387434815	2.581079347	-2.917828594	-1.44925	0.496687846	2.163399585
BG074320	B130017I01Rik	RIKEN cDNA B130017I01 gene	Mm.229287	214137		3	3 G1	-1.4003	-2.0794	-0.9252	-1.6021	-0.8143	-1.529	6	0.397778272	2.513963356	-2.904576554	-1.391716667	0.479146148	2.163399585
BG065249	Ppic	peptidylprolyl isomerase C	Mm.4587	19038		18	18 D1	-1.2742	-2.3949	-1.0473	-1.4074	-1.8256	-0.9223	6	0.379040686	2.638239207	-2.884736229	-1.478616667	0.512565638	2.163399585
AW548291				NA		NA		-0.6814	-1.6103	-1.5947	-1.6777	-1.1592	-1.0033	6	0.423563353	2.360921908	-2.838687395	-1.287766667	0.453648637	2.163399585
BG070626	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	Mm.288898	70122		4	4 C4	-1.3298	-1.1246	-1.808	-0.874	-0.8449	-1.4409	6	0.43545965	2.296424018	-2.819681337	-1.237033333	0.438713878	2.163399585
NA	NA	NA	NA		NA			-1.3216	-2.377	-1.1075	-0.9426	-2.7906	-1.295	6	0.354842377	2.818152688	-2.743627477	-1.63905	0.597402531	2.163399585
BG066845	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	Mm.288898	70122		4	4 C4	-1.815	-2.2118	-0.8309	-0.8556	-1.451	-1.1726	6	0.404045311	2.474969941	-2.709743487	-1.389483333	0.512773013	2.163399585
AV093558				NA	apolipoprotein E (apoE)	NA		-1.0472	-2.8833	-0.76	-1.9211	-1.6973	-1.1812	6	0.37055576	2.698649189	-2.627180542	-1.581683333	0.602045923	2.163399585
AV141255				NA	D86962 KIAA0207:myeloblast:Homo sapiens	NA		-1.1144	-2.6298	-1.1392	-1.0544	-0.914	-2.2892	6	0.38237649	2.615223549	-2.583451771	-1.5235	0.589714899	2.163399585
AA017865	Gjb5	gap junction membrane channel protein beta 5	Mm.26859	14622		4			-2.6941	-1.2702	-1.9802	-2.6664	-2.2497	5	0.365061298	2.739265996	-2.557468823	-1.811316667	0.708245845	2.163399585
