Gene	Description	Fold Change	Accession No.	Functional Category
Casp7	Caspase 7	1.67	D86353	Apoptosis
Casp8	Caspase 8	1.61	AJ007749	Apoptosis
Pdcd2	Programmed cell death 2	1.44	U10903	Apoptosis
c-myc	Myelocytomatosis oncogene	2.01	L00039	Cell cycle
Fos	FBJ osteosarcoma oncogene	1.96	AV252296	Cell cycle
Junb	Jun-B oncogene	1.93	U20735	Cell cycle
Calm2	Calmodulin 2	1.8	AV225659	Cell cycle
Elk1	ELK1, member of ETS oncogene family	1.76	X87257	Cell cycle
Stag2	Stromal antigen 2	1.7	AI846890	Cell cycle
Tnfsf5ip1	TNF superfamily, member 5-induced protein 1	1.58	AW124529	Cell cycle
Anapc2	Anaphase promoting complex subunit 2	1.52	AI849611	Cell cycle
Erbb3	v-erb-b2 Erythroblastic leukemia viral oncogene homolog 3 (avian)	1.52	AI006228	Cell cycle
Thpo	Thrombopoietin	1.44	L34169	Cell cycle
Mapk3	MAPK 3	1.37	Z14249	Cell cycle
P21	Cyclin-dependent kinase inhibitor 1A (P21)	?2.18	AW048937	Cell cycle
Acsl4	Acyl-CoA synthetase long-chain family member 4	1.65	AA619207	Fatty acid metabolism
Car5a	Carbonic anhydrase 5a, mitochondrial	1.55	X51971	Gluconeogenesis
Gyg	Glycogenin 1	1.48	AV357306	Glycogen biosynthesis
Agl	Amylo-1,6-glucosidase, 4-?-glucanotransferase	1.46	AA681807	Glycogen metabolism
Bpgm	2,3-Bisphosphoglycerate mutase	1.67	X13586	Glycolysis
Aldoa	Aldolase 1, A isoform	1.34	AV102160	Glycolysis
Pklr	Pyruvate kinase	1.33	X97047	Glycolysis
Plcd	Phospholipase C, ?	?1.48	U85711	Lipid catabolism
Il1rn	IL 1 receptor antagonist	1.69	L32838	Lipid metabolism
Lpin1	Lipin 1	?1.45	AI846934	Lipid metabolism
Lias	Lipoic acid synthetase	1.54	AW060843	Lipoate biosynthesis
Pmm2	Phosphomannomutase 2	1.38	AF043514	Mannose biosynthesis
Egr1	Early growth response 1	3.42	M28845	Transcription factor
Dbp	D site albumin promoter binding protein	2.52	AW047343	Transcription factor
Btg2	B-cell translocation gene 2, antiproliferative	2.19	M64292	Transcription factor
Pparg	Peroxisome proliferator-activated receptor ?	2.07	U10374	Transcription factor
Ptges2	Prostaglandin E synthase 2	1.6	AW120781	Transcription factor
Ercc3	Excision repair cross-complementing rodent repair deficiency, complementation group 3	1.59	AI747755	Transcription factor
Rb1	Retinoblastoma 1	1.59	M26391	Transcription factor
Cbx4	Chromobox homolog 4 (Drosophila Pc class)	1.5	U63387	Transcription factor
Nfix	Nuclear factor I/X	1.49	Y07688	Transcription factor
Esrra	Estrogen-related receptor, ?	1.44	AW046732	Transcription factor
Nfib	Nuclear factor I/B	1.44	Y07685	Transcription factor
Cutl1	Cut-like 1 (Drosophila)	1.37	U66249	Transcription factor
Th1l	TH1-like homolog (Drosophila)	1.35	AW060447	Transcription factor
Bcap37	B-cell receptor-associated protein 37	1.37	X78683	Signal transduction
Hif1a	Hypoxia inducible factor 1, ? subunit	1.33	Y09085	Signal transduction
Fgf18	Fibroblast growth factor 18	1.28	AB004639	Signal transduction
