Accession no. 	 Gene symbol 	 Function 	 Fold difference in geometric means 	 F testP 	Expression
AF052124 	OPN	Bone/ECM	65.61	8.72E-5 	 Up-regulated 
U73379	E2C	Proteolysis	42.32	9.35E-5 	 Up-regulated 
AJ223728	CDC45	Cell cycle	37.12	1.33E-8 	 Up-regulated 
AF053305 	BUB1	Cell cycle checkpoint	30.43	1.95E-5 	 Up-regulated 
X62048	WEE1	Cell cycle	29.07	7.55E-7 	 Up-regulated 
D14657	KIAA0101	Unknown	26.32	2.73E-5 	 Up-regulated 
U77949	CDC6	Cell cycle	25.81	1.05E-5 	 Up-regulated 
N58115	EST	Unknown	22.85	 .000162 	 Up-regulated 
L25876	CIP2	Signaling	19.5	 .000406 	 Up-regulated 
AF067656 	Zw10	Wint signaling	18.17	1.38E-6 	 Up-regulated 
U74612	FKHL16	Transcription factor	17.4	1.99E-5 	 Up-regulated 
AF025441 	OIP5	Unknown	17.34	 .000198 	 Up-regulated 
U37426	HKSP	Cell division	17.28	1.22E-5 	 Up-regulated 
D80008	KIAA0186	Unknown	15.97	1.56E-5 	 Up-regulated 
Y13115	SAK	Signaling	15.84	 .000811 	 Up-regulated 
U63743	KNSL6	Cell division	15.8	 .000119 	 Up-regulated 
D14678	MHCB	Cell division	15.52	 .000154 	 Up-regulated 
U14518	CENP-A	Cell division	15.45	1.04E-7 	 Up-regulated 
M25753	Cyclin B	Cell cycle	14.22	3.3E-7 	 Up-regulated 
U05340	p55CDC	Cell cycle	14.22	4.58E-5 	 Up-regulated 
Z15005	CENP-E	Cell division	13.71	6.88E-7 	 Up-regulated 
AF053306 	MAD3L	Checkpoint	12.93	7.33E-7 	 Up-regulated 
AA203476 	PTTG1	Sister chromatid separation/cell division 	12.84	1.33E-6 	 Up-regulated 
X13293	Bmyb	Transcription factor	12.83	2.3E-6 	 Up-regulated 
AF016582 	Chk1	Checkpoint	12.67	.00089 	 Up-regulated 
AJ000186	MAD2	Mitotic checkpoint	12.3	4.18E-5 	 Up-regulated 
M86699	TTK	Signaling	11.87	 .000384 	 Up-regulated 
AB017430 	KNSL4	Cell division/cytoskeleton	11.84	3.35E-7 	 Up-regulated 
L33594	ATX	Metabolism	11.76	.00019 	 Up-regulated 
M36067	LIG1	Metabolism	11.73	2.97E-8 	 Up-regulated 
AI375913	TOP2A	DNA replication	11.56	 .000182 	 Up-regulated 
AI391564	PTP4A3	Signaling	11.24	2.53E-5 	 Up-regulated 
J00140	DHFR	Metabolism	11.14	.00078 	 Up-regulated 
M80397	POLD1	DNA replication	10.81	9.58E-8 	 Up-regulated 
M15205	TK1	Metabolism	10.78	5.23E-9 	 Up-regulated 
AL080146 	CCNB2	Cell cycle	10.72	3.19E-5 	 Up-regulated 
X59618	RRM2	Metabolism	10.44	6.47E-5 	 Up-regulated 
M24594	IFI56	Growth suppression	21.22	8.85E-5 	 Down-regulated 
U81523	EBAF	Signaling	6.9	1.71E-6 	 Down-regulated 
AJ130718	SCLA9	Solute carrier	6.83	 .000117 	 Down-regulated 
AF093265 	HOMER3	Metabolism	6.18	1.11E-5 	 Down-regulated 
AB016811 	ARL7	Metabolism	5.59	 .000684 	 Down-regulated 
M14660	IFI54	Growth suppression	5.47	8.47E-5 	 Down-regulated 
D64137	KIP2	Growth suppression	4.43	 .000208 	 Down-regulated 
AB020689 	KIAA0882	Unknown	4.17	.00036 	 Down-regulated 
U12255	FCGRT	Immunity	3.85	 .000549 	 Down-regulated 
M14949	R-RAS	Oncogene/signaling	3.77	 .000958 	 Down-regulated 
M32011	CGD	Metabolism	3.67	3.21E-6 	 Down-regulated 
M80899	AHNAK	Cell interaction/desmosome 	3.53	 .000138 	 Down-regulated 
M15059	CD23	Immunity	3.17	 .000399	 Down-regulated 
