Gene	Description	Fold Change	Accession No.	Functional category
Gck	Glucokinase	?3.81	L38990	Glucose uptake
Glut2	Glucose transporter 2	?1.44	NM_031197	Glucose uptake
Adh4	Alcohol dehydrogenase 4 (class II), pi polypeptide	?1.47	NM_011996	Glycolysis
Tpi	Triosephosphate isomerase	1.36	AW537828	Glycolysis
Alas2	Aminolevulinic acid synthase 2, erythroid	1.65	M63244	Glycolysis
Lpl	Lipoprotein lipase	1.71	BC003305	Fatty acid degradation
Ppp1r3c	Protein phosphatase 1, regulatory (inhibitor) 3C	?1.60	BQ176864	Glycogen biosynthesis
G6pc	Glucose-6-phosphatase, catalytic	?1.45	NM_008061	Glycogen biosynthesis
Gbe1	Glucan (1,4-?-), branching enzyme 1	?1.44	NM_028803	Glycogen biosynthesis
Ppp1r3b	Protein phosphatase 1, regulatory (inhibitor) 3B	?1.62	BG071940	Glycogen metabolism
Gpd2	Glycerol phosphate dehydrogenase 2, mitochondrial	?1.72	NM_010274	Gluconeogenesis
Fasn	Fatty acid synthase	?1.90	AF127033	Fatty acid biosynthesis
Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	?1.76	NM_130450	Fatty acid elongation
Cyp2c40	Cytochrome P450, family 2, subfamily c, 40	?1.34	AI265721	Fatty acid metabolism
Lzp-s	Lysozyme	?2.30	AV058500	Carbohydrate metabolism
Lyzs	Lysozyme	?2.14	AV066625	Carbohydrate metabolism
Khk	Ketohexokinase	?1.49	BC013464	Carbohydrate metabolism
Glo1	Glyoxalase 1	?1.42	BC024663	Carbohydrate metabolism
Slc3a1	Solute carrier family 3, member 1	?1.36	NM_009205	Carbohydrate metabolism
	Expressed sequence AV071179	?1.31	NM_031180	Carbohydrate metabolism
Aldh1b1	Aldehyde dehydrogenase 1 family, member B1	1.44	BC020001	Carbohydrate metabolism
Pgm3	Phosphoglucomutase 3	1.83	AK013402	Carbohydrate metabolism
Cyp51	Cytochrome P450, 51	?2.33	NM_020010	Cholesterol biosynthesis
Nsdhl	NAD(P)-dependent steroid dehydrogenase-like	?2.16	BC019945	Cholesterol biosynthesis
Hmgcr	3-Hydroxy-3-methylglutaryl-CoA reductase	?1.71	BB123978	Cholesterol biosynthesis
Hmgcs1	3-Hydroxy-3-methylglutaryl-CoA synthase 1	?1.42	BB705380	Cholesterol biosynthesis
Srebf1	Sterol regulatory element binding factor 1	?2.10	AI326423	Cholesterol metabolism
Ldlr	Low-density lipoprotein receptor	?1.39	AF425607	Cholesterol metabolism
Cyp17a1	Cytochrome P450, family 17, subfamily a1	?2.38	NM_007809	Steroid biosynthesis
Idi1	Isopentenyl-diphosphate ? isomerase	?2.36	BC004801	Steroid biosynthesis
Sth2	Sulfotransferase, hydroxysteroid preferring 2	?6.36	NM_009286	Steroid metabolism
Lipg	Lipase, endothelial	?3.45	BC020991	Lipid catabolism
Lipc	Lipase, hepatic	?1.91	NM_008280	Lipid catabolism
Pte2a	Peroxisomal acyl-CoA thioesterase 2A	?2.21	NM_134246	Lipid metabolism
Lpin1	Lipin 1	?2.14	AK014526	Lipid metabolism
Apom	Apolipoprotein M	?1.44	NM_018816	Lipid transport
Pltp	Phospholipid transfer protein	?1.40	AI591480	Lipid transport
Apoc2	Apolipoprotein C-II	1.44	NM_009695	Lipid transport
Apoa4	Apolipoprotein A-IV	4.34	AV027367	Lipid transport
