Gene Symbol	Gene nameb	Accession no. GenBank	SEREX databasec	Cancer relatedd	Fold changee
CST	(cerebroside sulfotransferase)	D88667	?	+	EEf
VEGF	(vascular endothelial growth factor)	M27281	?	+	EE
INHBB	(inhibin)	M31682	?	+	EE
LGALS2	(galectin 2)	M87860	?	?	EE
FOLR1	(folate receptor 1)	U20391	?	+	EE
CA9	(carbonic anhydrase IX)	X66839	?	+	EE
EGFR	(epidermal growth factor receptor)	X00588	?	+	EE
ANG	(angiogenin)	M11567	?	+	EE
TYMS	(thymidylate synthetase)	D00596	?	+	EE
BTN3A2	(butyrophilin, subfamily 3, member A2)	U90546	?	?	EE
TGFA	(TGF-?)	X70340	?	+	EE
MMP1	(matrix metalloproteinase 1)	X54925	?	+	EE
PLD1	(phospholipase D1)	U38545	?	+	EE
ABP1	(amiloride-binding protein 1)	U11862	?	?	34.6
ADFP	(adipose differentiation-related protein)	X97324	?	+	29.1
GSTA2	(glutathione S-transferase A2)	M16594	?	?	23.3
HSF4	(heat shock transcription factor 4)	D87673	?	?	19.6
ASM3A	(acid sphingomyelinase-like phosphodiesterase)	Y08136	?	?	17.6
ESM1	(endothelial cell-specific molecule 1)	X89426	?	+	14.9
ASPA	(aspartoacylase)	S67156	?	?	12.8
CP	(ceruloplasmin)	M13699	?	+	12.4
PTHLH	(parathyroid hormone-like hormone)	M24349	?	+	11.6
KIAA0367	NA	AB002365	+	?	11.3
ENPP2	(autotaxin)	L35594	?	+	10.7
P4HA1	(proline 4-hydroxylase)	M24486	?	?	9.6
SHMT1	(serine hydroxymethyltransferase 1)	L23928	?	+	9.4
